,Construction Type,New Construction,Elevator,Floor,Number of Rooms,Number of Bathrooms,Floor Area,Ceiling Height,Balcony,Renovation,Address,Price,Currency,Description
0,Panels,No,Available,9 / 14,2,1,65 sq.m.,from 2.7 m,Not available,Euro Renovation,"Nikol Duman Street, Yerevan","$87,000",USD,"The apartment is renovated,has all the utilitieslight,windows and doors of European productionheating system is installedair conditionerThe bathroom is tiledTranslated from Armenian"
1,Stone,No,Not available,3 / 4,4,2,175 sq.m.,from 3.5 m,Open balcony,No Renovation,"Nalbandyan street 17, Yerevan","$240,000",USD,"A unique apartment is for sale near Sakhrov Square. The building was built by Stalin's design with concrete slabs. The area of one part of the apartment is 3.3 m, the other is 4.5 m, where it is possible to build 2 floors. Has an entrance ամբ balcony.The apartment is displayed under a real estate display contract.Service commission - 2% of the sale price.Translated from Armenian"
2,Stone,No,Not available,2 / 5,2,1,68 sq.m.,from 2.7 m,Not available,Old Renovation,Yerevan › Shengavit,"$66,000",USD,2 rooms for sale ․ apartment in the 3rd partClean statePermanent water and gasIndividual heatingParquetThe bathroom is tiledFor more information call:CODE; 14324990:Translated from Armenian
3,Stone,No,Available,6 / 8,3,1,139 sq.m.,from 2.7 m,Multiple balconies,Major Renovation,"Marshal Baghramyan avenue, Yerevan","$360,000",USD,"A 3-4-room apartment in a special project stone building is for sale near the Opera House. The apartment is fully renovated, the entrance door is iron, the windows are of European production, individual heating system, the floor is laminate, the bathroom is tiled with Spanish tiles. There is an elevator in the building.The apartment is for sale together with the kitchen furniture.Translated from Armenian"
4,Stone,No,Not available,5 / 5,1,1,37 sq.m.,from 3 m,Open balcony,Old Renovation,"Charents street, Yerevan","$64,000",USD,"1 room, 37 sq. M., 5/5 floor, CHARENTSI street, STALINKA button, SAYAT NOVA crossroads, default conditions, windows are wooden, bathroom is old tile, gas, has no open balcony. Code b 1.06.1895:Translated from Armenian"
5,Panels,No,Not available,9 / 9,3,1,83 sq.m.,from 2.7 m,Not available,Major Renovation,"Nazarbekyan block, Yerevan","$68,000",USD,"The apartment has euro windows, an iron door, the bathroom is tiled, it is on the side, it has an air conditioner, a basement, it is for sale together with the furnitureTranslated from Armenian"
6,Panels,No,Available,12 / 12,3,1,84 sq.m.,from 2.75 m,Closed balcony,Cosmetic Renovation,"Azatutyan Avenue, Yerevan","$84,000",USD,3-room apartment for sale in Monument.Cosmetically renovated.Has a closed balcony.The position is awkward. For sale together with the whole property.Translated from Armenian
7,Panels,No,Available,8 / 9,3,1,80 sq.m.,from 2.7 m,Closed balcony,Major Renovation,Yerevan › Arabkir,"$105,000",USD,"K-21622Վաճառվում է 3 սենյականոց բնակարան Կոմիտասի պողոտայում՝ 9 հարկանի պանելային շենքի 8-րդ հարկում։ Բնակրաանը կապիտալ վերանորոգված է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ լամինատ։ Սանհանգույցը՝ առանձին, նորաոճ սալիկապատ, էլ․ լարերը և խողովակները՝ փոխված։ Ունի ջեռուցման համակարգ, մշտական ջուր և գազ։ Տեսարանը՝ դեպի բակ։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։An apartment for sale in Komitas Avenue. The rooms' quantity is 3 (a hall and 2 bedrooms) The apartment is newly renovated and is located an the 8th floor of the 9-storey panel building. The entrance door is iron-made, the windows are euro-based, the floor is covered by laminate. The bathroom is separate and modern tiled, the electric wires and pipes are newly changed. It has a heating system and is supplied with constant water and gas. The view is towards the yard.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You."
8,Stone,No,Not available,2 / 5,2,1,45 sq.m.,from 2.8 m,Open balcony,Major Renovation,"Tpagrichner Street 9, Yerevan","$125,000",USD,"In the quietest part of the city center, near the Tpagrichner-Hanrapetutyan crossroads, a one-room converted into a two-room apartment is for sale.• The apartment is fully repaired, metal entrance door, euro windows, individual heating system, air conditioner are installed.• Sale with all property and equipment.• Has 6 square meters! Basement, open balcony with a good view.• The building has a beautiful yard, which is closed on both sides by a block.For other details, write or call the mentioned numbers.The apartment is displayed under a real estate display contract.Service commission - 2% of the sale price.Translated from Armenian"
9,Stone,No,Not available,2 / 4,1,1,49 sq.m.,from 3 m,Open balcony,Major Renovation,Yerevan › Kentron,"$152,000",USD,"5 + 11796:A 1-2 room converted apartment is for sale in Center. The apartment is fully renovated. Iron entrance door, tiled floor, euro windows. Has heating system, air conditioner, open balcony. The bathroom is combined tiled. Sale with furniture and appliances.Translated from Armenian"
