Construction Type,New Construction,Elevator,Floors in the Building,The House Has,Parking,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Amenities,Appliances,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Window Views,Links
Stone,No,Not available,4,Playground,Outdoor parking,54 sq.m.,2,1,from 2.7 m,4,Closed balcony,Available,Partial Renovation,Television,"Fridge, stove, microwave, water Heater",3,Yes,No,Not included,1 month,Aragatsotn › Aparan,"50,000 ֏ monthly",AMD,"Apartment for rent in Aparan city, partially renovated. Hot and cold water, boiler, utilities, 2 rooms furnished 3, the rest by phone, deposit required. Long-term, partial tasteTranslated from Armenian",Dec-15-2022_21-12,,https://list.am/en/item/18371048
Stone,No,Not available,4,,,73 sq.m.,2,1,from 2.7 m,3,Multiple balconies,Available,Designer Renovation,,,4,Yes,No,Not included,2 weeks,Aragatsotn › Aparan,"60,000 ֏ monthly",AMD,"It is for rent. The building is located on the slope of Mount Arai, on the Yeghvard-Apara highway, in the village of ERNJATAP of the Aparan community, near the school and shop.There is hot and cold water, gas.The bathroom and kitchen are stylishly renovated, clean, comfortable apartment.A deposit is requiredTranslated from Armenian",Dec-15-2022_21-12,,https://list.am/en/item/17968939
Stone,No,Not available,5,,,72 sq.m.,3,1,from 3 m,1,Closed balcony,Available,Major Renovation,"Television, air conditioner, internet, parking space","Fridge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water Heater, iron, hair dryer",5,Yes,No,Included,By Agreement,"Տիգրան Մեծի փողոց 46, Աշտարակ","16,000 ֏ daily",AMD,"New unique house in Ashtarak, with all amenities, completely new. There are discounts for more than 3 days, I will also sell. We will agree on the monthly price.Translated from Armenian",Dec-15-2022_21-12,Yard view,https://list.am/en/item/16785815
Stone,No,Not available,1,,,150 sq.m.,5,1,from 3 m,1,Not available,,Cosmetic Renovation,,,,,,,,Aragatsotn › Aparan,"250,000 ֏ monthly",AMD,"150 sq. M. Apartment, 5 rooms. A large barn. Garage for 2 cars.Translated from Armenian",Dec-15-2022_21-12,,https://list.am/en/item/17394032
Stone,No,Not available,5,,,40 sq.m.,2,1,from 2.8 m,1,Not available,Available,Major Renovation,,,2,Yes,No,Not included,1 month,"Margarian street 25, Yerevan","250,000 ֏ monthly",AMD,"Fully renovated apartment for rent in Ajapnyak area, next to Kaiser supermarket.Area: 40 square metersNumber of rooms: 2Floor: 1/5All utilities are available.The rent is 250,000 AMD, negotiable.Code H0004Translated from Armenian",Dec-15-2022_21-12,,https://list.am/en/item/18072997
Stone,No,Not available,4,,,72 sq.m.,3,1,from 2.5 m,1,Open balcony,Available,Cosmetic Renovation,"Television, parking space","Fridge, stove, coffee maker, washing machine, water Heater",6,Negotiable,Negotiable,Not included,By Agreement,Aragatsotn › Aparan,"120,000 ֏ monthly",AMD,"3-room apartment for rent in Aparan, Yernjatap village.The apartment is furnished with furniture and all household amenities, there is also hot and cold water, natural gas.There is a grocery store, a school, a church near the area.For details, call the indicated phone number.Translated from Armenian",Dec-15-2022_21-12,Park view,https://list.am/en/item/18594029
Stone,No,Not available,1,,Outdoor parking,150 sq.m.,2,1,from 3 m,1,Not available,By agreement,Euro Renovation,,,8+,Negotiable,Negotiable,Included,By Agreement,"Araratyan Street, Ashtarak","150,000 ֏ monthly",AMD,"Տրվում է վարձով 2 սենյականոց բնակարան առանձնատան 1 հարկում, առանձին մուտքով եվրո վերանորոգված և կոմունալ հարմարություններով։Сдается 2-комнатная квартира на 1 этаже частного дома, с отдельным входом, с ремонтом и удобствами.",Dec-15-2022_21-12,Street view,https://list.am/en/item/18710660
Stone,No,Not available,2,Playground,Outdoor parking,95 sq.m.,3,1,from 3 m,2,Closed balcony,Available,Cosmetic Renovation,"Television, internet, parking space","Fridge, stove, microwave, water Heater, iron, hair dryer",6,Yes,No,Not included,2 months,Aragatsotn › Ashtarak,"100,000 ֏ monthly",AMD,"Сдаю квартиру я собственник квартира в нормальном состоянии, места очень спокойная и красивая природа. Есть где погулять и можно отдохнуть от шума, сдаётся срочно в хорошие и надёжные руки остальные вопросы звоните по вацапу или по Вайберу",Dec-15-2022_21-12,"Street view, view of Ararat",https://list.am/en/item/18693096
Stone,No,Not available,4,Playground,Outdoor parking,48 sq.m.,2,1,from 2.5 m,2,Not available,Available,Old Renovation,Television,"Fridge, stove",2,Yes,No,Not included,1 month,Aragatsotn › Talin,"50,000 ֏ monthly",AMD,"It is a dry, bright, warm apartment.Translated from Armenian",Dec-15-2022_21-12,Yard view,https://list.am/en/item/18707339
Monolith,No,Available,9,Playground,Outdoor parking,98 sq.m.,3,1,from 2.8 m,3,Multiple balconies,Available,Euro Renovation,"Television, internet, parking space","Fridge, stove, microwave, washing machine, water Heater, iron",6,Negotiable,No,Not included,2 months,"Aram Manukyan street, Ashtarak","160,000 ֏ monthly",AMD,"For details, call only via WHATSAPP.The apartment is provided with all property and equipment.Translated from Armenian",Dec-15-2022_21-12,"Yard view, street view, city view, park view",https://list.am/en/item/18311942
