Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,Links,Parking,Amenities,Appliances,Window Views
Stone,Yes,Not available,2,60 sq.m.,3,1,from 2.7 m,2,Not available,Major Renovation,4,Yes,No,Not included,Without prepayment,"Vazgen Sargsyan street 3, Stepanakert","15,000 ֏ daily",AMD,Сдается посуточно квартира со всеми удобствами,Nov-25-2022_17-26,,https://list.am/en/item/18267857,,,,
Stone,No,Not available,4,36 sq.m.,1,1,from 2.8 m,4,Open balcony,Euro Renovation,3,No,No,Included,Without prepayment,"Vazgen Sargsyan street 3, Stepanakert","10,000 ֏ daily",AMD,Сдаётся однокомнатная квартира со всеми удобствами. Wi-fi подключён.,Nov-25-2022_17-26,Available,https://list.am/en/item/17801901,,,,
Stone,No,Not available,5,61 sq.m.,2,1,from 2.8 m,3,Not available,Euro Renovation,6,Yes,No,Included,By Agreement,"Aleksey Hekimyan street, Stepanakert","15,000 ֏ daily",AMD,"House for rentAn apartment for daily rent, the price depends on the number of people, if you rent it for several days, there will be a discount.Translated from Armenian",Nov-25-2022_17-26,,https://list.am/en/item/18360021,,,,
Monolith,No,Not available,1,100 sq.m.,5,2,from 2.8 m,1,Not available,Designer Renovation,8+,Yes,Yes,Included,By Agreement,"Alek Manukyan street, Stepanakert","5,000 ֏ daily",AMD,The apartment is located in Stepanakert. Suitable for 6 to 8 people. It has constant hot and cold water. 2 bathrooms and all utilities. Call for questions.5000 AMD for one personTranslated from Armenian,Nov-25-2022_17-26,,https://list.am/en/item/17174715,,,,
Stone,Yes,Not available,2,300 sq.m.,5,2,from 2.8 m,1,Open balcony,Euro Renovation,8+,Yes,Yes,Included,Without prepayment,"Nalbandyan street, Stepanakert","5,000 ֏ daily",AMD,Guest house in the center of StepanakertTranslated from Armenian,Nov-25-2022_17-26,Available,https://list.am/en/item/16122243,,,,
Stone,No,Not available,5,45 sq.m.,2,1,from 2.7 m,3,Closed balcony,Major Renovation,3,Negotiable,No,Included,By Agreement,Artsakh › Stepanakert,"15,000 ֏ daily",AMD,"Օրավարձով 2 սենյականոց բնակարան Ստեփանակերտում: Բոլոր հարմարությունները՝ սառնարան, լվացքի մեքենա, էլ. Թեյնիկ, ֆեն, արդուկ, հեռուստացույց, wifi, տաք և սառը ջուր, առկա են: Բնակարանը գտնվում է կենտրոնական թաղամասում, հրապարակի հարևանությամբ: Շենքի մոտակայքում առկա են տարատեսակ խանութներ, բանկոմատ, հասարակական տրանսպորտի կանգառ, ռեստորաններ և կաֆեներ: Բակում առկա է անվճար ավտոկանգառ և մանկական խաղահրապարակ:Сдаётся посуточно двухкомнатная квартира с новым ремонтом в центре Степанакерта. Есть все удобства для проживания: Холодная и тёплая вода, телевизор, wi-fi, холодильник, стиральная машина, утюг, фен, чайник, посуда на шестерых и т. Д. В шаговой доступности есть несколько ресторанов, супермаркетов и хозяйственных магазинов, а так же остановка общественного транспорта и банкомат. Во дворе есть парковка и детская площадка.",Nov-25-2022_17-26,Available,https://list.am/en/item/12733657,,,,
Stone,No,Not available,5,35 sq.m.,1,1,from 2.8 m,1,Open balcony,Major Renovation,4,Yes,No,Included,1 month,"Admiral Isakov street 4a, Stepanakert","10,000 ֏ daily",AMD,Գինը 10.000 դրամ,Nov-25-2022_17-26,,https://list.am/en/item/12026530,,,,
Stone,Yes,Not available,2,50 sq.m.,2,1,from 3 m,2,Not available,Euro Renovation,4,Yes,Yes,Included,Without prepayment,"Arzanyan street, Stepanakert","18,000 ֏ daily",AMD,Two comfortable rooms with all amenities.Not provided for entertainment.Address: Builders 27:Translated from Armenian,Nov-25-2022_18-31,Available,https://list.am/en/item/18591623,OUtdoor parking,"TElevision, air conditioner, internet, parking space","FRidge, coffee maker, washing machine, water heater, iron, hair dryer","STreet view, park view"
Stone,No,Not available,4,74 sq.m.,3,1,from 2.8 m,4,Open balcony,Major Renovation,5,Yes,No,Included,Without prepayment,Artsakh › Stepanakert,"10,000 ֏ daily",AMD,"Օրավարձով է տրվում կապիտալ վերանորոգված բնակարան Ստեփանակերտի կենտրոնում (հրապարակից 3 րոպե քայլելու հեռավորություն) : 1 կամ 2 անձին տրամադրվում է հյուրասենյակ + 1 ննջասենյակ՝ երկու մեկտեղանի մահճակալներով:Առկա են անհրաժեշտ հարմարությունները (տաք ջուր, Smart TV, Wi-Fi, ֆեն, արդուկ, տաքացուցիչներ, սպասք և այլն) :Գինը 1 անձի համար՝ 10.000 դրամ, 2 անձի համար՝ 12.000 դրամ:Сдается капитально отремонтированная квартира в центре Степанакерта (3 минуты пешком до площади)1-2 посетителям предоставляется гостиная + 1 спальня, с двумя одноместными кроватями.Имеются необходимые удобства (горячая вода, Smart TV, Wi-Fi, фен, утюг, обогреватели, посуда и т. Д.)Цена для 1 человека- 10.000 драм, для 2-х- 12.000 драм:",Nov-25-2022_18-31,,https://list.am/en/item/18505588,,,,
Monolith,No,Not available,5,80 sq.m.,4,1,from 2.7 m,1,Not available,Major Renovation,4,Yes,No,Included,1 month,"Admiral Isakov street, Stepanakert","10,000 ֏ daily",AMD,Գինը 10.000 դրամ:,Nov-25-2022_18-31,,https://list.am/en/item/11974125,,,,
