Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Parking,Amenities,Appliances,Window Views,Links
Monolith,Yes,Available,32+,36 sq.m.,1,1,from 2.8 m,20,Open balcony,Designer Renovation,International › Georgia,"$1,000 monthly",USD,"Apartment on the sea shore! One-room apartment is for sale in Batumi, first line, newly built TWIN TOWER Apart hotel, renovated and 5 * standard, furnished, provided with all the necessary accessories, equipment, uninhabited. It has an open balcony overlooking the sea.The apartment is very convenient for spending summer vacation on the shores of the Sea. Located in Orbi Twin Tower hotel complex, which has all the amenities and infrastructure, 24 hour service, swimming pool, etc. 100 meters from the sea, in the heart of the city.During the other months of the year, profitability is ensured through the hotel complex.Translated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,https://list.am/en/item/17771954
Monolith,Yes,Available,21,80 sq.m.,3,1,from 2.8 m,6,Multiple balconies,Euro Renovation,International › Georgia,$45 daily,USD,"Посуточная аренда апартаментов и квартир в городе БАТУМИ, со всеми удобствами и наикрасивейшими видами…",Nov-24-2022_17-51,,,,,,,,,,,https://list.am/en/item/17319564
Monolith,Yes,Available,25,39 sq.m.,1,1,from 3 m,2,Open balcony,Designer Renovation,International › Georgia,"20,000 ֏ daily",AMD,"A new design renovated apartment is for rent in a new building in Batumi, by the sea ․ There is air conditioner, household appliances, furniture, dishes and bedding. From the balcony there is a magnificent view of the sea and the mountains. There are all the conditions for a wonderful rest. It is given and daily rent, and for a longer period.Kobaladze 9, Batumi cityTranslated from Armenian",Nov-24-2022_17-51,Available,4,Yes,No,By Agreement,By Agreement,,,,,https://list.am/en/item/16445331
Stone,No,Available,8,42 sq.m.,1,1,from 2.8 m,1,Closed balcony,Euro Renovation,International › Russia,"100,000 ֏ monthly",AMD,Всё ест. Позвоните.,Nov-24-2022_17-51,,,,,,,,,,,https://list.am/en/item/17509536
Stone,Yes,Not available,3,180 sq.m.,3,2,from 3.5 m,3,Multiple balconies,Designer Renovation,International › Georgia,"40,000 ֏ daily",AMD,"We offer affordable houses in Tbilisi, Havlabar district and surrounding areas with all utilities. Designed for 2-15 people. The houses have a bathroom, wi-fi, air conditioner, TV, refrigerator, washing machine, dishwasher, gas. There is also a free parking lot. Food and room cleaning if desired. The entire area is monitored by video recording equipment.The cost is 35,000-50,000 AMD. We also have daily options.1 person 30,000 drams2 persons 37,000 drams3 persons 43,000 drams4 and more 50,000 dramsIn case of questions, call the indicated numbers.Translated from Armenian",Nov-24-2022_17-51,Available,8+,Yes,No,By Agreement,By Agreement,OUtdoor parking,"TElevision, air conditioner, internet, parking space","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer","YArd view, street view, city view",https://list.am/en/item/18028634
Stone,No,Not available,2,60 sq.m.,2,1,from 3.5 m,1,Open balcony,Major Renovation,International › Georgia,"59,999 ֏ daily",AMD,"We offer affordable houses in Tbilisi, Havlabar district and surrounding areas with all utilities. Designed for 2-15 people. The houses have a bathroom, wi-fi, air conditioner, TV, refrigerator, washing machine, dishwasher, gas. There is also a free parking lot. Food and room cleaning if desired. The entire area is monitored by video recording equipment.The cost is 30,000-50,000 AMD.The cost of the month is 900,000In case of questions, call the indicated numbers.Nearby are ITALY (Embassy)embassy 20 meters, HOTEL KOPALA 60 meters, Hotel sandali 5 meters, restaurant and Hotel old Metekhi 50 meters, ShangriLa casino 400 meters, cable car 400 meters, Havlabari metro 300 meters, the most attractive and interesting places of Tbilisi are located within 1 km.We also have overnight options, 24:00-10:001 person 22,000 drams2 people 30,000 drams3 people and more 35,000 dramsCall for details.I am the owner.Translated from Armenian",Nov-24-2022_17-51,Available,7,Yes,No,By Agreement,By Agreement,OUtdoor parking,"TElevision, air conditioner, internet, parking space","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer","STreet view, city view",https://list.am/en/item/17499693
Monolith,Yes,Available,32+,30 sq.m.,1,1,from 2.7 m,11,Open balcony,Designer Renovation,International › Georgia,$40 daily,USD,"A 1-room apartment is for daily rent on the 55/11th floor of the Orby Citi Tower Apart Hotel 5* complex. It is located 50m from the sea, near the singing fountains. It has an open balcony with a beautiful view of the sea, designed for up to 4 people. All facilities are available: TV, internet wifi, air conditioner, refrigerator, washing machine, dishes, bedding. Those interested can call the indicated number.Translated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,https://list.am/en/item/17836206
Monolith,Yes,Available,15,40 sq.m.,2,1,from 2.8 m,10,Open balcony,Major Renovation,International › Georgia,$40 daily,USD,"Rent apartments in Batumi, Georgia:A two room apartment is for rent in Batumi, in the newly built Апарт-отель Metro Plus. The apartment has all the communal facilities, is provided with furniture. E-mail Has WI equipment. Fi, the apartment has air conditioning. The building is located 200 meters from the sea. There is a beautiful view of the sea from the window, the beautiful garden in front. Near the building is the Metro City shopping center and Carrefour supermarket.Translated from Armenian",Nov-24-2022_17-51,Available,4,Yes,No,By Agreement,Without prepayment,,,,,https://list.am/en/item/16345314
Stone,Yes,Available,8,70 sq.m.,3,1,from 3 m,2,Open balcony,Major Renovation,International › Georgia,$60 daily,USD,"In Kobuleti, 2 and 3-room apartments are for rent in newly built buildings, the buildings are located 50 meters from the beach. The apartments are completely renovated with all amenities.The cost of a 2-room apartment is 50-60 dollars per day, depending on the number of residents3-room apartment: 80-100 dollarsTranslated from Armenian",Nov-24-2022_17-51,Available,4,Yes,No,Not included,By Agreement,,,,,https://list.am/en/item/18022878
Monolith,Yes,Available,9,97 sq.m.,2,1,from 3 m,4,Open balcony,Major Renovation,International › Georgia,"25,000 ֏ daily",AMD,"Apartment (house) for daily rent in Tbilisi.In the Republic Square of Georgia. Adjacent to the Marriott Hotel and Gallery Mall.The apartments all have separate entrances, are provided with all conditions.The apartments are designed for 1 to 8 people.If you have any questions, write whatsapp or viber.Hotel hotel apartment house tbilisi georgia tbilisi hotel tbilisi tbilisi georgiaTranslated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,https://list.am/en/item/17366627
