Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Parking,Amenities,Appliances,Window Views,The House Has,Links
Monolith,Yes,Not available,2,50 sq.m.,2,1,from 2.5 m,2,Not available,Available,Designer Renovation,2,No,Yes,Included,1 month,Tavush › Ijevan,"25,000 ֏ daily",AMD,"Special discount for military personnel!It is possible to register the house so that the state compensates the rent of the serviceman!CALLING WITHOUT READING THE BELOW IS STRICTLY PROHIBITEDRead carefully.The apartment is intended for 1 (ONE) or 2 (TWO) personsRead carefully.The house is rented for a minimum of 3 days.THE HOUSE IS NOT AVAILABLE FOR A DAY OR TWOWe offer a newly renovated 2-storey compact apartment in an apartment building, the apartment is located in the Blbulyan district of Ijevan city, it is located in a busy area, there are various commercial outlets in the neighborhood, there is a school in the neighborhood and a kindergarten right next door, the apartment is fully equipped with furniture and household appliances, daily hot and cold water, the apartment is for one or two people, THIS IS A MANDATORY CONDITIONIn case of long-term rental, monthly or daily rent negotiation is possible.The minimum period for daily rent is 3 days, the minimum period for monthly rent is 6 months, in case of monthly rent, the amount for 1 month will be AMD 160,000.First month: 160,000second month: 150,000third month: 140,000fourth month: 130,000fifth month: 120,000sixth month: 100,000that is, the sixth month is 100,000, in case of staying for 6 months or more, the monthly payment will be 75,000, and that price will remain unchanged.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/16682375
Stone,No,Not available,4,31 sq.m.,2,1,from 2.75 m,2,Open balcony,,Designer Renovation,2,No,No,Included,Without prepayment,"Շահումյան փողոց 26, Դիլիջան","10,000 ֏ daily",AMD,"Newly renovated luxury apartments in Dilijan's Ekhevniri street, with new property and new household appliances, open balcony and beautiful view, only for family couples, only for families, not for 1 day, 5,000 AMD per person, 1 day, minimum 2 days.New Year 31-5 150,000 dramsTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/16160622
Stone,No,Not available,4,30 sq.m.,2,1,from 2.6 m,3,Open balcony,Available,Euro Renovation,2,Yes,No,Included,Without prepayment,"Շահումյան փողոց 26, Դիլիջան","10,000 ֏ daily",AMD,"Newly renovated apartments in Yeghniner street, central of Dilijan city, with new furniture, new appliances, open balcony, beautiful view, all the necessary conditions for rest are provided, it is given only to families, the price of 1 person per day is 5000 AMD, we work. By package or transfer,call the viber numberTranslated from Armenian",Nov-24-2022_17-52,OUtdoor parking,"TElevision, air conditioner, internet, parking space","FRidge, stove, coffee maker, washing machine, water heater, hair dryer",STreet view,,https://list.am/en/item/13324883
Stone,No,Not available,4,30 sq.m.,1,1,from 2.75 m,3,Open balcony,,Euro Renovation,2,Yes,No,Included,Without prepayment,"Շահումյան փողոց 10, Դիլիջան","10,000 ֏ daily",AMD,"Newly renovated, with all utilities, new property and appliances, clean apartments, on Eghevniri Street, Dilijan, for rent starting from 2 days, not for 1 day or hour, discounts will apply in case of long-term stay, only for families, 1 day for 2 people 10.000 drams, I am not an agency, we operate in the tax field, as well as social. By package or transferTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/14881997
Stone,Yes,Not available,1,108 sq.m.,4,1,from 2.75 m,1,Multiple balconies,,Cosmetic Renovation,8+,Yes,Yes,Not included,By Agreement,Tavush › Dilijan,"5,000 ֏ daily",AMD,"The mansion has all utilities, hot water, two stallsTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18131802
Stone,Yes,Not available,2,800 sq.m.,4,1,from 3.5 m,2,Open balcony,Available,Major Renovation,8+,Yes,Yes,By Agreement,By Agreement,"Getapnya street, Dilijan station","25,000 ֏ daily",AMD,"It is an OWN HOUSE. NOT AN APARTMENT, BUT A PRIVATE HOUSE.For the weekend: A house in the heart of Dilijan's cozy nature.CLICK TO BOOK.The holiday home is equipped with all utilities.There is a summer house, barbecue, parking space, dishes, bedding, etc.Up to 8-10 people can be accommodated.There is a shopping center, 24 hours hot and cold water.Parz lake, Haghartsin monastery complex, Gosh church... Are located nearby.PRICE CONTRACTUAL (price change is possible depending on the number of people)Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/16674968
Stone,Yes,Not available,5,500 sq.m.,2,1,from 2.75 m,2,Not available,Available,Major Renovation,5,Yes,Yes,By Agreement,By Agreement,"Kalinini street, Dilijan station","90,000 ֏ daily",AMD,"The apartment is located next to the Prosecutor's Office building and the International School next to Kalinin Street.Available:1 bedroom1 living room1 kitchen1 bathroomThe apartment is fully renovated. Long-term is also available, call in case of questions.The specified value refers to the month.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18234312
Stone,No,Not available,5,55 sq.m.,2,1,from 2.7 m,1,Open balcony,Available,Designer Renovation,2,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"5,000 ֏ daily",AMD,"An apartment is for daily rent in Dilijan (Deer Park), newly renovated, with all communal facilities, for 4 + 1 person. The apartment has all the necessary amenities: Furniture, appliances, dishes, Wi-Fi. Located on the central street. It is like a private house, it has 2 entrances and a yard, just like a car can be parked in the yard of the apartment. Daily fee per person starting from 5000 AMD per day, depending on the number of days and guests.For more information callTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/17724128
Panels,Yes,Available,8,66 sq.m.,2,2,from 2.75 m,3,Not available,Available,Major Renovation,4,Yes,No,Included,By Agreement,"Getapnya street 2/14, Dilijan station","38,000 ֏ daily",AMD,"A beautiful and cozy apartment located in the heart of the city with a mesmerizing view of the Dilijan woods.Very close to all city center spots, especially to Carahunge restaurant (3 min. Walk) and Verev park (5 min. Walk)The apartment is well-equipped with everything you need to make your stay in Dilijan as comfortable as possible. There is a living room, kitchen, bedroom, and 2 bathrooms․The minimum night stays are 2.The price can be changed based on guests quantity and holiday days.Բնակարանում առկա են բոլոր հարմարանքները մնալու համար։Առկա են 2 սանհանգույցՄԵկ բացովի բազմոցմեկ ննջասենյակԲնակարանում ամենաշատը կարող են բնակվել 4 հոգի։Բնակարանը տրվում է ամենաքիչը 2 գիշերով։Նշված գինը մինիմում արժեքն է։ Շաբաթվա օրերի քանակից, ինչպես նաև տոն օրերից հնարավոր է գնային փոփոխություն։Երկարաժամկետ բնակարանը չի տրվում։",Nov-24-2022_17-52,OUtdoor parking,"TElevision, internet","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer",PArk view,"INtercom entry, playground",https://list.am/en/item/17837198
Stone,Yes,Available,4,55 sq.m.,2,1,from 2.7 m,1,Open balcony,Available,Designer Renovation,2,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"5,000 ֏ daily",AMD,"A luxurious apartment is for daily rent in Dilijan (Deer Park), newly renovated, with all communal facilities, for 4 + 1 person. The apartment has all the necessary amenities: Furniture, appliances, dishes, Wi-Fi. Located on the central street. It is like a private house, it has 2 entrances and a yard, just like a car can be parked in the yard of the apartment. Daily fee per person starting from 5000 AMD per day, depending on the number of days and guests.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/16428994
Stone,Yes,Not available,5,91 sq.m.,4,1,from 2.7 m,1,Open balcony,,Designer Renovation,,,,,,"Kalinini street, Dilijan station","$1,300 monthly",USD,"The apartment is located on Kalinin street, near the international school. The new building is provided with all utilities. There is a Jacuzzi fireplace. It has a big balcony, there is a section for barbecue.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/17599744
Stone,Yes,Not available,5,91 sq.m.,4,1,from 2.7 m,1,Open balcony,,Designer Renovation,,,,,,"Kalinini street, Dilijan station","35,000 ֏ daily",AMD,"The apartment is located on Kalinin street, near the international school. It is newly built and equipped with all the utilities. There is a jacuzzi fireplace. It has a large balcony, there is a section for barbecue.1-3 h number/350003/5h number/400005/8h number/50000Discounts will apply for monthly rentalsWe also work with a social packageTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/17609684
Stone,Yes,Not available,5,100 sq.m.,3,1,from 2.75 m,2,Closed balcony,,Cosmetic Renovation,4,Yes,Yes,Included,6 months,Tavush › Dilijan,"200,000 ֏ monthly",AMD,It is given long-term. Brand new located in Kakhni Khach districtTranslated from Armenian,Nov-24-2022_17-52,,,,,,https://list.am/en/item/18374037
Panels,No,Available,9,64 sq.m.,2,1,from 2.7 m,9,Closed balcony,Available,Old Renovation,6,Yes,No,Included,1 month,"Շամախյան փողոց 2Բ, Դիլիջան","80,000 ֏ monthly",AMD,"Urgently, apartment for rent in Dilijan.The house has an old renovation, but it is comfortable and pleasant to live in.The apartment offers a wonderful view of beautiful Dilijan.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18374000
Stone,No,Not available,4,70 sq.m.,3,2,from 2.6 m,1,Open balcony,Available,Euro Renovation,5,Yes,No,Not included,Without prepayment,"Улица Анкахутюн 14, Иджеван","10,000 ֏ daily",AMD,"Apartment for daily rent in Azatamut, 1st floor, nearby store, attractions in nearby areas, gas, refrigerator, washing machine, hot water from 6 pm, call for details.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/17532596
