Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Amenities,Appliances,Window Views,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Links,The House Has,Parking
Stone,No,Not available,5,65 sq.m.,3,1,from 2.7 m,5,Closed balcony,Euro Renovation,"Улица Мясникяна 24, Джермук","100,000 ֏ monthly",AMD,"Квартира в центре курортного города Джермук. Очень светлая, с прекрасным видом на горы. После ремонта в квартире никто не жил. Полностью укомплектована мебелью и техникой (стиральная машинка, духовка, холодильник, плита) 7 спальных мест. Бакси, отопление.",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/17663418,,
Stone,No,Not available,4,28 sq.m.,1,1,from 2.5 m,1,Not available,Major Renovation,"Stepan Shahumyan Street 4, Jermuk","20,000 ֏ daily",AMD,"Fully renovated 1-room apartment for rent in the resort area of Jermuk, with furniture and high-end appliances, iron entrance door, European windows with blinds, individual heating system, gas-fired, tiled floor, automatic washing machine, smart TV, Internet, TV channels, telephone. It is also given for a long term of 6 months and more, the monthly payment of which will be 150,000 drams with the mandatory payment of the deposit.Translated from Armenian",Nov-24-2022_17-50,Available,"TElevision, internet, parking space","FRidge, coffee maker, washing machine, water heater, iron",STreet view,2.0,Negotiable,No,Not included,By Agreement,https://list.am/en/item/18280005,,
Monolith,Yes,Not available,5,70 sq.m.,3,1,from 3 m,5,Not available,Euro Renovation,"Ստեփան Շահումյանի փողոց 18, Ջերմուկ","18,000 ֏ daily",AMD,"A comfortable apartment for four to six people is available for daily rent, it has all the utilities.Translated from Armenian",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/18062732,,
Stone,No,Not available,4,80 sq.m.,3,1,from 2.8 m,2,Closed balcony,Euro Renovation,"Shahumyan street, Jermuk","10,000 ֏ daily",AMD,"RIGHT BANK IN THE CENTER OF JERMUK. Apartment for daily rent Jermuk / jermuk / /квартира в Жермук / in the city center. 3-room apartment. On the 2nd floor of a 4-story building. A sunny, comfortable apartment. Renovated apartment, renovated bathroom, individual heating system, washing machine. Hot mountain water. The address. Shahumyan 4 flat 5. Is also available for monthly rent.Translated from Armenian",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/17483291,,
Stone,No,Not available,2,62 sq.m.,2,1,from 3 m,1,Not available,Cosmetic Renovation,"Մյասնիկյան փողոց 10, Ջերմուկ","10,000 ֏ daily",AMD,"The apartment is located on the right bank, next to Anush hotel, it is furnishedTranslated from Armenian",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/11704965,,
Stone,No,Not available,2,62 sq.m.,2,1,from 3 m,1,Not available,Cosmetic Renovation,Vayots Dzor › Jermuk,"10,000 ֏ daily",AMD,"Normal vidjak, galeriaic 150m heravorutyan vra",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/9371207,,
Stone,Yes,Not available,1,55 sq.m.,2,1,from 2.7 m,1,Not available,Euro Renovation,"Shahumyan street, Jermuk","15,000 ֏ daily",AMD,"A two-room apartment is for rent in the Ajapnyak center of Jermuk city. The apartment is surrounded by industrial complexes and the benefits of nature, it is very close to all the services in the city, it is built from the ground up and at a completely modern level, it is provided with all the communal conditions and all the necessary household items, including wifi, it has a balcony that does not allow to contribute to the situation and don't worry, please call in advance.Translated from Armenian",Nov-24-2022_17-50,Not available,,,,4.0,Yes,No,Included,By Agreement,https://list.am/en/item/18085516,,
Stone,No,Not available,3,63 sq.m.,3,1,from 3 m,2,Not available,Major Renovation,Vayots Dzor › Jermuk,"200,000 ֏ monthly",AMD,"A three-room apartment is for rent, which has two bedrooms - each for two people, a living room with a pull-out sofa, a kitchen with all its accessories, a gas stove, a refrigerator, an oven, an air conditioning box (витишка), a spacious bathroom with a bathtub, Smart TV, constant hot and cold water, gas. The apartment is fully renovated.The apartment is located in the center of Jermuk.Translated from Armenian",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/17899736,,
Stone,No,Not available,4,30 sq.m.,2,1,from 2.75 m,1,Not available,Euro Renovation,Vayots Dzor › Jermuk,"10,000 ֏ monthly",AMD,"Օրավարձով, Մաքուր, կոկիկ, ջերմ եվ ույուտնի, ուրախ ու տրամադրող, պատուհանները նայում են ճոպանուղու, շատ լուսավոր արեվոտ եվ տաք, 2 հարկի բարձրությամբ լուսանկարները կուղարկվի զանգելու դեպքում1 Рестовриванная на 2 комнаты, светлая, солнечная, спокойная, чистая, уютная, удобная, к тому же веселая и теплая квартира со всеми удобствами, взгляд на конатную дорогу, сдается приличным людям ценяющие порядок и покой, добро пожаловать",Nov-24-2022_17-50,Available,,,,7.0,Yes,No,By Agreement,By Agreement,https://list.am/en/item/17513439,,
Stone,No,Not available,4,42 sq.m.,2,1,from 2.7 m,1,Open balcony,Euro Renovation,"Stepan Shahumyan Street 4, Jermuk","16,000 ֏ daily",AMD,"Տրվում է օրավարձով ։Ջերմուկում Շահումյան 4, քաղաքի կենտրոնում ։1 ննջասենյակ, 1հյուրասենյակ։Հյուրասենյակում առկա են 1 բացվող բազմոց (երկու տեղանոց), և 2 բացվող բազկաթոռ (յուր. 1 տեղանոց) ։Ննջասենյակում արկա է մահճակալ 160/200 ։Խոհանոցում առկա են բոլոր անհրաժեշտ պարագաները ։Մշտական տաք և սառը ջուր ։Բնակարանը ջեռուցվում է (Baxi) անհատական ջեռուցման համակարգով:Վացով բնակարան Ջերմուկում ։Օրավարձով, օրավարձով, օրավարձով. Անհասանելի լինելու դեպքում զանգել viber whatsapp, telegramСдается 2-х комнатная квартира в городе Джермук. 1/4этаж, 38м2,евроремонт.Квартира находится в центре города -ул Шаумян, д4. В одной комнате (спальне) есть крават двухместный 160/200, вторая комната с большим раздвижным диваном икреслами.Постоянная холодная и горячая вода.В кухне есть всё необходимое. Квартира отапливается индивидуальной отопительной системой baxi.Квартира#джермук#апартамент#отдыхвджермук#апартаментвджермуке#Сдается квартира в Джермукеапартамент ДжермукԱնհասանելի լինելու դեպքում զանգեք viberin կամ whatsapp ին",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/17362666,,
