Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Appliances,Window Views,Parking,Links
Panels,No,Not available,5,68 sq.m.,3,2,from 3 m,5,Multiple balconies,Cosmetic Renovation,Ararat › Artashat,"$38,000",USD,Urgently selling 2 converted 3-room apartment on the 5th floor of Isakov 101 building. The apartment has all the utilities. For more information callTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/18105673
Panels,No,Not available,5,64 sq.m.,2,1,from 2.7 m,4,Not available,Euro Renovation,"Azatamartikneri Street 19, Masis","$59,000",USD,"The apartment has a heating system, a cooling system, constant water (pump), thickened outer walls, a storage room at the entrance, an iron door. Along with kitchen, bedroom and hallway furniture. The price includes a stone garage of 24 square meters.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/18085341
Panels,Yes,Not available,5,70 sq.m.,3,1,from 3 m,5,Open balcony,Cosmetic Renovation,"Nalbandyan street, Artaxata (Artashat)","$40,000",USD,Sale or exchange with your own house in Artashat. The apartment is in a clean renovated condition. The windows and doors have been changed. The pipes have been changed. A 300 liter water container and water pump has been installed.Translated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/17368571
Stone,No,Not available,5,67 sq.m.,2,1,from 2.7 m,5,Closed balcony,Euro Renovation,Ararat › Ararat,"$20,000",USD,"Продаётся дом с мебелью. В ЗОД е (Араратский р-он)Квартира полностью с кап ремонтом, евро окна. Очень светлая. Солнечная.Крыша полностью отремонтирована, есть горячая и хол. Вода постоянно.Есть бак запасной для воды и насос установлен в подвале. Есть чулан на площадке этажа в подъезде.Рядом много магазинов, дет. Садик, школа. Военная часть.Напротив остановка.",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/17563298
Stone,No,Not available,5,80 sq.m.,3,2,from 2.8 m,1,Not available,Cosmetic Renovation,"Նոր թաղամաս 20, Մասիս","$56,000",USD,"A 3-room apartment is for sale in the city of Masis.Baxi system is installed,For details, call the indicated phone number.Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/18142171
Stone,No,Not available,5,62 sq.m.,2,1,from 2.7 m,5,Open balcony,Euro Renovation,Ararat › Masis,"$60,000",USD,"Կոդ՝ B-19544Վաճառվում է 2 սենյականոց բնակարան Մասիս քաղաքում՝ 5 հարկանի քարե շենքի 5-րդ հարկում։ Բնակարանը նորաոճ վերանորոգված է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ լամինատ, սալիկ։ Սանհանգույցը՝ առանձին, նախկին սալիկապատ, էլ․ լարերը և խողովակները՝ փոխված, տանիքը՝ վերանորոգված։ Ունի բաց լոջա, խոհանոցի կահույք, մշտական ջուր և գազ։ Վաճառվում է կահույքի հետ միասին։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։An apartment for sale in Masis Town. The rooms' quantity is 2 (a hall and 1 bedroom) The apartment is modern renovated and is located on the top floor of the 5-storey stone building. The entrance door is iron-made, windows are euro-based, the floor is covered by laminate and is tiled. The bathroom is combined and former tiled, the electric wires and pipes are changed, the roof is repaired. The apartment has a balcony, kitchen furniture and is supplied with constant water and gas. The apartment is being sold with furniture.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/15420306
Panels,No,Not available,5,62 sq.m.,2,1,from 2.8 m,3,Closed balcony,Cosmetic Renovation,"Ծովակալ Իսակովի փողոց 47, Արտաշատ","$40,500",USD,"G. Artashat 2-room apartment on Tsovakala Isakova street, 62 sq. M. M. , 3/5 floor, cosmetic renovation $40,500In Artashat, a very sunny, bright 2-room apartment with niche is for sale, Artashat Isakov 47, close to the highway, normal, clean condition. It has constant water and gas. Please call only real buyers, it will NOT be closed, it is not for rent. Call Viber or WhatsApp. The price is not negotiable.Translated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/17791111
Panels,No,Not available,5,96 sq.m.,4,1,from 2.8 m,3,Multiple balconies,Cosmetic Renovation,"Araz street 41, Artaxata (Artashat)","20,000,000 ֏",AMD,"Продаю 4х комнатную квартиру на 3 этаже 5и этажного дома, площадь 96м.",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/17770335
Stone,No,Not available,5,40 sq.m.,1,1,from 2.8 m,2,Open balcony,Old Renovation,"August 23 street 23, Artaxata (Artashat)","$35,500",USD,"The apartment is located in the center of Artashat, near the lake, on the sunny side, iron door, gas, electricity, hot and cold water. At the moment, the house is rented, please do not call for the rental number.Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/18360910
Stone,No,Not available,5,42 sq.m.,1,1,from 3 m,5,Open balcony,Old Renovation,"Ogostosi 23, Artashat","$25,000",USD,The house is in normal condition URGENT.Translated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/17221106
Stone,No,Not available,2,50 sq.m.,3,1,from 3 m,1,Closed balcony,Cosmetic Renovation,"Ստեփան Շահումյանի փողոց 30/1, Արարատ","$19,500",USD,"I am selling an apartment in the city of Ararat, the price of the house is 24,000 dollars, it is close to shops, banks, there is a school and a garden nearby, the house is in good condition, with euro windows, laminate, the living room and the kitchen are tiled. The 2-storey garage + the shop attached to the house are also sold with the house, they are at a different price.Please don't make unnecessary calls...Bargaining. There will be a garageSo please, idle people don't call, don't call and say I'll be back in 2 days, I don't have any of your products, don't call real buyersTranslated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17770313
