Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Window Views,Links
Bricks,No,Not available,5,53 sq.m.,2,1,from 2.8 m,3,Open balcony,Partial Renovation,Artsakh › Stepanakert,"18,000,000 ֏",AMD,"The apartment is located in the district of the shoe factory, building 4 of Arakelyan street, apartment 35. 3rd floor. Near the bus stop.The apartment is sold without furniture. The apartment is provided with constant hot and cold water, as well as constant gas and electricity. Owner Zoya Tsaturyan. City of Stepanakert.Translated from Armenian",Nov-25-2022_12-54,,,https://list.am/en/item/18015330
Stone,No,Not available,4,70 sq.m.,3,1,from 2.7 m,1,Closed balcony,Euro Renovation,"Mkhitar Gosh street 10a, Stepanakert","$41,800",USD,"The apartment is located right next to the State University and next to the bus station. It is renovated, it is given together with furniture. The sale together with the garage is also possible. The garage is renovated, has a bathroom and can be used as a business space. 2 together $48,000 (negotiable) It is not possible with the state program. IT IS POSSIBLE TO EXCHANGE WITH THE CAR.Translated from Armenian",Nov-25-2022_12-54,,,https://list.am/en/item/16988190
Panels,Yes,Not available,5,56 sq.m.,3,1,from 2.7 m,2,Not available,Major Renovation,"Sasuntsi Davti street, Stepanakert","$40,000",USD,"2-х переделанная в 3-х. Бакси, тёплый пол. Интересующих писать ️ в личку фото не удаётся загрузить г. Степанакерт. Звонить с 10:00 до 18:00. Номер мзменен. Не звонить ️. Только писать ️ на вотсап и вайбер. Если берёте наличкой, снизим до 37000$. Писать только реальным покупателям. Просьба просто не писать.",Nov-25-2022_12-54,,,https://list.am/en/item/15856632
Bricks,No,Not available,5,82 sq.m.,4,1,from 2.7 m,5,Closed balcony,Major Renovation,"Aleksey Hekimyan street, Stepanakert","$55,000",USD,Продаётся квартира. Писать ️ в вайбер вотсап,Nov-25-2022_12-54,,,https://list.am/en/item/18175155
Stone,No,Not available,3,42 sq.m.,2,1,from 3.2 m,1,Open balcony,Cosmetic Renovation,Artsakh › Stepanakert,"13,000,000 ֏",AMD,"For sale: 2-room apartment in good condition, 42.5 sq. M. On the surface. It has a basement. It is located next to the newly built church. NOT FOR RENT, we live in the house.Translated from Armenian",Nov-25-2022_12-54,Available,,https://list.am/en/item/18170006
Stone,No,Available,9,71 sq.m.,3,1,from 3 m,9,Closed balcony,Euro Renovation,"Nelson Stepanyan street, Stepanakert",$100,USD,"Продается 3-х комнатная квартира в центре г, Степанакерт со всеми удобствами, свежий ремонт, вместе со всей мебелью и техникой.",Nov-25-2022_12-54,Available,,https://list.am/en/item/18009448
Stone,No,Not available,4,72 sq.m.,3,1,from 2.5 m,2,Open balcony,Euro Renovation,Artsakh › Stepanakert,"23,000,000 ֏",AMD,"The apartment is located in the center of Stepanakert city, on the sunny side. Capital Euro renovated and furnished in 2020, sold with furniture. Not for rent, do not call agents. Price is negotiable. URGENT!Translated from Armenian",Nov-25-2022_12-54,Available,,https://list.am/en/item/15580470
Stone,No,Not available,4,62 sq.m.,3,1,from 2.5 m,4,Closed balcony,Cosmetic Renovation,"Mkhitar Gosh street, Stepanakert","$35,000",USD,"The apartment is on the other side. The apartment is for sale with property. In the yard of the building there is a garage with 6 × 4 area, which is also provided with the apartment. The price is negotiable, please do not call agents or real buyers. There are also 2 apartments.Translated from Armenian",Nov-25-2022_12-54,Available,,https://list.am/en/item/16168316
Monolith,Yes,Not available,5,85 sq.m.,2,1,from 2.8 m,3,Closed balcony,Euro Renovation,"William Saroyan street, Stepanakert","26,000,000 ֏",AMD,"An apartment for sale in the center of Stepanakert, on Azatamartiki street. Newly built building, first line, 85 m2 area. It has a heating system, parquet floors. It is sold together with the whole property. The price is 26,000,000 AMD, negotiation is possible.Translated from Armenian",Nov-25-2022_12-54,Available,,https://list.am/en/item/18226617
Stone,Yes,Not available,6,78 sq.m.,2,2,from 2.8 m,3,Multiple balconies,Euro Renovation,"Kamo 2nd Lane 3, Stepanakert","$60,000",USD,В хорошем состоянии со всеми убобствами. Новостройка. Арцах тахамас. Есть подвал.,Nov-25-2022_12-54,Available,,https://list.am/en/item/15330293
