Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Parking,Appliances,Window Views,The House Has,Links
Stone,No,Not available,3,250 sq.m.,3,2,from 3 m,3,Open balcony,Old Renovation,Syunik › Sisian,"$10,000",USD,"2nd and 3rd floors of a three-story building, separate sale is possible.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17666527
Stone,No,Available,9,100 sq.m.,3,1,from 2.5 m,1,Not available,Old Renovation,"Shinararneri street 13, Kapan","$18,000",USD,Apartment for sale in Kapan. On the 1st floor of Shiararner 3.5-storey building. Has a basement!Translated from Armenian,Nov-25-2022_14-05,By agreement,,,,,https://list.am/en/item/17903227
Panels,No,Available,9,72 sq.m.,4,1,from 2.5 m,9,Closed balcony,Old Renovation,"Բաղաբերդ թաղամաս 7, Կապան","$30,000",USD,Apartment for sale in Kapan. On the 9th floor of a 9-storey building. With all utilitiesTranslated from Armenian,Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/17915658
Stone,No,Not available,5,93 sq.m.,3,1,from 3 m,4,Open balcony,Old Renovation,Syunik › Goris,"$28,000",USD,"It has 2 open balconies, a garden with fruit trees and the possibility to build a garage. 93 m2 has space to add a room.Translated from Armenian",Nov-25-2022_14-05,By agreement,,,,,https://list.am/en/item/16571467
Stone,No,Not available,3,21 sq.m.,1,1,from 2.7 m,3,Closed balcony,Old Renovation,"Garegin Nzhdeh Street, Yerevan","$10,300",USD,"Գտնվում է Սիսիան քաղաքի կենտրոնում, կամարներով շենքի կողքին։ Լուսավոր, տանիքը վերանորոգված, դրսի դուռը փոխված, եվրոպատուհան, ջրի խողովակները փոխված են։ ԳԻՆԸ ՍԱԿԱՐԿԵԼԻ!",Nov-25-2022_14-05,,,,,,https://list.am/en/item/15227180
Stone,No,Not available,5,30 sq.m.,1,1,from 2.7 m,1,Not available,Euro Renovation,"Shahumyan street 31, Kapan","8,700,000 ֏",AMD,"1-room apartment is for sale, renovated, with property, metal door, European windows, changed electric wires. NOT FOR RENTTranslated from Armenian",Nov-25-2022_14-05,By agreement,,,,,https://list.am/en/item/15605442
Stone,No,Not available,5,39 sq.m.,1,1,from 3 m,3,Closed balcony,Major Renovation,"Квартал Багаберд 16, Капан","$30,000",USD,В квартире сделан капитальный ремонт! Все менялось до единого! В квартире есть газовое отопление и гейзер! Так как Квартира капитально ремонтирован в доме очень тепло и нет не обходимости проводить Бакси! Окна все европейские! Стиль в доме Европейского плана! Мебель вся новая! Продажа можно и с мебелью! По вопросам пишите на россиский номер на вотсап! Ануш,Nov-25-2022_14-05,,,,,,https://list.am/en/item/17246675
Panels,No,Available,9,66 sq.m.,2,1,from 2.75 m,7,Closed balcony,Old Renovation,"Փարամազի փողոց 14, Մեղրի","5,000,000 ֏",AMD,"Վաճառվում է 2 սենյականոց (3 դարձնելու հնարավորությամբ) բնակարան Մեղրի քաղաքի Փարամազ փողոցի 9 հարկանի թիվ 19 շենքի 7-րդ հարկում։ Շենքում առկա է գործող վերելակ։ Ընդհանուր մակերեսը մոտ 66 քմ. ։ Բնակարանը լուսավոր և արևկող է ողջ օրվա ընթացքում։ Բնակարանից բացվում է գեղեցիկ տեսարան դեպի Մեղրու կենտրոն, Փոքր թաղ և բակ։ Բնակարանն ունի մեծ փակ պատշգամբ, մեծ ներկառուցված խորդանոց, փոխված են խոհանոցի և սանհանգույցի խողովակները, տեղադրված է նոր զուգարանակոնք։ Բնակարանն ունի հին վերանորոգում: Ցանկության դեպքում հնարավոր է վաճառք դաշնամուրի, հյուրասենյակի և ննջասենյակի կահույքի հետ միասին։ Գինը սակարկելի, մանրամասների համար կարող եք զանգահարել նշված հեռախոսահամարներով։ Հնարավոր է դիտարկել նաև վարձակալության տարբերակը։Продается 2-комнатная (с возможностью сделать 3 комнаты) квартира на 7-ом этаже 9-ти этажного дома № 19 на улице Парамаза в городе Мегри. В здании есть действующий лифт. Общая площадь около 66 квадратных метров. Квартира очень светлая и имеет прекрасный вид на центр города, район «Покр Тах» и двор. В квартире большой закрытый балкон, большой встроенный чулан, заменены трубы в кухне, санузле, установлен новый туалет. В квартире старый ремонт. При желании квартиру можно продать вместе с пианиной, мебелью для гостиной или спальни. Цена договорная, подробности можно узнать по телефону. Так же возможно рассмотреть вариант аренды.",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/16245656
Panels,No,Not available,5,73 sq.m.,3,1,from 2.8 m,2,Closed balcony,No Renovation,Syunik › Kapan,"$12,000",USD,"It is located in Barikavan district of Kajaran city (ZA) It is in a state of repair, the location is very convenient.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17910873
Panels,No,Available,9,100 sq.m.,4,2,from 2.75 m,9,Multiple balconies,Major Renovation,"Ռաֆայել Մինասյան փողոց 19Ա, Կապան","35,000,000 ֏",AMD,"For sale is a 4-room sunny, fully furnished and very spacious apartment with an area of 100 square meters, on the 9th floor of a 9-story building, located in R. On Minasyan Street. It has two bedrooms, a dining room, a study, a separate bathroom, a large kitchen and a separate dressing room. The apartment is fully renovated, the external walls are thermally insulated. The windows are made in Europe, the chandeliers are remote controlled and LED. The apartment has balconies on both sides with a wonderful view of Khustup mountain and different parts of the city. It is heated by a gas boiler. The bathroom and kitchen are tiled and fitted with plumbing fixtures. It is full of built-in wardrobes both in the hallway, in the kitchen and on the balconies. There are two storage rooms with the apartment. One on the roof equal to the area of the apartment (100 square meters), the other on the 1st floor of the building (4 square meters) The roof is repaired and does not leak.The apartment is sold with all property and equipment.Translated from Armenian",Nov-25-2022_14-05,Available,OUtdoor parking,"FRidge, stove, washing machine","YArd view, street view, city view",,https://list.am/en/item/18014752
