Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Links
Stone,No,Not available,5,51 sq.m.,2,1,from 2.7 m,1,Closed balcony,Not available,Old Renovation,"Ստեփան Շահումյանի փողոց 16, Ջերմուկ","23,000,000 ֏",AMD,"Private apartment for saleIn Jermuk. 5/1 high floor. There is permanent water, electricity, gas, internet. The apartment is not inhabited. It is for sale urgently. There is no registered person, only the owner. The total area is 50.9. The apartment is located next to the sanatoriums, next to the Gallery.Translated from Armenian",Nov-25-2022_14-02,,,https://list.am/en/item/17559184
Stone,No,Not available,5,51 sq.m.,2,2,from 2.7 m,1,Closed balcony,Not available,Old Renovation,"Ստեփան Շահումյանի փողոց 16, Ջերմուկ","$48,000",USD,"2-room apartment for sale, Jermuk. 5/1 high floor. There is permanent gas, water, electricity, internet. It is not inhabited. There is no registered person. It is for sale urgently. The apartment is located next to the Gallery.Translated from Armenian",Nov-25-2022_14-02,,,https://list.am/en/item/17559462
Stone,Yes,Not available,4,95 sq.m.,3,1,from 3 m,1,Closed balcony,,Major Renovation,"Shahumyan street, Jermuk","$29,900",USD,"Apartment for sale in Jermuk Dzakhapnyak, 3-room stone building, fully renovated, uninhabited, has a basement, also renovatedTranslated from Armenian",Nov-25-2022_14-02,,,https://list.am/en/item/15769014
Stone,No,Not available,5,48 sq.m.,1,1,from 2.8 m,5,Closed balcony,,Euro Renovation,Vayots Dzor › Jermuk,"$18,000",USD,"Side, with heating system, renovated, with bedroom. For sale with property.Translated from Armenian",Nov-25-2022_14-02,,,https://list.am/en/item/17512691
Stone,No,Not available,5,100 sq.m.,4,1,from 2.75 m,5,Not available,Not available,Euro Renovation,Yerevan › Erebuni,"$90,000",USD,"In Erebuni, close to the station, a 4-bedroom apartment is for sale, fully renovated, urgent, negotiable.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18232399
Stone,No,Not available,5,65 sq.m.,3,1,from 2.7 m,5,Closed balcony,,Euro Renovation,"Մյասնիկյան փողոց 24, Ջերմուկ","$30,000",USD,"Квартира в курортной части города Джермук. Очень светлая, с прекрасным видом на горы. После ремонта в квартире никто не жил. Полностью укомплектована. Мебель и техника новые и неиспользованные (стиральная машинка, телевизор, духовка, холодильник, плита) 7 спальных мест. Бакси, отопление.",Nov-25-2022_14-03,,,https://list.am/en/item/17845347
Monolith,No,Not available,1,120 sq.m.,5,1,from 3 m,1,Open balcony,Available,Major Renovation,Vayots Dzor › Yeghegnadzor,"$65,000",USD,The apartment has been renovated and has 5 rooms.Translated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/17935354
Stone,No,Not available,3,40 sq.m.,2,1,from 3 m,2,Open balcony,,Cosmetic Renovation,"Stepan Shahumyan Street 8, Jermuk","$35,000",USD,An apartment with furniture is for sale in the center of Jermuk (right bank) The price is negotiable.Translated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/18195740
Stone,No,Not available,1,35 sq.m.,1,1,from 3 m,1,Not available,,Old Renovation,Vayots Dzor › Jermuk,"$11,500",USD,"Shop for sale in Jermuk. If you have any questions, call the mentioned phone number.Negotiable!Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/13165491
Stone,No,Not available,4,46 sq.m.,1,1,from 2.8 m,3,Not available,,Major Renovation,"Grigor Narekaci street, Yeghegnadzor","$13,500",USD,"The apartment is completely renovated, has a niche. The entrance door has been changed, it has a garage.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18240007
Stone,No,Not available,5,50 sq.m.,2,1,from 2.75 m,4,Closed balcony,Available,Euro Renovation,"Jermuk Highway, Vayk","$20,500",USD,"With rent: 70,000 DND per month.1-The apartment is sold in two versions: With property and without property.2-There is no problem with communication (water, electricity, gas)3-The apartment is modified: A living room and two bedrooms.4-The property is new, it has been used for a month.5-80% of the city can be seen from the balcony.6-European windows, heating with gas, gas boiler.7-The apartment is located in K. In Vaikum.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18372057
Stone,Yes,Not available,1,50 sq.m.,2,1,from 2.8 m,1,Not available,Available,Major Renovation,"Ստեփան Շահումյանի փողոց 2, Ջերմուկ","$35,500",USD,"Completely renovated, newly built buildingwith property.2-room apartment 2senyakanoc is available for rent in Vimanak, in the center of Ajapnyak.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17604465
Stone,No,Not available,4,37 sq.m.,2,1,from 3 m,2,Open balcony,Available,Major Renovation,"Stepan Shahumyan Street 12, Jermuk","$33,000",USD,"Jermuk, Near Gallery, top location.Ստեփան Շահումյանի փողոց 8, Ջերմուկ2 room Apartment in Jermuk city, full removed, located in Left side in center, THE BEST LOCATION.Near Mineral water galleryWatsApp + 14844096664",Nov-25-2022_14-03,,,https://list.am/en/item/17820152
