Construction Type,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Interior Finishing,Handover Date,Mortgage is Possible,Address,Price,Currency,Description,Datetime,The House Has,Parking,Links
Monolith,Available,14,58 sq.m.,2,1,from 3 m,4,Open balcony,Prefinished Interior,Q2 2023,Yes,"Մամիկոնյանց փողոց 79, Երևան","$105,000",USD,"A 2-room apartment in excellent condition is for sale in a newly constructed building in the middle of Komitas and Vratsakan streets, on Mamikonyants street.• The apartment has an eastern orientation• Thermo-aluminum windows and an iron dark door will be installed• There is an exit to the open balcony from the bedroom and living room• The kitchen is separate• Delivered with plastered partitions• Developer: ""Capital Build""• Handing over the building in March. It will have a two-way approach, landscaped yard, underground parking spaces, commercial areas.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service commission: 0% of the sale price.Code KR330Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18646585
Monolith,Available,6,95 sq.m.,3,1,from 3 m,6,Open balcony,Unfinished Interior,Q2 2024,Yes,"Viktor Hambartsumyan street 25, Yerevan","$161,500",USD,"*3-room apartment in a newly built building on Viktor Hambardzumyan street, 95 sq. M. , high ceilingsWe present to you a new project directly from the developer, near Barekamutyan metro, at Victor Hambardzumyan 25, which offers you apartments with the most favorable conditions.The area will be equipped with a playground and underground parking spaces.• Address: 25 Viktor Hambardzumyan• Total area: 400 m2• Number of taxes: 6• Elevator• Parking - 22 spaces in the underground floor• Landscaping: 600 m2• Elevator: Available• Playground: 1• Public spaces: 300 m2• Seismic resistance: 9 pointsHurry up to take advantage of this exclusive offer.Translated from Armenian",Dec-15-2022_22-59,"Intercom entry, playground","Outdoor parking, covered parking",https://list.am/en/item/18683687
Monolith,Available,15,88 sq.m.,3,1,from 3 m,5,Open balcony,Unfinished Interior,Q2 2024,Yes,"Ավան-Առինջ 1-ին միկրոշրջան, Երևան","420,000 ֏",AMD,"Newly constructed building in AvanThe price per square meter is AMD 420,000Under the Income Tax Refund ActFrom the developerTranslated from Armenian",Dec-15-2022_22-59,"Intercom entry, playground","Outdoor parking, covered parking",https://list.am/en/item/18696653
Monolith,Available,8,,3,1,from 3 m,5,Open balcony,Unfinished Interior,,Yes,"Arabkir 51-st street 1/1, Yerevan","$135,000",USD,"Newly built, directly from the developer,74-125 square meter houses are availableTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17881428
,,,,,,,,,,,,"Tbilisian Highway, Yerevan","$28,000",USD,"Hurry up to buy from the developerArabkir communityTbilisi street, (YAB school)Available: 28 sq. M.-88 sq. M60% down payment40% without interest in 3 years repaymentFrench style dungeonProject of your choiceEuropean window (stained glass)Gypsonite whitewashed walls, electricity, waterGas at the entrance, constant light source waterStock 28,38,41,46 and upThe end of '30.06. 2023 numberTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18543130
,,,,,,,,,,,,"Avan-Arinj 1st micro, Yerevan","14,440,000 ֏",AMD,"Hurry up to buy from the developerAvan-Arinj1 microdistrict(back of Besik House)60% down payment40% repayment for three years with no premiumAny of your projectsGypsonite white wallsEurope windowPermanent water, gas, 2 elevators1 square meter, 2-6 floors, 360,0007-14 floor 380000Avart' on June 30, 2024Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18275331
Monolith,Available,11,38 sq.m.,2,1,from 3 m,8,Open balcony,Unfinished Interior,Q2 2023,No,"Մոլդովական փողոց 12/2, Yerevan","$38,000",USD,"Hurry up to buy from the developerAdvance payment 60%40% 3 years repayment without premium 0 %Project of your choicegypsonite white wallsEuropean windows, gas at the entrance, spring waterTruck and passenger liftEnd on December 30, 202338, 45, 57, 65, 78, 103 square meters are available1 square meter, 2-5 floors, AMD 380,0006-10 floors, 400,000 AMDTranslated from Armenian",Dec-15-2022_22-59,Playground,Covered parking,https://list.am/en/item/18275983
Monolith,Available,14,34 sq.m.,2,1,from 3 m,6,Open balcony,Unfinished Interior,Q2 2024,No,Yerevan › Avan,"$36,000",USD,"Hurry up to buy from the developerAvan Arinj 1 microdistrict(near Besik House)Prepaid option with no extra charge60% + 40% 3 years repaymentIs available58 square meters - 200 square metersProject of your choiceGas, parkingEnd 30.06.2024.1 square meter, 1-6 floors, AMD 3,600,0007-13 floors 380,000 dramsTranslated from Armenian",Dec-15-2022_22-59,Playground,"Outdoor parking, covered parking",https://list.am/en/item/18262220
,,,,,,,,,,,,"Թբիլիսյան խճուղի 7/8, Երևան","$83,000",USD,"For urgent sale in a newly constructed building from the developerTbilisi street, (near YAB school)60% down payment40% 3 years repayment period 0%Any of your projectsGypsonite walls, Euro windows, water, sewer, air duct insideThere is 1 floor, 50 square meters - 2 bedrooms1 floor, 53 square meters - 3 rooms3 floors 83 square meters - 4 bedrooms (optional)Gas, constant light source water,End on 30.12.2012Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18261468
Monolith,Available,10,,4,3+,from 3 m,8,Multiple balconies,Prefinished Interior,,Yes,"Myasnikyan avenue, Yerevan","71,645,000 ֏",AMD,"WITHOUT INTERMEDIATE PAYMENT, BUILDER, INCOME TAX REFUND, 1 SQM: AMD 575,000. Gaj, European windows, iron entrance door, 3 bathrooms, 2 open balconies, beautiful view.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18518719
