Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Agricultural Space,Stone,1183 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,Gegharkunik › Gavar,"$40,000",USD,"Livestock farm for sale URGENTLY in Gavar city (Azatutyun str. #1 warehouse building) It is very suitable for carrying out any animal husbandry activity. A large water yard has also been installed, three-phase electricity has been installed, all communications are working flawlessly.Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/18087677
Retail Space,Stone,130 sq.m.,,,,,"Միքայել Նալբանդյանի փողոց, Սևան",$300,USD,"It is located on the 1st floor of a 5-story stone building on Nalbandian Street in Sevan, it has worked as a food store, lavash workshop, warehouse, it has gas, water, electricity, three-phase electricity, a bathroom, the ceiling height is 3.50m, it also has an entrance from the back of the building, 1 sq. M. The price is 300 dollars, the total area of the building is 130.0 square meters, I will also sell a partial one starting from the area of at least 50.0 square meters, it can also serve as an apartment.Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/16851466
Multifunctional Space,Panels,240 sq.m.,,,,,Gegharkunik › Sevan,"$25,000",USD,"Construction type reinforced concrete roofing, dimensions 36/6 pillow. 5 m. Iron entrance gate 3/4 m. Suitable for production, warehouse, car service, etc. For business activities. Gas, water, power line (three-phase) from 10 meters. 550 m from Lake Sanaa. Distance. Details by call, negotiable.Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/17311280
Building,Stone,1000 sq.m.,Available,Not available,First Line,Separate from the Street,"Շահումյան փողոց 51, Վարդենիս","$30,000",USD,"Two-storey building - a building with its adjacent area is for sale or rent, the area of the building is 300 square meters. It is provided with constant water, gas and electricity. There are 4 rooms on the first floor, 5 on the second floor. It is located on the main road leading to Akunk village, at 10 Shahumyan Street.Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/16480414
Everything Else,Stone,49 sq.m.,,,,,"Nalbandyan street, Sevan town","4,000,000 ֏",AMD,"The entrance to the area is from the 1st floor, with a metal door, the interior doors are wooden/metal-plastic, the windows are metal-plastic, completely renovated, the floor is tiled, all utilities are available.The space has been used as a hairdressing salon, it is also suitable for use as an office or other similar activities.Code 11-03Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/18135873
Industrial and Manufacturing,Stone,1129 sq.m.,,,,,Gegharkunik › Sevan,"34,900,000 ֏",AMD,"Արտադրամասի շինությունների ընդհանուր մակերեսը - 1,129.3քմ․Հողամասի մակերեսը - 14,234 քմ․Ջրամատակարարում, էլեկտրամատակարարում, գազամատակարարում և կոյուղի։Գինը սակարկելի է։Կոդ 4-48",Nov-24-2022_21-57,,https://list.am/en/item/14972736
Warehouse,Monolith,108 sq.m.,Not available,Not available,Second Line,Common from the Street,"Nalbandyan street, Sevan town","$4,200",USD,"Ownership certificate, garage, warehouse, workshop, workshop, 73 sq. M. + 36 sq. M. Nkux, the roof of the building and basement is reinforced concrete.Translated from Armenian",Nov-24-2022_21-57,OUtdoor parking,https://list.am/en/item/13526033
Building,Stone,1620 sq.m.,Available,Not available,Second Line,Separate from the Street,Gegharkunik › Shoghakat,"10,000,000 ֏",AMD,"A private house is for sale on the shore of Xi'an, which can be used as a recreation area. The private house is located in the center of the land, it has an entrance from both sides, cottages or buildings can be placed on the land.The house is provided with constant water, gas and electricity. Partial sale or exchange with the car is possible with your surcharge.Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/17470938
Retail Space,Stone,120 sq.m.,Not available,Not available,First Line,Common from the Street,Gegharkunik › Geghamavan,"$5,000",USD,The shop is gasified and located in the center of GekhamavanTranslated from Armenian,Nov-24-2022_21-57,,https://list.am/en/item/17944062
Everything Else,Wooden,7 sq.m.,,,,,"Grigor Lusavorich street 2, Gavar boundary","180,000 ֏",AMD,A small house is for sale. It is in normal condition.Translated from Armenian,Nov-24-2022_21-57,,https://list.am/en/item/17963492
Multifunctional Space,Stone,90 sq.m.,By agreement,Not available,First Line,Common from the Street,"Nairyan Street, Sevan town","$50,000",USD,It is possible to call the Viber number for long-term rentTranslated from Armenian,Nov-24-2022_21-57,,https://list.am/en/item/18190876
Functioning Business,Wooden,4500 sq.m.,Available,Not available,First Line,Common from the Street,Gegharkunik › Sevan,"$74,000",USD,"Exchange. Urgent sale of an existing resort on the shores of Lake Sevan, on the 5th km of the Sevan-Chambarak highway, next to the Central Bank vacation house. The resort has 4500 square meters of land with standard, semi-deluxe and deluxe cottages, an open-air cafe, and a playground. The resort is provided with constant water, three-phase electricity and gas. Has a regular clientele, is fully booked during the holiday season. Has a capital construction permit.The price is negotiable, exchange with an apartment is possible.Urgent sale at an unprecedented low price. NegotiableTranslated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/17873601
Building,Stone,235 sq.m.,Not available,Not available,First Line,Separate from the Street,Gegharkunik › Martuni,"$60,000",USD,"Commercial space for sale or rent in Martuni, on Shahumyan street, Martuni-Geghovit road, first line. The building is 235 square meters, there is also a free plot of land behind it. It is suitable for various purposes. The price is negotiable. For detailed information, call the indicated phone number.Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/17816513
Multifunctional Space,Cassette,400 sq.m.,Not available,Not available,First Line,Separate from the Street,"Azatutyan Avenue, Yerevan","$95,000",USD,"Commercial area of 400 sq. M. Is for sale. In the center of Gavar city, 1st line is suitable for any kind of activity.It is for rent for 250,000 dramsPartial rejection is possibleTranslated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/17241207
Functioning Business,Stone,"10,000 sq.m.",Available,Not available,Second Line,Separate from the Street,Gegharkunik › Sevan,"$1,300,000",USD,"Recreation area for sale in Syan with its cottages, it is a functioning business, the total land is 20,000 square meters, it has 6 two-storey private houses with communal facilities, a separate beach. Call for details.Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/16631156
Functioning Business,Stone,4500 sq.m.,,,,,Gegharkunik › Chambarak,"13,000,000 ֏",AMD,Ферма анаснагом 711к. М Тарацк амбохч 4500 к. М.,Nov-24-2022_21-57,,https://list.am/en/item/16215276
Multifunctional Space,Stone,1200 sq.m.,,,,,Gegharkunik › Martuni,"$400,000",USD,Продам участок в самом центре города возле здания администрации 1200м2 на котором находится здание 150м2 (гаражи + автомойка + офис),Nov-24-2022_21-57,,https://list.am/en/item/18190771
Retail Space,Cassette,9 sq.m.,,,,,Gegharkunik › Gavar,"400,000 ֏",AMD,"It is in good conditionDimensions 2.60 m - 3 mThe inside has been repaired, it is thermally insulated.It can work as a hairdressing salon, shop or for other purposes.Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/17722907
Hotel,Stone,2800 sq.m.,Available,Not available,Other,Separate from the Street,Gegharkunik › Sevan,"$175,000",USD,"In the Chkalaovka community of the Sevan-Gavar highway, about 50m from Lake Sevan, a 2800 square meter plot of land is for sale with a 1400 square meter operating restaurant (4 rooms with 8 seats, 1 room with 30 seats) and 3 deluxe hotel rooms, the remaining 1400 square meters can be used for any activity. The object is sold together with the entire property. The object is active. It is also possible to exchange (for an apartment or a car with an additional fee from you)Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/18214698
