Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Retail Space,Stone,153 sq.m.,Not available,Not available,Second Line,Common from the Courtyard,"Moskovyan street, Vanadzor","17,000,000 ֏",AMD,"The building is located at 58/2 Moskovyan Street, Vanadzor.For details, call the mentioned phone number.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17926846
Retail Space,Stone,42 sq.m.,,,,,Lorri › Alaverdi,"5,000,000 ֏",AMD,"The building is located in the city of Alaverdi, in building 1/13 of the Sanahin Plateau. Call for details. You can pay the amount in 2 installments.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17985859
Automotive Service,Stone,7000 sq.m.,,,,,"Թորոսյան փողոց 11, Սպիտակ","$580,000",USD,"Հարգելի գնորդ, Վանաձոր-Գյումրի ճանապարահատվածի 31-րդ կմ-ի վրա (Սպիտակ) վաճառվում է ավտոսպասարկման համալիր տարածք՝ ԲԵՆԶԱԼՑԱԿԱՅԱՆ (բենզին, դիզել) ԵՒ ԳԱԶԱԼՑԱԿԱՅԱՆ (մեթան, պռոպան) :Տարածքը նորակառույց է, հագեցած է բոլոր անհրաժեշտ հարմարություններով:Մատակարարումը ստանում է անմիջապես «Տրանս Գազ»-ից:Լցակայանը սպասարկում է հարակից 16 գյուղ, գտնվում է Մ-6 միջպետական մայրուղու վրա (Սպիտակ-Գյումրի-Թուրքիա)Տարածքի մակերես՝ 3000 ք. Մ.Սերվիտուտ՝ 7000 ք. Մ.Շինությունը՝ 360 ք. Մ. Հագեցած կոմունալ բոլոր հարմարություններով:Հարցերի համար խնդրում ենք զանգահարել կամ գրել:",Nov-24-2022_22-01,,https://list.am/en/item/15890425
Industrial and Manufacturing,Stone,384 sq.m.,,,,,"Լազյան փողոց 33Ա, Վանաձոր","$480,000",USD,"Հարգելի գնորդ, Վանաձորի սրտում վաճառվում է գործող արտադրական տարածք:Ընդհանուր մակերեսը՝ 384 ք. Մ.+ Եռաֆազ հոսանք, ջաք-սառը ջուր, ջեռուցման համակարգ, օդափոխումՇինությունը ամբողջությամբ վերանորոգվել է 2021թ. -ին, գտնվում է գերազանց վիճակում, ունի կոմունալ բոլոր հարմարությունները ինչպես արտադրություն, այնպես էլ բիզնես այլ գործունեություն ծավալելու համար:",Nov-24-2022_22-01,,https://list.am/en/item/15860732
Industrial and Manufacturing,Stone,2000 sq.m.,,,,,"Narekaci street, Vanadzor","$800,000",USD,"Հարգելի գնորդ, վաճառվում է արտադրական տարածք Վանաձոր քաղաքում:Ընդհանուր մակերես՝ 2000 ք. Մ.Շինություն՝ 964 ք. Մ.+ Եռաֆազ հոսանք, միջին ճնշման գազ, տաք և սառը ջուր+ Ջեռուցման համակարգ, օդափոխում+ Պարիսպ՝ 3մ բարձր. 100մ երկ.+ + + Արտադրամասը ունի գնացքի կցորդի կայանատեղի և հարմար է ինչպես արտադրամաս, այնպես էլ որպե պահեստային տարածք օգտագործելու համար:Մանրամասների համար խնդրում ենք զանգահարել:",Nov-24-2022_22-01,,https://list.am/en/item/15860724
Agricultural Space,Stone,180 sq.m.,,,,,Lorri › Spitak,"$28,000",USD,"Cattle farm for sale, dimensions 30x6 meters. There is permanent water and electricity. The land area is 5000 meters, which includes a pond. A river flows along the land.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18095555
Everything Else,Stone,85 sq.m.,Not available,Not available,Other,Separate from the Courtyard,Lorri › Vanadzor,"$8,500",USD,A select barn with all its amenities is for sale.Translated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/16646874
Functioning Business,Stone,800 sq.m.,Not available,Not available,Other,Common from the Street,Lorri › Gyulagarak,"$20,000",USD,"Area 800 m, sq. M., there is wooden roof, permanent water, permanent electricity, sewerage, concrete nurseries, water line with half-pipes on the nurseries.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/15490013
Industrial and Manufacturing,Panels,"12,000 sq.m.",Not available,Not available,First Line,Separate from the Street,"Ղազարոս Աղայանի փողոց 95/3, Վանաձոր","120,000,000 ֏",AMD,Lamper factory administration building 2170 sq m and 12000 sq m fenced garden Suitable for recreation area for hotel restaurant and other activities. The cadastral value of the land has been added.Translated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/18242059
Multifunctional Space,Stone,82 sq.m.,Not available,Not available,First Line,Separate from the Street,Lorri › Vanadzor,"$50,000",USD,"K, Demirchyan street 6 building, former giants building, 1st line, stained glass windows 0 entrance. Suitable for various commercial purposesprice is negotiableOr for rent:150,000 AMD, negotiableTranslated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16511750
Retail Space,Panels,140 sq.m.,By agreement,Available,First Line,Common from the Courtyard,"Agayan street 59/3, Vanadzor","$43,000",USD,"Apartment in Vanadzor, which can be used for commercial, office or other purposes.Area 140m, first floor, five rooms, projectile, 20 meters front. It has a basement of about 100 square meters, as it is possible to increase the area by about 100 square meters (there is a precedent)Negotiable:Vanadzor Vanadzorum:Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16407455
Everything Else,Bricks,200 sq.m.,Not available,Not available,First Line,Common from the Street,Lorri › Pambak,"$55,000",USD,"The land is located on the 7th km of Vanadzor Bagratashen M6 road. Suitable for all kinds of business. Gas and water is right next door, there is no problem of return.(The store is not a rib area)Exchange with an apartment or a car.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17871535
Multifunctional Space,Stone,250 sq.m.,Available,Not available,First Line,Separate from the Courtyard,Lorri › Lermontovo,"17,000,000 ֏",AMD,"Operating business, can be used as a shop, guest house, tea house, etc.Gas, light-three-phase, water, bathroom, kitchen, bedrooms, garage, summer pavilion with barbecue, cellar.The property area is 210 square meters, the building area is 150 square meters.Exchange for an apartment.It is also provided with a monthly fee, the monthly fee is AMD 150,000.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/13018717
Retail Space,Stone,140 sq.m.,,,,,Lorri › Alaverdi,"$7,500",USD,8 km from Alaverdi cityTranslated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/16720733
Retail Space,Stone,130 sq.m.,Not available,Not available,Second Line,Common from the Street,"Egishe Charents street, Stepanavan","11,000,000 ֏",AMD,Three-phase current is available for setting up a suitable shop or factoryTranslated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/15520338
Retail Space,Stone,100 sq.m.,Not available,Not available,First Line,Common from the Street,"Գարեգին Նժդեհի փողոց 7/31, Վանաձոր","$140,000",USD,"A commercial space of 100 sq/m is for sale, which can also be used as an office space. It has a security system, high-quality cameras, the latest generation Ariston heating boiler, the floor is heated. Interior and exterior finishing works are complete.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18307667
Office Space,Stone,70 sq.m.,Available,Not available,Second Line,Separate from the Courtyard,Lorri › Vanadzor,"$80,000",USD,"A 2-room apartment converted into 4 is for sale in the center of the city. It is suitable for use as an office in the service sector. It has been completely renovated, it needs light cosmetic repairs. A basement of 15m is provided with the apartment. Call Viber or WatsApp.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16861230
Everything Else,Stone,100 sq.m.,,,,,Lorri › Alaverdi,"$17,000",USD,The cattle barn has the possibility of different purposes. There is also a land grazing barn.Translated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/15549345
Hotel,Stone,1220 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,Lorri › Stepanavan,"$44,000",USD,"A house-guest house is for sale in Lori marz, in the picturesque Agarak village near Stepanavan.Wonderful and heavenly views open from all sides, with an indescribably peaceful and harmonious environment.It is an ideal place for you and your guests.The guest house is under renovation, it is unfinished.All bedrooms have separate bathrooms.The roof, windows, heating system, water pipes, electric wires are new.A security system, cameras are installed. WF.The total area of the house is 340 square meters, the plot is 1220 square meters.It has a large balcony of 60 square meters.Very urgently.DJI 0478 DJI 0479 DJI 0480 DJI 0481 DJI 0475 Translated from Armenian",Nov-24-2022_22-01,OUtdoor parking,https://list.am/en/item/17885502
Restaurant,Bricks,160 sq.m.,,,,,"Улица Баграмян 44, Степанаван","$100,000",USD,"Продается коммерческая площадь/Ресторан/ в регионе Лори, у туннеля в Степанаван. Общая площадь ресторана 160 кв. М, рядом зеленая территория с маленькими беседками. Все коммуникации проведены, ресторан находится на дороге ведущей к туннелю /Ванадзор-Степанаван/.",Nov-24-2022_22-01,,https://list.am/en/item/18290658
Industrial and Manufacturing,Stone,8600 sq.m.,,,,,"Северная улица 18, Ванадзор","130,000,000 ֏",AMD,"Foundation area, which is very suitable for organizing any type of business activity. It is fenced, has an entrance rail, storage area, boxes, cabinet parts, etc.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18051709
Retail Space,Stone,100 sq.m.,Not available,Not available,First Line,Separate from the Street,Lorri › Vanadzor,"$40,000",USD,"The area is for rent, it is next to the new hospital in Vanadzor. Suitable for any business (bistro, flower shop, grocery store) or clinic, pharmacy. Euro is renovated with all utilities. It is for rent. Price is negotiable. Shared with your apartment in the city center for an extra chargeTranslated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16918670
Building,Stone,150 sq.m.,Not available,Not available,First Line,Separate from the Street,Lorri › Spitak,"100,000 ֏",AMD,"Cattle ranch for rent in Shenavan village, Spitak.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17254428
Retail Space,Monolith,52 sq.m.,Not available,Not available,First Line,Separate from the Street,"Գրիգոր Լուսավորչի փողոց 39Բ, Վանաձոր","$42,900",USD,"Shop for sale in the center of the city, in front of the market, 32 square meters building + 20 square meters of privatized area with building roof, currently leased, also exchange for a car with your additional fee.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17866030
Retail Space,Stone,100 sq.m.,,,,,"Usanogakan street, Vanadzor","$60,000",USD,"It is sold together with the property, it is possible to exchange it with an apartment (in the center)The Village Academy is located in the neighborhood.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18350170
Industrial and Manufacturing,Panels,2400 sq.m.,Not available,Not available,First Line,Separate from the Street,"Շիրակի փողոց 67Ա/1 , Վանաձոր","$200,000",USD,"Production area (workshop), buildingProduction area for sale. Vanadzor, at 67 Shirakatsi street.(part 3) The area is fenced, has three-phase current, permanent water.The total area of the area is 2,400 m2The building area of the workshop is 1,296 m2The building can be used for any type of production. For other questions, you can call the Price ContractTranslated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17387168
Industrial and Manufacturing,Panels,525 sq.m.,,,,,Lorri › Vanadzor,"$68,000",USD,"URGENT The production area is for sale in the area of 525 square meters, there is a building of 200 square meters, a 70 square meter house is built next to it for living. The area is located at Boshian address... Privatized next to the restaurant ""Krasavanist"".It is possible to exchange with a car or another vehicle at your additional cost...Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17681705
Hotel,Stone,5200 sq.m.,,,,,"Maymekh street, Vanadzor","$500,000",USD,"Urgent Hotel complex for sale in Lori region, in the part from Vanadzor to Dilijan, in the woods. The building area is 5200 square meters. Մ. , of which bedroom building 2018 c. Մ. , canteen 93 sq. M. Մ. , cottage 190 sq. M. Մ. , cottage 60 sq. M. M, cottage 87 c. M, cottage 64 sq. M. M, boiler house 60 sq. M. Մ. , substation 26 c. Մ. , guard house 8.3 sq. M. M.:Adjacent land 26,000 sq. M. M.: There are 50 bedrooms.Former lamp house rest house.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17608501
