Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Industrial and Manufacturing,Panels,1500 sq.m.,By agreement,Not available,Second Line,Common from the Courtyard,"Artem Mikoyan street, Yerevan","$580,000",USD,Продаётся производственное помещение с работающим бизнесом.,Nov-24-2022_21-42,,https://list.am/en/item/17699296
Multifunctional Space,Monolith,400 sq.m.,,,,,"Gyurjyan street, Yerevan","$380,000",USD,"In the 3rd block of Nor Nork, next to the hospital, a multi-functional newly built two-story building is for sale, with excellent opportunities for commercial activities. The building consists of 5 separate apartments (11 rooms in total)Can serve as:House, Guest House,KindergartenIT sector office,Medical Laboratory and similar activities.Long or short term rental. All conditions are present to carry out the above activities.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18323401
Retail Space,Monolith,180 sq.m.,Not available,Not available,First Line,Common from the Street,"Malatia street 70, Yerevan","130,000,000 ֏",AMD,"A 3-storey commercial area with a total area of 180 square meters (2 floors + basement) is for sale at 74 Malatia Street. The area of each floor is 60 square meters, the height of the basement floor is 4 meters, the height of the 1st and 2nd floors is 3 meters. The building is made of monolithic reinforced concrete. The foundation is very strong and it is (technically) possible to build several more floors. The land is also own, with an area of 60 square meters. Located on Malatia Street, next to Gor Clothing Store, 100 meters from Malatia Fair. It was a branch of a credit organization, then a thrift store. Air conditioning, security and smoke alarm system installed. There is a bathroom, three-phase electricity, an elevator from the basement to the first floor.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18205534
Industrial and Manufacturing,Stone,840 sq.m.,Not available,Not available,Second Line,Separate from the Street,Yerevan › Kanaker-Zeytun,"$200,000",USD,"AGENCY AVERAGE FEE 2%Industrial warehouse commercial space for sale in Kanaker. The area of the land with a certificate is 750 square meters, there is a production warehouse commercial building of 320 square meters. 30 meters from the main road with a frontage of 40 meters on a secondary street. It also has a self-built building of 90 square meters. It is also possible to sell by buying a 100% share, in which case there will be a big price reduction.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18155272
Multifunctional Space,Monolith,3400 sq.m.,By agreement,Not available,First Line,Separate from the Street,"Davit Bek street, Yerevan","$1,800,000",USD,"Nork Marash, on Davit Bek street, near the TV tower, first line, A space for sale, suitable for any activity, is an active business:Factory of paper bags and sacks, provided with machine tools and orders.As a business, with machine tools and orders $2,400,000The area can only be sold, without machinery, $1,800,000 million.The buildings are built in accordance with all international standards and are suitable for re-profiling as any other productions, as well as a store, shopping center, banquet hall, hotel, etc.There are 1,700 square meters of buildings, two production areas, a storage area, an office area, a kitchen, bathrooms, and security video surveillance systems in the area.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17475681
Multifunctional Space,Panels,364 sq.m.,Available,Not available,First Line,Separate from the Street,"Grigor Hasratyan street, Yerevan","$500,000",USD,"3-storey newly built building, basement + 2 floors, 6 apartments, all Arand gas-fired, Arand with co-heating, 6 Arand entrances, new property with appliances, semi-basement with entrance to Arand, 120 sq.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17271139
Office Space,Monolith,53 sq.m.,Available,Available,First Line,Separate from the Street,"Դավթաշեն 4-րդ թաղամաս 33/1, Երևան","$95,000",USD,Public space for saleThe area is completely renovated.Areas of different sizes are available. 30-180m squareTranslated from Armenian,Nov-24-2022_21-42,,https://list.am/en/item/11793713
Multifunctional Space,Monolith,77 sq.m.,Not available,Not available,First Line,Separate from the Street,"Hrachya Kochar Street, Yerevan","$169,500",USD,"On the 1st line, 2 universal spaces are for sale, occupying 77 sq/m and 92 sq/mOn the 1st floor of a newly built buildingThe entrance directly from the street has wide stained glass windowsSuitable for use as shop, office, study center, medical center and other activitiesSale - 1 sq/m - $2,200, taxes included+ 2% CommissionTranslated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18189257
Retail Space,Stone,102 sq.m.,,,,,"Kievyan street, Yerevan","$320,000",USD,Commercial area on Kiyan street+ 2% minors:Translated from Armenian,Nov-24-2022_21-42,,https://list.am/en/item/14505607
Industrial and Manufacturing,Monolith,330 sq.m.,Not available,Not available,First Line,Separate from the Street,"Սարի Թաղի 3-րդ և 4-րդ շարքեր 63/2, Երևան","$55,000",USD,"The area is equipped with everything, with a garage and a basement, overlooking the hillsideTranslated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18320128
Multifunctional Space,Stone,86 sq.m.,Not available,Not available,First Line,Separate from the Street,"Marshal Baghramyan avenue, Yerevan","$270,000",USD,"1st line, Baghramyan avenue, near Zilli shop, near Orbeli, on the 1st floor of a Stalin building, door 5 degrees high, 1 door and 1 window: Stained glass to Baghramyan, European windows, ceiling height 3.25 m, front part 8 m, basement 9 sq. M., the area has 3 entrances, bilateral position, the inner walls are not main and the area can be changed at the buyer's request, 2 bathrooms. Suitable for any activity. It is rented monthly for 460,000 AMD.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/15562571
Retail Space,Stone,98 sq.m.,,,,,Yerevan › Shengavit,"$450,000",USD,"Public service area for sale or rent in Shengavit administrative district, on Manandian street, the area next to Garegin Nzhdeh has two entrances, the total area is 98 square meters. It has a basement, the area is divided into two parts, one part is 53 square meters, the other part is 45 square meters, partial sale is possibleTranslated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/16020183
Retail Space,Stone,120 sq.m.,By agreement,Not available,First Line,Separate from the Street,"Kasyan street, Yerevan","$520,000",USD,"Kasyan Street, 1st line, commercial space, 2 large stained glass windows and door, entrance from 2 sides, fully renovated, 3 halls, heated floor, has bathroom and kitchen, currently works as a clothing store.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18271995
Functioning Business,Stone,120 sq.m.,Available,Not available,First Line,Separate from the Street,"Marshal Baghramyan avenue, Yerevan","$130,000",USD,"Baghramyan Yerznkyan crossroad, for sale is an operating bakery with all its equipment, LLC as an operating business, it has a good income, a separate area is also for sale, it is very suitable as a beauty salon, office, massage parlor, pub, fast food restaurant, dental clinic, etc. Has 3 entries as a business + $10,000. SALE IS URGENT.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18278581
Restaurant,Stone,115 sq.m.,Not available,Not available,First Line,Separate from the Street,"Moskovyan street, Yerevan","$450,000",USD,"Commercial area for sale in a small center, on Moskovyan street, near Saryan Park, has 2 entrances, 2 bathrooms, ventilation system, basement, suitable as a pub, for rent...Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/14037299
Functioning Business,Stone,"10,000 sq.m.",Available,Not available,First Line,Separate from the Street,"Շիրակի փողոց 47/7, Երևան","$6,200,000",USD,"For sale is an existing business in the field of international freight transport, which includes up to 50 freight vehicles, of which 20gas truck, 8 refrigerators, a large customer base, auto parts for about $300,000, as well as all the necessary equipment.The company has been operating in the labor market for more than 15 years.Average monthly income is 100,000-150,000 US dollars. + nsTranslated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17099813
Multifunctional Space,Stone,160 sq.m.,Not available,Not available,First Line,Separate from the Street,"Leningradyan street, Yerevan","$330,000",USD,"Business space on Leningradyan street for sale.The building: 160 square meters, 300 square meters yard behind, toaster, meeting rooms and sleeping place. Parking is available in front.5 luxurious rooms, large kitchen, three bathrooms. Can serve as a restaurant, office space, Game Zone. The kitchen is fully equipped with kitchenware, crockery for 50 people.Code 10961Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18260721
Multifunctional Space,Stone,146 sq.m.,By agreement,Not available,Other,Separate from the Street,"Aksel Bakunts street, Yerevan","$102,000",USD,"Code T363:Commercial area is for sale on Bakunts street, on the first line. The total area is 146 square meters. The area is renovated. Suitable for shop, office, beauty salon or other activities.Code T-363Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17641853
Multifunctional Space,Stone,164 sq.m.,By agreement,Not available,Second Line,Separate from the Street,"Galshoyan street, Yerevan","$144,000",USD,Code T375:Commercial area is for sale on Galshoyan street. The total area is 164.4 square meters. The area is renovated. Has utility facilities.Code T-375Translated from Armenian,Nov-24-2022_21-42,,https://list.am/en/item/17790274
Multifunctional Space,Stone,3300 sq.m.,Not available,Not available,Other,Common from the Street,Yerevan › Nor Nork,"$550,000",USD,"Code & nbsp; T248:Commercial area is for sale on & nbsp; Tosyan street. The total area is 3300 square meters. There are 3 buildings in the area, 2 are zero, 1 is renovated, euro windows are installed, the floor is tiled, the bathroom is tiled. The renovated area worked & nbsp; as a laundry. The other 2 buildings can serve as car maintenance or office areas. The walls are divided. & Nbsp; There are & nbsp; 5 rooms, kitchen and 2 bathrooms. Communications & nbsp; Available: & nbsp; sewer, water, gas, three-phase electricity.Code T-248Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/16698140
Industrial and Manufacturing,Stone,1500 sq.m.,,,,,"Artem Mikoyan street, Yerevan","$592,000",USD,"T389Production space for sale on Mikoyan Street. The total area is 1000 square meters, and the land area is 1500 square meters. The frontage is 20 meters. Utilities are available.Code T-389Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18033923
Retail Space,Stone,65 sq.m.,Available,Not available,First Line,Separate from the Street,Yerevan › Arabkir,"$89,000",USD,"Hakob Hakobyan streetSemi-detached area 65 square meters, on the 1st floor of a 5-story building, worked as a catering facility, 1st line, provided with all utilities, constant water, electricity, gas.UrgentTranslated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18260662
Functioning Business,Stone,35 sq.m.,Not available,Not available,First Line,Common from the Street,"Tumanyan street, Yerevan","$120,000",USD,"Commercial (office) space is for sale on Tumanyan Street35 square meters (on the basement floor)Line 1 is suitable for any activityCall for more detailed informationAgency conditions:Agency commission 2.0%Working hours: 10:00-20:00, Monday-Sunday.Call for other questions.Code A04181Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17330870
