Type,Floor Area,Address,Price,Currency,Description,Datetime,Links,Amenities,Prepayment,Utilities
Garage,20 sq.m.,Armavir › Armavir,"10,000 ֏",AMD,"A garage is for rent in Norapat (near the train lines)Garage, garage:Translated from Armenian",Nov-24-2022_16-43,https://list.am/en/item/16953460,,,
Garage,15 sq.m.,Armavir › Echmiadzin,"15,000 ֏",AMD,Call only to park the carTranslated from Armenian,Nov-24-2022_16-43,https://list.am/en/item/17712336,,,
Garage,15 sq.m.,Armavir › Echmiadzin,"10,000 ֏",AMD,A garage is for rent in Etchmiadzin (Zvartnots district) The monthly fee is 10000 AMD.Translated from Armenian,Nov-24-2022_16-43,https://list.am/en/item/17066937,,,
Garage,40 sq.m.,"Պետրոզավոդսկ փողոց 10, Վաղարշապատ","100,000 ֏",AMD,"A garage with a pit of 6m is for rent. Suitable for working activities, length 9m, width 4m. It is located next to Shoghakat Church.Translated from Armenian",Nov-24-2022_16-43,https://list.am/en/item/18081788,,,
Garage,15 sq.m.,"Mesrop Mashtots street, Vagharshapat","10,000 ֏",AMD,The garage is located in Etchmiadzn St. Near Hripsime church.Translated from Armenian,Nov-24-2022_16-43,https://list.am/en/item/18207955,,,
Garage,25 sq.m.,"Abovyan street, Armavir","1,200,000 ֏",AMD,It is in good conditionTranslated from Armenian,Nov-24-2022_16-43,https://list.am/en/item/18081488,,,
Garage,40 sq.m.,"Մեսրոպ Մաշտոցի փողոց 19, Արմավիր","30,000 ֏",AMD,"Closed garage for 2 cars, for details on boxing, call the mentioned phone number.Translated from Armenian",Nov-24-2022_16-43,https://list.am/en/item/17581960,,,
Garage,20 sq.m.,Armavir › Armavir,"10,000 ֏",AMD,"A garage is for long-term rent on Charents street, near the 5th school.The garage is quite wide and high.If you have any questions, you can write and call.Translated from Armenian",Nov-24-2022_16-43,https://list.am/en/item/17663091,,,
Garage,20 sq.m.,Armavir › Armavir,"25,000 ֏",AMD,The stone garage is rentedTranslated from Armenian,Dec-15-2022_20-27,https://list.am/en/item/18579537,,,
Parking Space,1000 sq.m.,Armavir › Parakar,"1,000 ֏",AMD,"Parking for trucks, trailers and other types of vehicles.The area is fully guarded.Translated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18532023,"Video surveillance, 24/7 security",By Agreement,
Garage,30 sq.m.,Armavir › Echmiadzin,"30,000 ֏",AMD,A garage is available for rentTranslated from Armenian,Dec-15-2022_20-27,https://list.am/en/item/18720360,,1 month,
Garage,250 sq.m.,Armavir › Echmiadzin,"350,000 ֏",AMD,"A car service point with its facilities is available on loan, and vulcanization is also available. It is located on the main road to the market next to Meymandar market. You can also use it as a warehouse.Translated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18488576,,,
Garage,30 sq.m.,"Վռամ Կոստանյան փողոց, Վաղարշապատ","30,000 ֏",AMD,"The rent is AMD 30,000 per month. A stone garage with an iron door and electricity. The price is finalTranslated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18416063,,,
Garage,24 sq.m.,Armavir › Echmiadzin,"35,000 ֏",AMD,A garage is for rent in the yard of the 2nd building on Kamo street in EtchmiadzinThe length is 8 metersThe width is 3 metersTranslated from Armenian,Dec-15-2022_20-27,https://list.am/en/item/18690505,24/7 security,1 month,Electricity
