Type,Floor Area,Address,Price,Currency,Description,Datetime,Links
Garage,24 sq.m.,Ararat › Artashat,"$2,600",USD,"Iron garage for sale in good condition Artashat, negotiable near the social center.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17678563
Garage,24 sq.m.,"Isakov street, Artaxata (Artashat)","2,200,000 ֏",AMD,"Call until 21:00 in the yard of 76A Isakov building. Possibility of 2 floors, covered and glazed. Height 2.70, width 4 meters, depth 6 meters. Plaster from outside, inside, electricity, sewerage, sink, hanging mat. The ground is made of concrete. It is the largest and tallest garage in the building. Any car will stop. There is no price for a garage from the sky, there is no such price for such a garageTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17727590
Garage,36 sq.m.,"Dprocakanner street, Masis","$17,000",USD,"A stone garage is for sale in the town of Masis, in the neighborhood of Morena restaurant, it is lined with stone on two floors, it has a sewer roof, it is galvanized, it is suitable for any type of construction, for other questions, call the indicated number, the price is negotiable.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18163754
Garage,24 sq.m.,"Շահումյանի փողոց 30, Արտաշատ","$5,000",USD,"The garage is completely renovated and elevated, stonewalled inside and out, suspended ceiling. It does not freeze inside in winter, it is suitable for storage.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17512387
Garage,50 sq.m.,"Isakov street 97, Artaxata (Artashat)","$2,500",USD,"It is located on the side of the 97a building in Artashat, in a very convenient place. It can serve as a storage area, the garage is 24 sq. M.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/16126243
Garage,260 sq.m.,Ararat › Taperakan,"200,000 ֏",AMD,"Garages for rent - area. An area is for rent, located at the end of Taperakan village, Ararat region, on Taperakan-Artashat-road (26 km from Yerevan) There are 2 buildings on the area. 1 general building with 256.4 area, and one building consisting of 5 garages and 1 common hall. The buildings are equipped with three-phase electricity, drinking water and sewerage. Part of the area is fenced and the other part is fenced. The area can be used for various purposes and production, storage and other services.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/16330881
Garage,30 sq.m.,Ararat › Masis,"$5,000",USD,"Garage for sale in the 2nd district of Masis cityWith an area of 30 square meters. The pole has a basement with the same area.With a certificate of ownership.Also EXCHANGE with bulls, calves or a wooden board.Garage land house quarter rent own land garage garage own house apartment garage part of bull calf cow pig alfalfa tuck pad board fuel strapil balkaGarage avto:Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/12909500
Garage,30 sq.m.,"Հրաչյա Թովմասյանի փողոց 7, Արտաշատ","$6,000",USD,"Stone garage in the yard of Hrachya Tovmasyan 7, in the yard in front of the former Azatnots. Garage for machines: Cottage for the car.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17667915
Garage,33 sq.m.,"Masis highway, Sis","$2,000",USD,It is located in Sis village of MasisTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/16162441
Garage,40 sq.m.,Ararat › Ararat,"$5,000",USD,"Garage for sale, 1 floor + half floor... Call in case of questionsTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18365317
Garage,28 sq.m.,"Աղբյուր Սերոբի փողոց 6, Արարատ","2,500,000 ֏",AMD,Has a box and basement NegotiableTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/15718763
Garage,24 sq.m.,"Khanjyan street 66, Ararat","$5,300",USD,A stone garage is for sale behind the 66 Khanjyan building.Translated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/17710711
Garage,24 sq.m.,Ararat › Vedi,"650,000 ֏",AMD,Consists of 6 pieces of collapsible prefabricated can be placed in your preferred placeLength 5.80.Width. 3.80:Door bar. 2.10:General bar. 2.60 not counting the slopeTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/13176414
Garage,30 sq.m.,Ararat › Ararat,"500,000 ֏",AMD,Iron garage portableTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/17851291
Garage,24 sq.m.,Ararat › Masis,"$7,200",USD,"Garage in Masis city, 3rd district, behind the 6th building. Stone building with a new tin roof.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17670783
Garage,20 sq.m.,"Ogostosi 23, Artashat","$5,000",USD,Срочно продается гараж.В центре г. Арташат.,Nov-24-2022_16-41,https://list.am/en/item/16401820
Garage,18 sq.m.,"Ararat-Artashat Highway, Taperakan","1,000,000 ֏",AMD,"It is in excellent condition, it has been used as a grocery store, the polka dots are missing inside, I will exchange it for a car equivalent to the price, I will give extra money only when exchanging it with a Ford Transit, if you have any other questions, callTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18181875
Garage,25 sq.m.,"Araz street 45, Artaxata (Artashat)","1,500,000 ֏",AMD,"Will be in good condition, call for detailsTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18302545
Garage,22 sq.m.,Ararat › Ararat,"1,700,000 ֏",AMD,"Гараж новыйКрыша новая лист оцинковка 0,45 ммВорота новые покрашенные сталь 3.Около футбольного стадионаБокс есть",Nov-24-2022_16-41,https://list.am/en/item/17373162
Garage,30 sq.m.,Ararat › Masis,"$10,000",USD,Newly built stone building 30 sq. M.There is also a barbecue insideTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/17383454
Garage,24 sq.m.,Ararat › Shahumyan,"1,000,000 ֏",AMD,Iron for salemobile garage 24 sq. M. Մ. (6 × 4) area. Abshivka is made inside.Translated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/16487668
Garage,18 sq.m.,Ararat › Artashat,"1,200,000 ֏",AMD,"Garage made of metal, 18 square meters, has a permit for installationTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17755036
Garage,18 sq.m.,Ararat › Artashat,"$2,200",USD,"Garage for sale, 3 meters wide, 6 meters long, is in good conditionTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17133697
Garage,,Ararat › Vedi,"$6,000",USD,"Վաճառում եմ ավտոտնակ; Գտնվում է քաղաք ՎեդիումԱրարատի մարզ, Ք Վեդի, Կասյան փողոց 26/1/5Ավտոտնակը Պատրաստված է Տուֆ Քարից,Ավտոտնակի ընդհանուր չաճփերն են; Երկարությունը`5,55 մ, Լայնությունը`3,66 մ, Բարձրությունը`4.0 մԱվտոտնակն ունի փոսորակ [яма], որի մեջ իջնում են մետաղական աստիճաններով.Հարցեը ուղարկել միայն էլեկտրոնային հասցեիս.",Nov-24-2022_16-41,https://list.am/en/item/15726882
Garage,40 sq.m.,Ararat › Ararat,"$10,000",USD,"The total area is 40 square metersThe garage is made of stone, it has an adjacent land, there is permanent water.Call viber with the mentioned numberTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17902475
Garage,12 sq.m.,"Արարատյան փողոց 37, Արտաշատ","1,000,000 ֏",AMD,"Mobile phone in excellent condition, call for detailsTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/16939082
Garage,28 sq.m.,Ararat › Masis,"$8,000",USD,Stone Garage. 2 in block 14: The back of the buildingTranslated from Armenian,Dec-15-2022_20-27,https://list.am/en/item/18669754
Garage,28 sq.m.,Ararat › Masis,"$8,500",USD,"A stone garage is urgently for sale in Masis, in the back of building 31, on the roadside, monolithic roof, stone garage. Also suitable for business activities. All documents are available.Translated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18641447
Garage,34 sq.m.,Ararat › Ararat,"$3,000",USD,It is in normal condition.Translated from Armenian,Dec-15-2022_20-27,https://list.am/en/item/18656231
Parking Space,20 sq.m.,Ararat › Vedi,"1,000,000 ֏",AMD,"A 20 square meter plot of land is for sale, which is located in the back of AKBA Bank.Translated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18691206
Garage,111 sq.m.,Ararat › Masis,"$2,300",USD,"For urgent sale. The garage is in excellent condition, quite large, iron,you can call for details.Translated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18687284
Garage,24 sq.m.,Ararat › Artashat,"$6,500",USD,Metal garage for sale. It is located in the city center on Shahumyan street (in front of the police station) Price negotiable.Translated from Armenian,Dec-15-2022_20-27,https://list.am/en/item/18650446
Garage,50 sq.m.,"Կոմիտասի փողոց 10, Արարատ","2,700,000 ֏",AMD,The garage is located in the city of Ararat. The roof is repaired; the floor too.Translated from Armenian,Dec-15-2022_20-27,https://list.am/en/item/18570679
Garage,24 sq.m.,Ararat › Ararat,"2,500,000 ֏",AMD,"The garage is for sale without items, if desired, also with items. It is located next to Shahumyan 33 (at the end of the building), long. 6 m / width. 4m, it also has a basement (box) Call for price and other details.Translated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18641219
