Type,Floor Area,Address,Price,Currency,Description,Datetime,Links
Garage,20 sq.m.,"Mkhitar Gosh street 10a, Stepanakert","$6,000",USD,"A garage converted into a commercial area is for sale in Stepanakert. It has constant water, electricity, sewerage. It is renovated and has a bathroom. Located near the state university, suitable for both garage and business activities.The price is negotiable. Exchange with an equivalent car is possible.Translated from Armenian",Nov-25-2022_15-22,https://list.am/en/item/16860242
Garage,26 sq.m.,Artsakh › Stepanakert,"$6,000",USD,"Exchange with a car is possible.A stone garage of 26 square meters is for sale, c. In Stepanakert, near Isakov's 108 building, it has a large yam. Call or write for detailed information.Translated from Armenian",Nov-25-2022_15-22,https://list.am/en/item/16744085
Garage,50 sq.m.,"Aleksey Hekimyan street 18, Stepanakert","$15,000",USD,"Garage (capital) building for sale urgentlyThere is an opportunity to build the second and third floors, all the available documents in c. 50 square meters in Stepanakert. The height of the walls is 3.20The single wall of the 2nd floor is also builtAddress Al. Hekimyan 18Translated from Armenian",Nov-25-2022_15-22,https://list.am/en/item/16968685
Garage,111 sq.m.,"Nelson Stepanyan street, Stepanakert","$6,000",USD,Срочно продам каменный Гараж. Толстая железная дверь. Хороший свежий ремонт. Имееться большой шкаф для принадлежностей,Nov-25-2022_15-22,https://list.am/en/item/17715039
Garage,25 sq.m.,"Mkhitar Gosh street, Stepanakert","1,000,000 ֏",AMD,"Garage with space, development rightTranslated from Armenian",Nov-25-2022_15-22,https://list.am/en/item/13707381
Garage,28 sq.m.,"Aleksey Hekimyan street 11, Stepanakert","$7,000",USD,"Каменный гараж, настил, железная кровля, железные ворота. Есть яма, два погребка. Столярно-верстачный стол, железные стелажи. Перед гаражом навес с воротами еще для одной машины. Торг уместен",Nov-25-2022_15-22,https://list.am/en/item/17834020
Garage,26 sq.m.,"A. Pushkin street, Stepanakert","$7,000",USD,"Каменный гараж, настил, железная кровля, железные ворота",Nov-25-2022_15-22,https://list.am/en/item/18018344
Garage,19 sq.m.,"Alek Manukyan street 4b, Stepanakert","$6,000",USD,"A stone garage is for sale in Stepanakert at Alek Manukyan 4b.There is electricity, shelves, semi-basement,can be used as a workshop.Translated from Armenian",Nov-25-2022_15-22,https://list.am/en/item/16731027
Garage,24 sq.m.,"Aleksey Hekimyan street 8, Stepanakert","$13,000",USD,"Վարձով 100,000Հասարակական նշանակության օբյեկտ։ՈԻնի երկրորդ հարկի հնարավորություն...",Nov-25-2022_15-22,https://list.am/en/item/11622337
Garage,18 sq.m.,"William Saroyan street, Stepanakert","2,000,000 ֏",AMD,A stone garage is for sale in the yard of Saroyan 37 building.Translated from Armenian,Nov-25-2022_15-22,https://list.am/en/item/17960705
Garage,33 sq.m.,"Aleksey Hekimyan street 4, Stepanakert","$9,000",USD,"Վաճառվում է Հեքիմյան 4 հասցեում քարե ավտոտնակ, 33ք/մ, ունի յամա: Կարելի է օգտագործել նաև որպես պահեստ:",Nov-25-2022_15-22,https://list.am/en/item/16188701
Garage,27 sq.m.,Artsakh › Stepanakert,"$7,800",USD,Exchange with a carTranslated from Armenian,Nov-25-2022_15-22,https://list.am/en/item/17284967
