Unnamed: 0,Garages and Parking for sale,Datetime
0,https://list.am/en/item/18374487,Sep-29-2022_17-46
1,https://list.am/en/item/17922109,Sep-29-2022_17-46
2,https://list.am/en/item/17299167,Sep-29-2022_17-46
3,https://list.am/en/item/17931677,Sep-29-2022_17-46
4,https://list.am/en/item/18247352,Sep-29-2022_17-46
5,https://list.am/en/item/17938655 removed,Sep-29-2022_17-46
6,https://list.am/en/item/17638335,Sep-29-2022_17-46
7,https://list.am/en/item/18001369,Sep-29-2022_17-46
8,https://list.am/en/item/17016387,Sep-29-2022_17-46
9,https://list.am/en/item/16972385,Sep-29-2022_17-46
10,https://list.am/en/item/18135991,Sep-29-2022_17-46
11,https://list.am/en/item/15912810,Sep-29-2022_17-46
12,https://list.am/en/item/15583493,Sep-29-2022_17-46
13,https://list.am/en/item/17159428,Sep-29-2022_17-46
14,https://list.am/en/item/18276767,Sep-29-2022_17-46
15,https://list.am/en/item/18298916,Sep-29-2022_17-46
16,https://list.am/en/item/17973609,Sep-29-2022_17-46
17,https://list.am/en/item/12825678,Sep-29-2022_17-46
18,https://list.am/en/item/18214643,Sep-29-2022_17-46
19,https://list.am/en/item/17837896,Sep-29-2022_17-46
20,https://list.am/en/item/16861192,Sep-29-2022_17-46
21,https://list.am/en/item/17366116,Sep-29-2022_17-46
22,https://list.am/en/item/17245132,Sep-29-2022_17-46
23,https://list.am/en/item/16492633,Sep-29-2022_17-46
24,https://list.am/en/item/16669613,Sep-29-2022_17-46
25,https://list.am/en/item/18064342,Sep-29-2022_17-46
26,https://list.am/en/item/18368273,Sep-29-2022_17-46
27,https://list.am/en/item/16581699,Sep-29-2022_17-46
28,https://list.am/en/item/17843166,Sep-29-2022_17-46
29,https://list.am/en/item/17005576,Sep-29-2022_17-46
30,https://list.am/en/item/16216194,Sep-29-2022_17-46
31,https://list.am/en/item/16730689,Sep-29-2022_17-46
32,https://list.am/en/item/16558784,Sep-29-2022_17-46
33,https://list.am/en/item/18060375,Sep-29-2022_17-46
34,https://list.am/en/item/18017455,Sep-29-2022_17-46
35,https://list.am/en/item/18049988removed,Sep-29-2022_17-46
36,https://list.am/en/item/17837287,Sep-29-2022_17-46
37,https://list.am/en/item/17674346,Sep-29-2022_17-46
38,https://list.am/en/item/17993100,Sep-29-2022_17-46
39,https://list.am/en/item/18070667,Sep-29-2022_17-46
40,https://list.am/en/item/17937274,Sep-29-2022_17-46
41,https://list.am/en/item/18132766,Sep-29-2022_17-46
42,https://list.am/en/item/18137368,Sep-29-2022_17-46
43,https://list.am/en/item/17359542,Sep-29-2022_17-46
44,https://list.am/en/item/15686330,Sep-29-2022_17-46
45,https://list.am/en/item/18045459,Sep-29-2022_17-46
