Type,Floor Area,Address,Price,Currency,Description,Datetime,Utilities,Links
Garage,48 sq.m.,Kotayk › Abovian,"$35,000",USD,"Emergency garagesUrgent sale of 2 connected garages in the central part of the 3rd micro-district of Abovyan city.The garages as well as the plot of land are owned, have a corresponding new sep. Certified, as well as its own power (electricity) - with a high-quality installation, it can serve as a comfortable garage for 2 cars, as well as for various commercial purposes, for car maintenance (Diagnostics, electrical) or for carrying out various commercial activities. Serve residential purposes;An exchange option is possible for me or you for an additional fee.For details you can call:Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/18374487
Garage,30 sq.m.,Kotayk › Charentsavan,"600,000 ֏",AMD,Շարժական ավտոտնակ։5*6,Nov-24-2022_16-31,,https://list.am/en/item/17922109
Garage,100 sq.m.,Kotayk › Abovian,"$22,000",USD,"Basement, electricity, water.Negotiable, call for details.100 m *Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17299167
Garage,25 sq.m.,Kotayk › Abovian,"$11,000",USD,"Продаётся гараж 25 кв. М. Имеются все документы на гараж.Гараж находится на первой линии, напротив 4 микро 59 дома.Имеется подвальное помещение.Можно переоформить, как жилое помещение или под коммерцию, а также построить 2 этаж.По всем вопросам пишите и звоните.Цена окончательная",Nov-24-2022_16-31,,https://list.am/en/item/17931677
Garage,37 sq.m.,"2nd microdistrict, Abovyan","10,500,000 ֏",AMD,"For sale: 36.6 tuff garage, basement, possibility of second floor, electricity, water, bathroom.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/18247352
Garage,26 sq.m.,"Սևանի փողոց 4/1, Աբովյան","4,500,000 ֏",AMD,There is a basement in the yardTranslated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/17638335
Garage,40 sq.m.,"Улица России 4, Абовян","$10,000",USD,A garage for sale in the yard of Russia 4 building near the 5th schoolTranslated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/18001369
Garage,40 sq.m.,"Hatis street, Abovyan","$15,000",USD,"A two-storey privatized garage is for sale in the yard of the 3rd m / s 3rd building. The garage has a basement with wide possibilities of use. Price is negotiable.If you have any questions, call WhatsApp.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17016387
Garage,162 sq.m.,Kotayk › Hrazdan,"$16,500",USD,"Cheaper than urgent marketAn operating car service station for sale in Hrazdan Kentron district, 162 square meters.There is three-phase electricity, basement, dankrat, sewerage, compressor.For more information callTranslated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/16972385
Garage,20 sq.m.,Kotayk › Ptghni,"900,000 ֏",AMD,"Caravan, in good condition. The roof is galvanizedTranslated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/18135991
Garage,25 sq.m.,"Hanrapetutyan Ave 26/1, Abovyan","$15,000",USD,"Abovyan city, next to Hanrapetutyan 26 building (bookstore building) The land area is 25 sq. M. Մ. The land is privatized together with the building.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/15912810
Garage,18 sq.m.,"Saralangi street 30, Abovyan","$3,000",USD,"It is in good condition, I will exchange it for a car with my surchargeTranslated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/15583493
Garage,18 sq.m.,Kotayk › Abovian,$900,USD,Garage 18 sq / m ironTranslated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/17159428
Garage,40 sq.m.,"Սևանի փողոց 4/1, Աբովյան","$11,000",USD,"The garage is located in front of entrance 3 of building 4/1 of Sevan, Abovyan city. About 30 meters from the entrance on the road. It has a basement the size of a garage and a small roof. 20 sq m garage and garage basement.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/18276767
Garage,23 sq.m.,"Kentron block 47, Hrazdan","550,000 ֏",AMD,"Fresh garage, plastered, plastered on it, for sale only with the floor.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/18298916
Garage,20 sq.m.,Kotayk › Kasagh,"2,500,000 ֏",AMD,"It is located in the village of Kasakh, near the Vahagn district, near the 20 buildings in front of the kindergarten.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17973609
Garage,30 sq.m.,"Zoravar Andranik avenue, Hrazdan","$8,000",USD,"Privatized stone garage for sale.Fits 2 cars, has a basement. It is located in the neighborhood of Baku, next to building 312. For more information, call the indicated number.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/12825678
Garage,24 sq.m.,"13-րդ փողոց 227, Հրազդան","$2,000",USD,Tin garage. Has a boxTranslated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/18214643
Garage,18 sq.m.,"Yeritasardakan street, Abovyan","$5,000",USD,"URGENT. Near the 14 youth building, it has a yama, the roof is in good condition, call for details.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17837896
Garage,25 sq.m.,"Russian street 4, Abovyan","$7,000",USD,The garage is located in front of Rossia 4 building. It has a large basement. NegotiableTranslated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/16861192
Garage,20 sq.m.,Kotayk › Abovian,"$8,500",USD,"Garage and the land is privatized, all the documents are available. Address 3 micro 3 near the building. The garage is made of stone, dimensions 6.1 * 3.4.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17366116
Garage,21 sq.m.,"Սամվել Վարդանյանի փողոց 5, Բյուրեղավան","1,000,000 ֏",AMD,"Garage for sale in normal condition, width 3m, length 7m. The price is finalTranslated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17245132
Garage,57 sq.m.,Kotayk › Tsakhkadzor,"$25,000",USD,A two-storey panel garage is for sale. The area is suitable for building a house. Urgently negotiable.Translated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/16492633
Garage,23 sq.m.,"Yeritasardakan street 6, Abovyan","$5,500",USD,The garage is made of stone (dry) and has a Yama. It is a property area (legal)Price is negotiableTranslated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/16669613
Garage,25 sq.m.,"Tumanyan street, Nor Hachin","$5,000",USD,"It has a very good garage, a full-length basement with a vaulted ceiling, and the location is convenient.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/18064342
Garage,20 sq.m.,Kotayk › Abovian,"400,000 ֏",AMD,A 3.30X6 meter prefabricated metal mobile garage is for sale. It is in fresh condition.Translated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/18368273
Garage,25 sq.m.,"Գ․ Սարյանի 2-րդ նրբանցք 1, Հրազդան","$1,000",USD,Վաճառվու է միայն երկաթյա ավտոտնակը.,Nov-24-2022_16-31,,https://list.am/en/item/16581699
