Type,Floor Area,Address,Price,Currency,Description,Datetime,Utilities,Links,Amenities
Garage,24 sq.m.,Shirak › Gyumri,"850,000 ֏",AMD,He is a new candidate. Convenient to move. 6 meters long; 4 meters wide. 2 meters high. The roof has 0.8-point sheets. The garage has a very strong frame.Translated from Armenian,Nov-24-2022_16-41,,https://list.am/en/item/16499944,
Parking Space,2000 sq.m.,Shirak › Maralik,"$100,000",USD,"Продается здания. , Атека, срочно все документы в порядке. Подробности по телефону",Nov-24-2022_16-41,,https://list.am/en/item/17597195,
Garage,24 sq.m.,Shirak › Gyumri,"650,000 ֏",AMD,For sale. It is in good condition.Translated from Armenian,Nov-24-2022_16-41,,https://list.am/en/item/18124471,
Garage,17 sq.m.,Shirak › Gyumri,"$2,000",USD,"The garage is in Akhuryan, it is in normal condition. Dimensions of 3.1 * 5.6 metersTranslated from Armenian",Nov-24-2022_16-41,,https://list.am/en/item/17491169,
Garage,13 sq.m.,"Bagratunyats Square, Gyumri","$10,000",USD,Can be used as a warehouseTranslated from Armenian,Nov-24-2022_16-41,,https://list.am/en/item/17734213,
Garage,60 sq.m.,"Անտառավան թաղամաս 4Ա, Գյումրի","$2,500",USD,"For rent or to rent a stone garage with a car in Manrushian Street, 4a, in the neighborhood of building 4a, in the vicinity of a very good kindergarten, and in the case of renting a basement, the price is different and possibly with additional rent.Translated from Armenian",Nov-24-2022_16-41,,https://list.am/en/item/15910944,
Garage,25 sq.m.,Shirak › Gyumri,"$3,800",USD,Stone garage for saleDetails by phoneTranslated from Armenian,Nov-24-2022_16-41,,https://list.am/en/item/17931839,
Garage,28 sq.m.,"Մանուշյան փողոց 6Գ, Գյումրի","$2,800",USD,"Stone garage with basement, privatizedTranslated from Armenian",Nov-24-2022_16-41,,https://list.am/en/item/18130096,
Garage,62 sq.m.,"Մանուշյան փողոց 6Գ, Գյումրի","$5,000",USD,"A privatized garage for 2 cars is for sale in Gyumri, the total area is 43.5 square meters, the basement (yamka) is 18.6 square meters.The parking lot of the two cars is separated from a small room of 4 square meters, which serves as a kitchen. Utilities: Electricity is cut off, water and sewer lines are nearby, it can be pulled.The land is 0.006 ha, with a lease agreement from the municipality, like all other garages.Suitable for,1 ․ for small workshop activities2 ․ Renovate the attic to the full 2nd floor and have your own house with a garageTranslated from Armenian",Nov-24-2022_16-41,,https://list.am/en/item/14480408,
Garage,46 sq.m.,Shirak › Artik,"4,500,000 ֏",AMD,"Address: S. Davti 4/1, privatized (2006), external dimensions (5.1x8.9) m, internal (4.5x8.3) m, monolithic roof. It has an attic (0.7x4.0) m and a basement (2.9x3.1) m, as well as two windows on each side, the back wall is completely (with metal construction) shelving + metal table, the entire roof is used. Electrically installed, including the basement. The water line passes in front, it has the possibility of sewerage and gas.Translated from Armenian",Nov-24-2022_16-41,ELectricity,https://list.am/en/item/17903946,
Garage,18 sq.m.,"Minas Avetisyan street 21, Gyumri","$1,800",USD,"Garage for sale, 18 square meters, thermally insulated.Translated from Armenian",Nov-24-2022_16-41,,https://list.am/en/item/16417826,
Garage,25 sq.m.,Shirak › Gyumri,"$3,000",USD,"Անշարժ գույք կարելի է օգտագործել ցնկացած նպատակով կրպակ, խանութ, սպասարկման օբյեկտ, մանրամասների համար զանգահարել ՇՏԱՊ domik butka տաղավար СРОЧНО Можно использовать как коммерческая недвижимость проведено электричество Продается коммерческая недвижимость, магазин, бытовка, магазин одежды АПТЕКА. С теплоизоляцией, стены и потолок абсолютно новй ремонт. Звоните для подробностей. СРОЧНО сделаю большой торг до конца месяца ПРОДАЕТСЯ КОММЕРЧЕСКАЯ НЕДВИЖИМОСТЬ, можно использовать как гостевой дом, жилая площадь, 25кв. , утеплен, проведено электричество.Translated from Armenian",Nov-24-2022_16-41,,https://list.am/en/item/18319956,
Garage,24 sq.m.,Shirak › Gyumri,"450,000 ֏",AMD,8 meter cottage for sale in Aregnadem village of Shirak region or (exchange with animals) Detailed information by phoneTranslated from Armenian,Nov-24-2022_16-41,,https://list.am/en/item/15808939,
Garage,26 sq.m.,"Mayakovski Street, Gyumri","$7,000",USD,"A stone garage is for sale in the center of Gyumri, on MAYAKOVSKI STREET. Very close to the market. Lay. It is 2.6 meters. Mon. 6 meters. Has a section of 2.4 meters on 4 meters. Has yamka. Very close to Vardanants Square. I will exchange it with a carTranslated from Armenian",Nov-24-2022_16-41,,https://list.am/en/item/16304398,
Garage,35 sq.m.,Shirak › Gyumri,"$2,500",USD,35 caracans of iron garage for sale. Mon. 7.8 meters. Wide 4.5 meters. Barts. 2 meters. Made of 3.5 mm mesh. Carcass 5 cm ugolnik and 3 cm ugolnik. It is not rotten. The holes are 3 meters. Has a caliber. Inside is an abscissa with a glass and a block. There is a basement under the whole. It is in Koshtoyan district. Can be moved. Has an adjacent stone building about 280 stones. Related to a common crust. It can be dismantled separately as a material. 2500 dollars is the price of an iron garage only. The total price will be negotiable. Total size two. 10 meters. Wide 7 metersTranslated from Armenian,Nov-24-2022_16-41,,https://list.am/en/item/16624817,
Garage,20 sq.m.,Shirak › Maralik,"$3,000",USD,"Garage for sale 19.95 sq. M. M:The roof is sloping with a height of 2.50 and 2.70 mIf you have any questions, callPrice is negotiableTranslated from Armenian",Nov-24-2022_16-41,,https://list.am/en/item/17839348,
Garage,18 sq.m.,Shirak › Gyumri,"550,000 ֏",AMD,Finnish cottages. 2 pieces. It is the value of one piece.Translated from Armenian,Nov-24-2022_16-41,,https://list.am/en/item/16478015,
Garage,27 sq.m.,Shirak › Gyumri,"490,000 ֏",AMD,"Length 6m, width 4m. Orders are accepted.Translated from Armenian",Nov-24-2022_16-41,,https://list.am/en/item/16122135,
Garage,36 sq.m.,"Bulvarain street, Gyumri","$3,200",USD,Продаю Если у вас есть вопрос позвоните,Nov-24-2022_16-41,,https://list.am/en/item/17888589,
Garage,15 sq.m.,Shirak › Gyumri,"380,000 ֏",AMD,"Garage in Gyumri, negotiable.Translated from Armenian",Nov-24-2022_16-41,,https://list.am/en/item/15840238,
Garage,24 sq.m.,Shirak › Gyumri,"1,000,000 ֏",AMD,"Garage for sale, portable. There is no rotten place, the dimensions are 4x6. Price 1000000 drams negotiableTranslated from Armenian",Nov-24-2022_16-41,,https://list.am/en/item/18154635,
