Type,Floor Area,Address,Price,Currency,Description,Datetime,Links
Garage,25 sq.m.,Syunik › Sisian,"$4,500",USD,"I am selling a garage with concrete walls.The roof is covered with tin, the interior is furnished with shelves and an underground storage.The gates are metal.It is privatized and has no documentation problems.It is in good condition.The garage is located at the back of Israel Ori 8 building, on the roadside.Price: 4500 USD, negotiable.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18108451
Garage,60 sq.m.,"Ազոյան փողոց 6, Սիսիան","$3,000",USD,Ավտոտնակ քարաբետոնե շինություն՜ գաջասվաղ։,Nov-24-2022_16-41,https://list.am/en/item/17747266
Garage,50 sq.m.,Syunik › Sisian,"$5,700",USD,"Garage for sale at the rear of four buildings, suitable for workshop production or other purposes.Communicators are very close.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17935999
Parking Space,40 sq.m.,"Papyan street 24, Kapan","800,000 ֏",AMD,"It is located in M. Adjacent to Papyan 24, there is a concrete structure inside, it is suitable for a garage after changing, it is not privatized.PRICE - NEGOTIABLETranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/16119686
Garage,48 sq.m.,"Papyan street 24, Kapan","3,800,000 ֏",AMD,"Concrete structure, 1st floor, has shelves on the walls, working hole (YAMA) Has electricity supply. Certificate of ownership is available. The inside is dry.Price is negotiableTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/10999703
Garage,74 sq.m.,"Ստեփան Շահումյանի փողոց 4, Քաջարան","7,500,000 ֏",AMD,"A three-story, high-ceilinged (3.2m) stone production area and a garage are for sale, located in c. Kajaran, on Shahumyan street. The garage is three-storey, has a certificate of ownership, the intended purpose is a garage and a production area. Each of the first and second floors can accommodate two cars, size 8.8x3.6m. It has a strong and heat-insulated gate.It can also be used as a commercial space, workshop, car wash, coin-operated car wash, warehouse, cold store.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17834556
Garage,18 sq.m.,"Սիսիական փողոց 31, Սիսիան","$4,000",USD,A stone garage with a certificate of ownership is for sale in the center of Sisian city. The picture is on the left. The gates are insulated.Translated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/15392646
Garage,18 sq.m.,Syunik › Kapan,"$1,500",USD,"Garage made of wagon, very strongTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17394716
Garage,18 sq.m.,"Shahumyan street 9, Kapan","$5,000",USD,"Продаю железобетонный гараж с ямой.Общая площадь 18 кв. М.Гараж пустой, подходит тем, кто хочет сделать собственный ремонт под свои собственные предпочтения.Местоположение гаража очень удобное, рядом с дорогой в центральной части города.Возможен торг.",Nov-24-2022_16-41,https://list.am/en/item/17602671
Garage,21 sq.m.,"Улица Арам Манукян 4, Капан","$7,000",USD,"The garage is located behind the Darist Hotel. It is supplied with electricity, the dimensions are 3.5×6. Price negotiable.Not for rent!Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/13446007
Garage,30 sq.m.,Syunik › Sisian,"$2,200",USD,"Stone garageOn the street of physical trainers, there is Yama, Owned.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18065616
Garage,25 sq.m.,"Որոտան փողոց 1, Սիսիան","$6,000",USD,Urgently ideal. There is electricity urgently! Physical tourniquets on the streetTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/17923626
Garage,25 sq.m.,"Erkatughayinneri street, Kapan","$5,500",USD,"Garage in Kapan, 3.5 m x 7.15 m, there is a ""yama"" insideTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17969576
Garage,58 sq.m.,"Դավիթ Բեկ փողոց 8, Կապան","2,500,000 ֏",AMD,Վաճառվում է երկհարկանի ավտոտնակ Կապան քաղաքի Դավիթ Բեկ 8 հասցեում (Դիսկատեկայի շենքի հետնամասում) ։ Ընդհանուր մակերեսը 58մ2։,Nov-24-2022_16-41,https://list.am/en/item/16387110
Garage,60 sq.m.,Syunik › Kapan,"3,000,000 ֏",AMD,"Garage for sale, privatized, with documentsTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18231847
Garage,30 sq.m.,Syunik › Sisian,"$5,000",USD,"Սյունիքի մարզի ք. Սիսիանում վաճառվում է քարե ավտոտնակ:Տանիքը վերանորոգված, չոր, առկա է նկուղ, 2 մեքենա կայանելու հնարավորությամբ.Շինությունը ստանդարտից ավելի բարձր է, բեռնատար ու ավելի մեծ չափերով տեխնիկա նույնպես հնարավոր է կայանի:Շինության ետնամասում առկա է նաև հավելյալ տարածք, որը ներառված է սեփականության վկայականում:*անշարժ գույքի սեփականության վկայական*հատակագիծ",Nov-24-2022_16-41,https://list.am/en/item/18166921
