Type,Floor Area,Address,Price,Currency,Description,Datetime,Utilities,Amenities,Links
Garage,18 sq.m.,"Zaqyan Street 5Ա, Yerevan","$22,000",USD,"The garage is located in the basement of the building, near the square.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17833043
Garage,32 sq.m.,"Zoravar Andranik street 123, Yerevan","$6,500",USD,"A stone-built garage for sale, located in Bangladesh, 50m from Kayser Supermarket. Upstairs, district B2, in the yard of Andranik 123 building, total area 32 square meters. , there is water, electricity... It is convenient to transform and build a house. Write an email if unavailable...Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18258666
Garage,18 sq.m.,"Komitas Avenue, Yerevan","3,000,000 ֏",AMD,"Վաճառվում է մետաղյա ավտոտնակ Կոմիտաս 50 շենքի բակում (Կոմիտաս փողոցի Թումանյան շաուրմա, Զվեզդա) : Գրանցված է թաղապետարանում:Продается металический гараж на улице Комитаса 50,во дворе Туманян Шаурма и Звезда.",Nov-24-2022_16-32,,,https://list.am/en/item/14616439
Parking Space,11 sq.m.,"Kievyan street, Yerevan","3,000,000 ֏",AMD,Ավտոկայանատեղերը գտնվում են Կիևյան 14/3 հասցեում։Մանրամասների համար կարող եք զանգահարել նշված հեռախոսահամարով։,Nov-24-2022_16-32,,,https://list.am/en/item/13414729
Garage,20 sq.m.,"Շոպրոն փողոցի 2-րդ նրբանցք 6, Երևան","$7,000",USD,"Sopron Alley. Other questions by call. Has a basement, second floor. Those who really want to callTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/16409556
Garage,26 sq.m.,Yerevan › Nor Nork,"$12,000",USD,"A garage is for sale on Moldovakan street, Nor Nork 2 block.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17907389
Garage,44 sq.m.,"Հարավ Արևմտյան Բ2 թաղամաս 119, Երևան","$35,000",USD,Motorhome for saleTranslated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/18195688
Garage,39 sq.m.,Yerevan › Erebuni,"$25,000",USD,"Վաճառվում է քարե ավտոտնակ Էրեբունի մասիվում։Մակերեսը՝ 39 քառ. /մ,շինությունը՝ քարե,տանիքը՝ ջրակայուն,սեփականության տեսակը՝ սեփականաշնորհված։Բոլոր փաստաթղթերն առկա են, պետական պարտքեր չկան։Գործակալություններին խնդրում ենք ՉԱՆՀԱՆԳՍՏԱՑՆԵԼ։Վաճառվում է սեփականատիրոջ կողմից։ Շտապ։",Nov-24-2022_16-32,,,https://list.am/en/item/12796842
Garage,32 sq.m.,"Դերենիկ Դեմիրճյան փողոց 40/15, Երևան","$15,000",USD,A stone garage is for sale on Demirchyan Street. In the backyard of Villa Montessori Kindergarten. Call for details.Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/18189664
Garage,38 sq.m.,"Davidashen 2-nd block, Yerevan","$22,000",USD,"The land and the building are privatized, the building is 24 square meters, the front area is 14 square meters, there is a right to expand the land, the area is adjacent to the house, it is also applicable as a house, shop and other buildings. The space and the garage are located in the center of the yard, surrounded by land and vegetation.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18329179
