Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities,Appliances,Links
House,Stone,147 sq.m.,1,4,1,Cosmetic Renovation,600 sq.m.,Ararat › Avshar,"35,000 ₽ monthly",RUB,"Сдаётся дом квартирной планировки. Четырёхкомнатнная, коммуникация вся есть. Газ, электрика, вода, канализация, отопление, мебель. Аренда на длительный срок. Фото по запросу.",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/17749988
House,Stone,80 sq.m.,1,5,1,Major Renovation,,Yerevan › Nor Nork,"$1,500 monthly",USD,"KOD-62036A 5-room house is for rent in Nor Nork, on Lvovyan street.^ It is a very nice and comfortable house to live in^ It's a sunny, bright house at any time of the day^ The house is nicely furnished, clean, in very good condition^ Has all utilities^ There are all the necessary shops, a school, a kindergarten nearbyTranslated from Armenian",Nov-24-2022_22-59,Available,3 or more spots,5,Yes,No,Not included,2 months,,,https://list.am/en/item/18309742
House,Stone,50 sq.m.,1,1,1,Old Renovation,14 sq.m.,Yerevan › Erebuni,"130,000 ֏ monthly",AMD,"For rentin Erebuniin BhutanOwn houseSuitable for 1-2 people2 students2 builders2 persons; that the size of the house is comfortable for themThe monthly salary is AMD 130,000I will send picturesIt is also suitable for the officeFor computer workTranslated from Armenian",Nov-24-2022_22-59,Available,Not available,2,No,No,Not included,1 month,TElevision,"FRidge, stove, washing machine",https://list.am/en/item/16360850
House,Stone,200 sq.m.,2,3,2,Designer Renovation,200 sq.m.,"Улица Кентронакан 33, Аргаванд","$1,000 monthly",USD,"A two-storey private house is for rent, there is a high-quality heating system, permanent hot-cold water, two bathrooms, WiFi. Cost @ negotiableTranslated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/16577163
House,Stone,570 sq.m.,3,8+,3+,Major Renovation,850 sq.m.,Ararat › Argavand,"120,000 ֏ daily",AMD,"A 3-storey private house in Argavand is for daily rent (only the yard)Swimming pool (with filter)Booth for 30-35 peopleGrill, toaster. Room 1 table tennis-WIFI. 9:00-23:00Translated from Armenian",Nov-24-2022_22-59,,,7,Yes,No,By Agreement,By Agreement,,,https://list.am/en/item/18032841
House,Stone,264 sq.m.,2,4,2,Major Renovation,1100 sq.m.,Ararat › Geghanist,"980,000 ֏ monthly",AMD,"A private house for rent with an orchard, swimming pool, fireplace, jacuzzi, the whole area is fenced; Internet connection. It can also be given to two familiesTranslated from Armenian",Nov-24-2022_22-59,,,8+,Yes,Yes,Not included,1 month,,,https://list.am/en/item/18374375
House,Stone,60 sq.m.,2,3,1,No Renovation,500 sq.m.,Ararat › Pokr Vedi,"50,000 ֏ monthly",AMD,"The second floor of a two-story stone house is vacant, 3 rooms, not renovated, the toilet is outside.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/18374124
Country House,Monolith,800 sq.m.,1,2,2,Designer Renovation,300 sq.m.,Ararat › Artashat,$300 daily,USD,Find the best: Leisure activities with meCode ELITA184Translated from Armenian,Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/16179702
House,Stone,100 sq.m.,2,4,2,Major Renovation,500 sq.m.,Ararat › Geghanist,"90,000 ֏ daily",AMD,"?Dear customers, we present to you our new summer house, which is designed for the best leisure and eventsAddress: Geghanist3 bedroomsBeautiful yardSwimming poolՄSummer kitchenWe provide in the mentioned pricehe's dishesDaily fee: 90,000 dramsCode ELIT 909Translated from Armenian",Nov-24-2022_22-59,Available,Not available,5,Yes,No,Not included,2 months,,,https://list.am/en/item/16533900
Country House,Monolith,500 sq.m.,1,1,1,Designer Renovation,1000 sq.m.,Ararat › Vedi,"170,000 ֏ daily",AMD,"Ararat, VediRent a private house Օր:Enjoy your long-awaitedrest.• Only the yard is given.• Summer kitchen.• Pavilion.• Swimming pool.• Fenced yard.• Designed for 60 people.Book in advanceThe cost depends on the individualCheck in - 12:00:Check out - 00:00:We look forward to seeing youDaily fee: 170,000 dramsFor information, other apartments, or questionsCallCode ELIT306Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/16311653
