Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Links,Amenities,Appliances
House,Stone,56 sq.m.,2,2,1,Not available,Not available,No Renovation,1200 sq.m.,2,No,No,By Agreement,By Agreement,Artsakh › Askeran,"50,000 ֏ monthly",AMD,"Two-storey house for rent in Khnatsakh, state of the art, gas, electricity, water.Translated from Armenian",Nov-24-2022_22-33,https://list.am/en/item/18059472,,
House,Stone,62 sq.m.,1,3,1,,,Euro Renovation,240 sq.m.,,,,,,"Tigran Mets 2nd deadlock, Stepanakert","25,000 ֏ daily",AMD,Сдается посуточно 1-этажный 3-х комнатный дом -новостройка в г. Степанакерт ул. Т. Мец 2-ой тупик 4/1. Дом с мебелью и бытовой техникой. Имеется мангал и навес для автомобиля.Сдается посуточно - день 25000 др.Торг уместен (цена зависит от количество дней проживания),Nov-24-2022_22-33,https://list.am/en/item/18302123,,
House,Stone,300 sq.m.,2,5,2,Available,3 or more spots,Euro Renovation,,8+,Yes,Yes,Included,Without prepayment,"Nalbandyan street, Stepanakert","5,000 ֏ daily",AMD,"Առանձնատունը գտնվում է Ստեփանակերտի սրտում, ԼՂՀ Ոստիկանության մոտ։ Առկա է մշտական տաք և սառը ջուր, գազօջախ, TV, WI-FI, տաղավար, բուխարի, սպասք, անկողնային պարագաններ։ Ամրագրելու համար զանգահարել նախօրոք:",Nov-24-2022_22-33,https://list.am/en/item/13240678,,
House,Stone,400 sq.m.,2,5,2,Available,3 or more spots,Cosmetic Renovation,,8+,Yes,Yes,Included,Without prepayment,"Nalbandyan street, Stepanakert","5,000 ֏ daily",AMD,"Guest house in the center of Stepanakert, in all conditions, up to 20 people.Translated from Armenian",Nov-24-2022_22-33,https://list.am/en/item/13240927,,
House,Stone,80 sq.m.,1,4,2,,,Euro Renovation,230 sq.m.,8+,Yes,No,Not included,By Agreement,Artsakh › Stepanakert,"25,000 ֏ daily",AMD,Сдаются в аренду две отдельные двухкомнатные дома с одним дворомОдин дом Большая —25000драм: Второй поменьше 20000 драм в сутки,Nov-24-2022_22-33,https://list.am/en/item/16384125,,
House,Stone,57 sq.m.,1,3,1,Available,Not available,Major Renovation,20 sq.m.,7,Yes,No,By Agreement,By Agreement,"Kamo 1st Lane, Stepanakert","20,000 ֏ daily",AMD,"The house is located in the central part of the city. There are all necessary accessories for living (Wi-Fi, hot and cold water, air conditioner, refrigerator, dishes, washing machine, clothes dryer, ironing board, ironing board, linen, towels) The house is designed for 7 people.Translated from Armenian",Dec-15-2022_21-33,https://list.am/en/item/18417177,,
House,Stone,30 sq.m.,2,1,1,Partial Furniture,Not available,Partial Renovation,400 sq.m.,3,Negotiable,Negotiable,Included,By Agreement,"Nikol Duman street 23, Stepanakert","10,000 ֏ daily",AMD,"Сдаётся по суточно 1 ый этаж, 2 ух этажного дома. На 2 ом этаже никто, не живет. Со всеми удобствами кроме стиральной машинки.По адресу Степанакерт, ул. Харьковская (Айкаван)",Dec-15-2022_21-33,https://list.am/en/item/18403492,Internet,"Fridge, coffee maker, water Heater"
House,Stone,50 sq.m.,1,2,1,Available,1 spot,Cosmetic Renovation,400 sq.m.,4,Yes,No,Included,By Agreement,"Rubeni street 19, Stepanakert","15,000 ֏ daily",AMD,"*Двухкомнатная квартира, располагающаяся в частном доме с отдельным входом. *Месторасположение дома - в среднем 10-15 минут ходьбы от центра города.*5 минут езды до центрального рынка.*Супермаркеты и продуктовые магазины в шаговой доступности*Асфальтированный подъезд*Красивый обзор горных массивов*Качели под виноградной беседкой*Трансфер от вокзала до дома. От дома до вокзала",Dec-15-2022_21-33,https://list.am/en/item/18698406,"Television, internet, air conditioner","Fridge, stove, microwave, coffee maker, dishwasher, washing machine, iron, hair dryer"
Country House,Stone,2000 sq.m.,1,2,2,Available,Not available,Euro Renovation,1960 sq.m.,3,Yes,Yes,By Agreement,Without prepayment,"Stepan Shahumyan street, Askeran","15,000 ֏ daily",AMD,"Сдаются в аренду двухкомнатные дом,15.000 драм в сутки ходжалу (Иванян) ….",Dec-15-2022_21-33,https://list.am/en/item/18378024,"Television, internet, fireplace, barbecue oven, gazebo","Fridge, stove, microwave, coffee maker, water Heater, iron, hair dryer"
Townhouse,Stone,150 sq.m.,1,1,1,Available,Not available,Designer Renovation,,4,Yes,No,Not included,Without prepayment,Artsakh › Stepanakert,"10,000 ֏ daily",AMD,"Дом рассчитан на проживание до 7 человек.Есть WIFI, кондиционер, удобная кухня (со всей бытовой техникой, включая посуду)Для подробней информации звонить по указанному номеру с кодом + 374",Dec-15-2022_21-33,https://list.am/en/item/18546994,,
House,Stone,100 sq.m.,1,3,1,,,Cosmetic Renovation,400 sq.m.,8+,Yes,Yes,Included,By Agreement,Artsakh › Mardakert,"2,500 ֏ daily",AMD,"A private house or a separate room is provided for daily rent, the amount of days and money can be determined by mutual agreement. You can call for questions at any time of the day.Translated from Armenian",Dec-15-2022_21-33,https://list.am/en/item/18548239,,
House,Stone,190 sq.m.,2,6,3+,,,Partial Renovation,3700 sq.m.,8+,Yes,No,Included,By Agreement,Artsakh › Stepanakert,"150,000 ֏ monthly",AMD,For rent!Translated from Armenian,Dec-15-2022_21-33,https://list.am/en/item/18512657,,
