Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links
Country House,Stone,250 sq.m.,2,4,2,Available,Not available,Major Renovation,1500 sq.m.,7,Yes,No,Included,By Agreement,Lorri › Vanadzor,"60,000 ֏ daily",AMD,"Summer house for rent, 7 km from Vanadzor city, in Pambak village. The summer house is completely renovated, it has a garden with fruit trees. There are handicraft pavilions and a swimming pool in the garden area. There is a sauna on the first floor. The sauna works for an additional fee. Call for details.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17531644
House,Stone,86 sq.m.,2,3,1,Available,1 spot,Euro Renovation,650 sq.m.,8+,Yes,No,Included,By Agreement,"Թելմանի փողոց 11, Ստեփանավան","20,000 ֏ daily",AMD,"Apartment for daily rent in the center of Stepanavan, in a convenient position, close to both city parks and supermarkets, has two bedrooms, up to 7-8 people.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17974588
House,Stone,87 sq.m.,1,3,1,Available,1 spot,Cosmetic Renovation,700 sq.m.,8+,Yes,No,Included,2 weeks,Lorri › Stepanavan,"40,000 ֏ daily",AMD,"A house is for daily rent on Telman Street, adjacent to the square of Stepanavan, 87 square meters. M. With an area that also has a garden, 700 sq. M.: The house is furnished with dishes and bedding. Internet, hot and cold water are widely available. Up to 7-8 people can stay in the house at the same time.Has,*2 bedrooms (2 double beds and 1 single bed)*living room (completely new folding sofa, TV, table, chairs)* kitchen (dishes, gas stove, refrigerator, microwave oven)* newly renovated bathroom*park (700 square meters, there are: Garage, hammock, flowers in the park)I can also offer an option for up to 12 people, as well as a 1-bedroom option.Arboretum is a 15-minute drive from the house, and the famous ""Aleia"" park can be reached on foot.There are shops, a supermarket and thrift stores in the area.The price depends on the days of the week, the number of people and the number of days.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17741555
Country House,Wooden,56 sq.m.,1,2,1,,,Cosmetic Renovation,600 sq.m.,6,Yes,Yes,By Agreement,By Agreement,"Միլիոնի փողոց 154, Ստեփանավան","15,000 ֏ daily",AMD,"A house is for daily rent in one of the most beautiful districts of Stepanavan. It is located next to the pine park։ forest.It is provided with gas, hot and cold permanent water. It has a parking space, a large, very comfortable yard with a swing, a net swing.The house is a small house with a beautiful Russian color, hidden in the lap of secular nature of Lori.Your fairytale rest is guaranteed.Address: 154 Million.It is given for at least 2 days, in case of long-term there will be price discounts. Entrance at 14:00, exit at 12:00. For more information call.#Stepanavan #oravarcov #poshotum:#dacha #antar #hangist #dusting#house #forest#for daily rent #Stepanavan #dacha#restTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/14156124
House,Stone,100 sq.m.,2,8+,3+,Available,Not available,Euro Renovation,400 sq.m.,5,Yes,Yes,Not included,2 months,"Sos Sargsyan Street 12, Stepanavan","140,000 ֏ monthly",AMD,"Being located in the center of the city, directly in the square, gives an opportunity to carry out office, banking, cafe, hotel and other activities. New heating system, Ariston. It is for long-term rent (the sale option can be considered)Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17117241
House,Stone,80 sq.m.,1,3,1,Available,3 or more spots,Euro Renovation,400 sq.m.,8+,Yes,Yes,By Agreement,Without prepayment,"Sos Sargsyan Street 1, Stepanavan","15,000 ֏ daily",AMD,"Near Stepanavan forest, a private house is for daily rent. The house is in a clean and perfect condition. It is very close to the forest, where the pollination of pines will start soon. The pictures are real.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17692686
House,Stone,100 sq.m.,1,2,1,Available,1 spot,Designer Renovation,,6,Yes,No,Not included,1 month,Lorri › Stepanavan,"60,000 ֏ monthly",AMD,"Сдается частный дом в СтепанаванеПостоянный газ, горячая и холодная водаДом отапливается газовой печкоймебельтехникаавтостоянкабарбекюՎարձով է տրվում առանձանտուն Ստեփանավանումմշտական գազ, տաք և սառը ջուրառանձնատունը ջեռուցվում է գազի վառարանով,կահույք, տեխնիկասանհանգույցը սալիկապատմեքենայի կայանատեղիմանղալ",Nov-24-2022_23-03,,,https://list.am/en/item/15547674
House,Stone,160 sq.m.,2,4,1,,2 spots,Euro Renovation,450 sq.m.,8+,Yes,No,Included,By Agreement,Lorri › Stepanavan,"50,000 ֏ daily",AMD,"Օրավարձով է տրվում տուն` Կապիտալ վերանորոգված, ունի գազ, լույս, մշտական տաք և սառը ջուր, բաց պատշգամբ, ավտոկայանատեղի:Частный дом с капитаьным ремонтом здаётся в аренду со всеми комунальными удобствами. Также имеется открытый большой балкон для посиделок и автостоянка.",Nov-24-2022_23-03,,,https://list.am/en/item/17107742
House,Stone,130 sq.m.,2,5,1,,,Major Renovation,200 sq.m.,,,,,,Lorri › Vanadzor,"35,000 ֏ daily",AMD,"Dream house Vanadzor:Dream house VanadzorDAILY HOUSE is located in the center of Vanadzor, next to a new church and hospital, close to the botanical garden, the square, Artsakh Park. 13 people can spend the night in a family-friendly environment. THE PRICE CAN DECREASE ալ increase depending on the number of people և, the heating season. In the garden there is a barbecue, a pavilion, an open balcony with a swing-corner, a pond with fish and water lilies. 3 cars can be parked in the garage.ACCOMMODATION FOR DAILYTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/16186376
House,Stone,100 sq.m.,2,1,2,,,Cosmetic Renovation,,,,,,,"Surb Nshan street, Stepanavan","90,000 ֏ monthly",AMD,"The 2nd floor of a private house with all communal amenities is for daily rent, monthly payment. It has an open balcony, constant hot-cold water, gas, washing machine, WI-FI, refrigerator and TV. If you wish, you can order food. Networks are set up with European windows. There is a big garden around the house, a swing for children, there is a barbecue.Only for a short period of the year, in May-June, pine forests produce phytoncide substances, which are extremely invigorating for people with respiratory problems.It is a pleasant, bright, comfortable home for living.Home has a carpenter, all necessary furniture, set of courts, internet, Clean bed, washing machineA large yard around the house with a well-organized children's square, and a barbecueHome is located in Konce Goroda, in Shagovi Dostupnosti - two magazines.15 minutes walk to the center:Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17810528
House,Stone,70 sq.m.,2,2,2,,,Cosmetic Renovation,120 sq.m.,4,Yes,Yes,Not included,By Agreement,"Surb Nshan street, Stepanavan","70,000 ֏ monthly",AMD,"Сдаю 1 этаж собственного дома в Степанаване со всеми удобствами. Газ, постоянная вода, Wi-fi, чистая постель, вся необходимая посуда. Нахрдится в прекрасном для отдыха месте.",Nov-24-2022_23-03,,,https://list.am/en/item/17811637
House,Stone,300 sq.m.,3,6,2,,,Euro Renovation,600 sq.m.,8+,Yes,No,Included,By Agreement,"Կամոյի փողոց 30, Ստեփանավան","20,000 ֏ daily",AMD,"A spacious private house is for daily rent in c. In Stepanavan, provided with all communal facilities, 5 bedrooms, living room, kitchen, on both floors there is a bathroom, the house is located in the central part, 7 km away from the arboretum, 1 km from the alley, there is a barbecue, an open-air pavilion, a flower garden, for families, Wi Fi, backgammon, lottoTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17758771
House,Bricks,150 sq.m.,2,5,2,,,Major Renovation,1100 sq.m.,,,,,,"Forest Street, Stepanavan","40,000 ֏ daily",AMD,"It is for daily rent in 2022. Fully renovated, private house with all living conditions in Gyulagarak village (3 km away from Dendropark) The house is designed for 10 people. The guest house has 2 different entrances, can accommodate for 2 different groups. The house has a hundred-year history, was built in 1905.House for daily rent in Stepanavan, arboretum, dusting, Lori rest. House for rent in GyulagarakTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17876658
Country House,Stone,200 sq.m.,2,4,2,,,Euro Renovation,2000 sq.m.,,,,,,Lorri › Gyulagarak,"50,000 ֏ daily",AMD,"A private house is for daily rent in Gyulagarak, 2 km away from Dendropark Botanical Garden. The house has all the communal facilities, 3 bedrooms, a large living room, a kitchen, 2 bathrooms, a spacious yard with a large pavilion, a summer kitchen (hot water available), a barbecue.: Designed for 10-15 people. Price: Up to 10 people - 50,000 drams.Gyulagarak, Dendropark, StepanavanGulagarag, Dendropark,Gyulagarak, Dendropark, gyulagarak, GyulagarakTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17699801
House,Stone,80 sq.m.,1,2,1,,,Designer Renovation,2500 sq.m.,5,Yes,Yes,Not included,By Agreement,Lorri › Gyulagarak,"200,000 ֏ monthly",AMD,"6 месяцев 150.000 др3 месяцев 200.000 дрСдается без посредника собственный дом в Глагараке. Расположен от Еревана 140 км, от Степанавана 10 км, от Ванадзора 25 км, от Дендропарка 3 км.Предусмотрены все необходимые удобства.Около 2500 квм плодовой сад, большая парковка.",Nov-24-2022_23-03,,,https://list.am/en/item/17467202
