Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Links,Amenities,Appliances
House,Stone,120 sq.m.,1,5,1,Available,1 spot,Major Renovation,60 sq.m.,4,Yes,No,Not included,1 month,"Eghvard highway, Yerevan",$800 monthly,USD,"Сдается 5 комнтный дом на Шоссе Егвард, Ереван 120 кв. М. Поверхность. Дома отремонтирована. Установлены евроокна, Он обеспечен постоянным водоснабжением и газоснабжением. Отапливается системой отопления.Կոդ V0006",Nov-24-2022_22-59,https://list.am/en/item/18375819,,
House,Stone,95 sq.m.,2,4,1,,,Old Renovation,103 sq.m.,,,,,,Syunik › Goris,"100,000 ֏ monthly",AMD,"For rent only for commercial purposes, long term. On the intersection of Artsakh highway and Galstyan street.Translated from Armenian",Nov-24-2022_22-59,https://list.am/en/item/18348437,,
House,Stone,1000 sq.m.,2,4,2,,,Partial Renovation,1000 sq.m.,,,,,,Syunik › Sisian,"$20,000 monthly",USD,"Private house for sale in Sisian. The 1st floor is a basement, a garage. It has a plot of land in front of the house.Translated from Armenian",Nov-24-2022_22-59,https://list.am/en/item/16412662,,
House,Stone,100 sq.m.,2,4,1,,,Cosmetic Renovation,1000 sq.m.,,,,,,"Artsakhyan avenue 10, Goris","5,000 ֏ daily",AMD,"The price is for 1 person. Address: K. Goris Artsakhyan str. P. T. 10:00The guest house is completely renovated, has 3 bedrooms, 1 spacious living room, kitchen, bathroom, toilet, maximum 10 people can be accommodated in the guest house at the same time. It is equipped with all utilities (constant hot and cold water, gas, electricity,Wi-Fi) There is an inflatable pool in the area.The house is located in the upper part of the city of Goris, from where the whole city opens. There are stalls (bisetka), there is also a barbecue.The mansion is suitable for family, friendly vacations, as well as for hosting tourists. The house has a parking space.It is convenient to organize excursions to the attractions of the region: Khndzoresk swinging bridge, Tatever ropeway, Satan's bridge, Tatev monastery, etc. You can also organize trips to Old Goris, visit museums and get acquainted with the historical and cultural structures of Goris.It is convenient for parents visiting Goris to spend the day with their soldier sons.We also work with transfers.You can also find us on bookingum.Translated from Armenian",Nov-24-2022_22-59,https://list.am/en/item/18078554,,
Townhouse,Bricks,66 sq.m.,1,3,1,Available,Not available,Cosmetic Renovation,500 sq.m.,8+,Yes,Yes,Included,By Agreement,Syunik › Kapan,"50,000 ֏ monthly",AMD,Дома есть всё для проживания дом находиться по адресу Еркатугаинери 5 тупик туалет и баня находиться водворе 5 метров от дома газа нет,Nov-24-2022_22-59,https://list.am/en/item/18134161,,
House,Stone,70 sq.m.,2,2,2,Available,3 or more spots,Major Renovation,20 sq.m.,5,Yes,No,Included,Without prepayment,"Artsakhyan avenue 11, Goris","5,000 ֏ daily",AMD,"The guest house is completely renovated, has 2 bedrooms, kitchen, bathtub, bathroom. It is provided with all the utilities (constant hot-cold water, gas, electricity, WiFi)There is a pavilion in the area.Translated from Armenian",Nov-24-2022_22-59,https://list.am/en/item/17423488,,
House,Stone,100 sq.m.,1,3,1,,,Cosmetic Renovation,,,,,,,Syunik › Kapan,"3,000 ֏ daily",AMD,"Здаю дом, суточно и на длителный срок, все удобство ест, все вапросы по телефону, газ, холодная горячая вода, на дваре есть мангал, парковка для машины, 12 спальных мест. Дом находится вы центре города.",Nov-24-2022_22-59,https://list.am/en/item/17273350,,
House,Stone,45 sq.m.,2,2,1,,,Euro Renovation,,,,,,,Syunik › Kapan,"3,000 ֏ daily",AMD,"Здаю дом сутчно и на длителный срок, дом находица вы центре горда, гарачая холодная вода, Балшой балкон откуда очень красивой вид на город, на дворе есть мангалы где можно жарить шашлыки, парковка для машины, остальные вопросы по телефону, адрес улица азатамартикнер дом 4",Nov-24-2022_22-59,https://list.am/en/item/17273284,,
House,Monolith,24 sq.m.,2,2,2,,,Cosmetic Renovation,500 sq.m.,,,,,,"Մրգանուշ փողոց 1/10, Мегри","4,000 ֏ daily",AMD,"Մեղրիւմ օրավարձով սենյակներ Նազանի հյուրատանը։ Կա 8 և 5 տեղանոց 2 սենյակ անձի վճարը 4000 դր. Կա առանձին խոհանոց, բաց և փակ պատշկամբ սան հանգույց, հայաթւմ կա բեսետկա, մաղալ ավտոկայանատեղ, վրանատեղ (կտրամադրվի ամանեղեն, փայտ) հարմար է նաև զինվորի տեսակցւթյան համար. В Мегри оренда дневная в Наэани кемп гостевом доме, есть 8 и 5 местных комнаты, по 4000 др за персон, есть кухня, сан узел, место для поладки моющая машина, беседка, мангал, автостоянка",Nov-24-2022_22-59,https://list.am/en/item/16895892,,
House,Stone,80 sq.m.,1,4,1,,,Major Renovation,50 sq.m.,,,,,,"Komitas street, Goris","3,000 ֏ daily",AMD,"An apartment is provided for daily rent in Goris, 3000 AMD per person. All utilities are available.Located in the city center, close to all banks and shops.Translated from Armenian",Nov-24-2022_22-59,https://list.am/en/item/18155828,,
