Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Links
Country House,Stone,40 sq.m.,1,1,1,Old Renovation,1400 sq.m.,2,No,Yes,By Agreement,1 month,"Jermuk Highway, Vayk","35,000 ֏ monthly",AMD,Suitable for agriculture. It has no facilities for living. He is for sale. Exchange is possibleTranslated from Armenian,Nov-24-2022_22-58,,,,,https://list.am/en/item/16091801
Townhouse,Stone,50 sq.m.,1,2,1,Designer Renovation,2200 sq.m.,,,,,,Vayots Dzor › Aghavnadzor,"25,000 ֏ daily",AMD,"Qotej, Cottage, Cottage. For details, call before 23.00Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18011367
House,Stone,150 sq.m.,2,5,1,Cosmetic Renovation,300 sq.m.,,,,,,Vayots Dzor › Malishka,"40,000 ֏ daily",AMD,Private house for daily rent in Malishka villageTranslated from Armenian,Nov-24-2022_22-58,,,,,https://list.am/en/item/17974363
House,Stone,45 sq.m.,1,2,1,Euro Renovation,1200 sq.m.,,,,,,Vayots Dzor › Yeghegnadzor,"20,000 ֏ daily",AMD,Guesthouse in Vayots Dzor region. The guest house has 2 rooms with all amenities for garden recreationTranslated from Armenian,Nov-24-2022_22-58,,,,,https://list.am/en/item/11873350
Country House,Stone,90 sq.m.,2,3,1,Designer Renovation,500 sq.m.,8+,Yes,Yes,Not included,Without prepayment,Vayots Dzor › Yeghegnadzor,"30,000 ֏ daily",AMD,"The guest house is located in Hors village of Vayots Dzor marz, surrounded by nature, it is a two-story building, there is internet connection.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18039860
Country House,Monolith,140 sq.m.,2,6,2,Designer Renovation,500 sq.m.,8+,Yes,No,Included,By Agreement,Vayots Dzor › Jermuk,"30,000 ֏ daily",AMD,"The newly built two-story private house is located on the right bank of Jermuk city, in a forest zone, cut off from the noise of the city. The price includes overnight stay for 2 people and 2 hours of sauna. The house is provided with separate floors (maximum 6 persons) and common (maximum 12 persons) Discounts are available depending on the reservation days and the number of persons. We also work with a social package. It has all utilities: Hot and cold water, gas stove, microwave oven, kitchen utensils, disposable toiletries, linens, towels, washing machine, barbecue, fireplace, pavilion, playground, sauna. It is also possible to provide long-term. To see a more detailed description of the mansion, you can follow our pages.Translated from Armenian",Nov-24-2022_22-58,Available,Not available,"TElevision, internet, sauna, fireplace, barbecue oven","FRidge, stove, microwave, washing machine, water heater, iron, hair dryer",https://list.am/en/item/16379060
Country House,Stone,40 sq.m.,1,1,1,Cosmetic Renovation,,3,Yes,Yes,By Agreement,By Agreement,Vayots Dzor › Yeghegnadzor,$150 monthly,USD,"Сдаётся в аренду дом дачного типа со всеми необходимыми удобствами: Стиральная машина, телевизор, микроволновка, чайник, кухонная посуда. Необходимая мебель так же присутствует. Полностью готова к проживанию. Звоните.",Nov-24-2022_22-58,,,,,https://list.am/en/item/18361914
Country House,Stone,130 sq.m.,2,5,2,Partial Renovation,3000 sq.m.,,,,,,"Ստեփան Շահումյանի փողոց 18, Ջերմուկ","20,000 ֏ daily",AMD,"A place for complete relaxation, 2-3 families can stay, there is a garden in front of the house. Renovation costs a little bit, the price is 30,000 for 1 day, if you have any questions, please call. Jermuk is 15 minutes away by car.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18005768
House,Stone,200 sq.m.,2,6,3+,Major Renovation,100 sq.m.,8+,Yes,Yes,Not included,Without prepayment,Vayots Dzor › Yeghegnadzor,"8,000 ֏ daily",AMD,"A two-storey private house for family rest is for daily rent, c. In Yeghegnadzor, the house has all the communal facilities, each room has its own bathroom.Is available,Wi-Fi:TV:Constant hot and cold waterTerrace:Garden:TablewareGarageLaundry serviceThe price is set for one person.For details and reservations, please call the mentioned phone number, we do not see the messages.Translated from Armenian",Nov-24-2022_22-58,Available,1 spot,"TElevision, internet, fireplace, barbecue oven, gazebo","FRidge, iron",https://list.am/en/item/17506811
House,Stone,36 sq.m.,1,1,1,Designer Renovation,25 sq.m.,,,,,,Vayots Dzor › Aghavnadzor,"170,000 ֏ monthly",AMD,"120 km 1.5 hours away from Yerevan,For rent, a one-story detached building with a beautiful yard, completely renovated in the style of a unique designer studio, one wall with a large stained-glass glass covered curtain, has all utilities, hot and cold water, gas, heating system, air conditioner, furnished with the necessary modern kitchen, living room, bedroom, furniture. , the bathroom and the bathroom are completely newly renovated with a constant hot and cold water ventilation system, designed for two or three people. With a depositTranslated from Armenian",Dec-15-2022_21-42,,,,,https://list.am/en/item/18417126
