Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Service Lines,Land Area,Address,Price,Currency,Description,Datetime,Facilities,Appliances,Links
House,Monolith,130 sq.m.,2,3,2,Not available,3 or more spots,No Renovation,"ELectricity, water supply, natural gas, sewerage",520 sq.m.,Ararat › Masis,"$53,000",USD,"A newly built two-story private house with water, electricity and sewerage is for sale in the city of Masis with a very urgent water price. The construction will be completed in a month. The price is paid only in cash, crowd fenced, hurry up, the price won't last long, don't tell me, I'm in the dark, 58,000. Currently, fencing works are going on.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18359103
House,Stone,1200 sq.m.,1,4,2,,,Euro Renovation,,1200 sq.m.,"Улица Кентронакан 16, Геганист","$199,000",USD,"ԳԵՂԱՆԻՍՏՈՒՄ 1200 քմ հող 180 քմ 1 հարկանի տուն և 130 քմ ԱՎՏՈՏԵԽՍՊԱՍԱՐԿՄԱՆ ԿԵՏԿապիտալ նորակառույց շինություն, Եվրոպատուհաններ, բաքսի համակարգ, օդորակիչ, միջանցքը, խոհանոցը և հյուրասենյակը սալիկապատված, 5 սենյակ լամինատե հատակ, ՆԱԾԻԺՆՈՅ ՊԱՏԱԼՈԿ, դռները փայտե, ավտոտեխսպասարկման 2 կետ ԳՈՐԾՈՂ, ԼՈՂԱՎԱԶԱՆ, տաղավար, ավտոկայանատեղի 2 մեքենայի համար նախատեսված, արևկողմ, լուսավոր",Nov-24-2022_23-39,,,https://list.am/en/item/17908650
House,Stone,80 sq.m.,1,3,1,Available,Not available,Major Renovation,,200 sq.m.,"11-րդ փողոց 1-ին նրբանցք 1, Այնթափ","$67,000",USD,"The house is located at the beginning of Aintap. The house is completely renovated, there is a heating system, the bathroom is tiled. The yard is also renovated, there is a corner with a carbon cover, remote control gate, intercom with a camera, 3-way camera. Urgent sale.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18181190
House,Stone,170 sq.m.,2,6,2,By agreement,2 spots,Major Renovation,,360 sq.m.,Ararat › Geghanist,"65,000,000 ֏",AMD,"Newly built private house next to the main road in Geghanist. Uninhabited with capitally renovated modern design. It has an open balcony, two bathrooms, permanent water, electricity, gas. It has a fenced land. High quality building materials were used. I have similar Houses and I also accept orders. It is possible to exchange with a car Geghanist gexanistTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17214218
House,Stone,60 sq.m.,1,3,1,,,Euro Renovation,,300 sq.m.,"1-ին փողոց 1, Այնթափ","$45,000",USD,"3-room private house is for sale in Ayntap, near the Yerevan-Artashat highway. 5_7 km from the factory metro. In the distance. Newly built this year, capitally renovated and uninhabited. Constant hot առը cold water, light. The gas is in progress. It is close to the school or kindergarten. First line, exchange with an adequate apartment in Yerevan. Call the mentioned phone number for details.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17731731
House,Stone,147 sq.m.,1,4,1,,,Cosmetic Renovation,,600 sq.m.,Ararat › Ararat,"$44,200",USD,"Продается дом на участке 6 соток. Дом в центре села Авшар! Дом со всеми удобствами! Под домом есть подвал! Коммуникация вся есть! (газ, вода, свет, канализация, гараж, подвал, отопление! ) Продается с мебелю! (частично)! Заходи и живи! Перед домом огромный гараж на 4 авто! (гараж тоже входит в стоимость! ) Для любителей сельскохозяйственной работ, есть место чтобы держать кур, кроликов и тд! Есть еще земля отдельно продоваваемая 6,6 соток. Документы все чистые, один собственник. Ипотека проходит! Возможен торг! Звоните на РФ номер, на вотсап, вайбер, телеграмм",Nov-24-2022_23-39,,,https://list.am/en/item/16199180
House,Stone,130 sq.m.,1,4,1,Not available,1 spot,No Renovation,,800 sq.m.,"Mkhitar Heratsi Street 2/1, Yerevan","$70,000",USD,"A newly built own house is in use. There is electricity, water and gas. For other questions, call. It is located in the village of Sayat Nova, Masisi. It is negotiable.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18375800
House,Stone,545 sq.m.,2,8+,3+,,,Partial Renovation,,2030 sq.m.,Ararat › Avshar,"$69,980",USD,"Продается дом в селе Авшар. Дом 1957 года постройки, но сохранился очень хорошо. Есть хороший ремонт, но в половине дома. Остальная часть дома со старыми элементами ремонта. Если реставрировать, то не будет цены этому дому. При желании можно поровну разделить дом на два брата.! Расположение очень хорошее. Двор очень красивый, есть бассейн, есть холодийная камера для хранения фрукиов, овощей и тд, есть летняя кухня во дворе, так же душевая, есть кладовая, огромный подвал под домом, курятник и тд. За домом участок, где плодовые деревья. Участок между двумя улицами и при желание можно строить и с другой стороны. Так же есть гараж, тоже под домом. Потолки высокие (4 метра)",Nov-24-2022_23-39,,,https://list.am/en/item/17751266
House,Stone,120 sq.m.,3,4,1,Not available,1 spot,No Renovation,,900 sq.m.,"21-րդ փողոց 9, Նոր Խարբերդ","$70,000",USD,"The house has all the communal facilities, the building is quite strong, it has a basement with a high ceiling of 120 sq. M.Distance from the main street 600 meters, most of which is asphaltThere are fruit trees and a pavilion in the landIf the buyer wants a bigger plot, the owner of the adjacent land is also in the mentioned plot. There are fruit trees.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17031390
House,Stone,300 sq.m.,2,6,3+,,,Partial Renovation,,1000 sq.m.,Ararat › Ararat,"$40,000",USD,"The house is located in Aygavan village, near the school.2-storey + basement1000 m plot, has 2 balconiesTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17758842
