Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Facilities,Service Lines,Appliances,Links
House,Monolith,360 sq.m.,3,8+,2,Available,3 or more spots,Euro Renovation,700 sq.m.,"Vagharshapat street, Parakar","$240,000",USD,"A three-story detached house is for sale on Vagharshapat street of Parakar community, 50m from the Yerevan-Echmiadzin highway and 13km from the center of Yerevan.The floor area is 360 sq/m, and the total is 700 sq/m.The house has a parking space for 3 cars.The building type is monolithic and meets earthquake-resistant standards, and the walls are made of two-layer tuff.The exterior walls are lined with red tuff and basalt stones.The house is renovated, the floor is oak.There is a security system.All conditions for living are available (gas, water, sewage and electricity) The street is paved and lit.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/16998519
Country House,Stone,100 sq.m.,1,4,1,,Not available,Major Renovation,1000 sq.m.,Armavir › Ptghunk,"$75,000",USD,"(Sale-Exchange) Newly built guesthouse for sale in MUSALER-PTGHUNK. At a distance of 7 km from the Argavandi intersection, 700 meters from the main road to the house. Was built in 2019 Conscientious, sophisticated quality. The area is fenced, has water, electricity, and private sewer. I will exchange it for a newly built apartment.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/13772989
House,Stone,70 sq.m.,1,3,1,Available,3 or more spots,Euro Renovation,350 sq.m.,"Baghramyan street, Armavir","$50,000",USD,"A newly built house is Cottage (7'5×10) Maki street, utility with all facilities, corridor 8 sq m, 2 bedrooms each 9 sq mLiving room 30 square meters, kitchen 16 square metersBathroom 4 square meters. The house is not big, 70 square meters.Orchard with 25 trees, 300 square meter garden, 60 square meter yard.The entrance door is iron, travertine window sills inside, basalt outside, with heating system.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/15449551
House,Stone,144 sq.m.,1,5,1,,,Cosmetic Renovation,600 sq.m.,"Abovyan street, Armavir","$75,000",USD,"The house is provided with constant gas, electricity, and water. The house is located in district 107 (Bashniya) For questions, call the indicated phone number.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18290605
House,Stone,1400 sq.m.,1,4,1,Not available,1 spot,Partial Renovation,900 sq.m.,Armavir › Hovtamej,"60,000,000 ֏",AMD,A private house is for sale in the village near Ejmiadzin. There is a 4-room house next to it (an active flower business) The whole land is a greenhouse. Call for details. Price is negotiable.Gaslightwaterfather'sis built next to the highwaywas built in 2017Right next to the stopeuro windowTranslated from Armenian,Nov-24-2022_23-36,,,,https://list.am/en/item/18137008
House,Stone,650 sq.m.,2,6,2,By agreement,3 or more spots,Partial Renovation,650 sq.m.,"Մեսրոպ Մաշտոցի փողոց 2-րդ փակուղի 4, Վաղարշապատ","$145,000",USD,"Currently there are 2 businesses 1st Grocery store, 2nd2 car service points. The house has all utilities, it has a swimming pool, 24-hour heating and cold water, gas, sewerage, the entire area is fenced, for details, call the indicated number FOR SALETranslated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18375738
House,Stone,315 sq.m.,1,4,1,By agreement,Not available,Old Renovation,205 sq.m.,"Լերմոնտով փողոց 24, Վաղարշապատ","$45,000",USD,"A detached house FOR SALE in Etchmiatsin, 1 floor, 4 rooms, 315 square meters, of which the house is 110 square meters. Located on Lermontov streetTranslated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18316327
House,Stone,620 sq.m.,2,8+,2,,,Major Renovation,200 sq.m.,"Sayat-Nova street, Armavir","$110,000",USD,Write. I'm not in ArmeniaTranslated from Armenian,Nov-24-2022_23-36,,,,https://list.am/en/item/16172983
House,Stone,420 sq.m.,2,5,2,Available,Not available,Major Renovation,300 sq.m.,Armavir › Tairov,"$129,000",USD,Own newly built house for sale in TairovCapital renovated uninhabited120 sq/m residential180 yard lot fenced4 bedrooms2 bathroomsIndividual heating system /BAXI/Code 30326Translated from Armenian,Nov-24-2022_23-36,,,,https://list.am/en/item/18172967
House,Stone,164 sq.m.,2,4,1,Available,Not available,Major Renovation,300 sq.m.,Armavir › Echmiadzin,"$98,000",USD,"New capital renovation, new tin roof, water lines, electricity, sewage lines completely new, heating, air conditioner + furniture, located in the central part of the city.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18195937
