Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Facilities,Appliances,Service Lines,Links
House,Stone,261 sq.m.,2,6,1,Major Renovation,1200 sq.m.,Gegharkunik › Gavar,"$95,000",USD,"Վաճառվում է առանձնատուն. Փողանակում միայն ու միայն համարժեք գույքի հետ! Տունը կառուցված է 2005 թվականին: Հողամասի ընդհանուր մակերես 1200 քմ: Տան մակերես 261 քմ. Տանը մնացել են միայն կոսմետիկ վերանորոգումները Լոգարանը վերանորոգված է. Մնացած ամեն ինչ արված է ամենաբարձր մակարդակի. Հատակը բարձրորակ կաղնե մանրահատակից է.Дом 2005 года постройки. Его общая площадь составляет 1200 квадратных метров. Площадь дома 261 кв. В доме остался только косметический ремонт, отремонтирован санузел. Все остальное сделано на высшем уровне. Пол - качественный дубовый паркет. Есть 45 деревьев",Nov-24-2022_23-35,,,,,,https://list.am/en/item/16528837
House,Stone,100 sq.m.,1,3,1,Old Renovation,,Gegharkunik › Gavar,"$8,000",USD,A 3-room private house is for sale near the Russian schoolTranslated from Armenian,Nov-24-2022_23-35,,,,,,https://list.am/en/item/18375403
Country House,Stone,112 sq.m.,1,4,2,Designer Renovation,,Gegharkunik › Sevan,"$45,000",USD,"A four-room fully renovated, furnished cottage is located at the highest point of the Lavanda City area, 1905 meters, next to Lake Sevan, where water will not be available. The cottage has a fireplace, is located in a beautiful natural forest.Translated from Armenian",Nov-24-2022_23-35,By agreement,Not available,,,,https://list.am/en/item/16547159
House,Stone,441 sq.m.,3,6,3+,Old Renovation,1700 sq.m.,"Nairyan Street, Sevan town","$175,000",USD,A private house is for sale in the city of SevanLand area 1700 square metersOld overhaulCarpet-fine floorBuilt-in wardrobesFirst floor - 136 square metersEntrance hallLiving roomKitchenOffice2 bathroomsSecond floor - 155 square metersEntrance hall4 bedrooms2 bathrooms3 balconiesBasement 150 square meters2 storage roomsBoiler houseArea (Playground or other)Garage (+ Storeroom) - 95 square metersAuxiliary building-120 square metersSummer kitchenToneThe bakeryBathroomTerraceTranslated from Armenian,Nov-24-2022_23-35,,,,,,https://list.am/en/item/18359627
House,Stone,112 sq.m.,1,4,2,No Renovation,800 sq.m.,Gegharkunik › Martuni,"$42,000",USD,"Private house for sale 112 sq / m Gegharkunik region, c. Martuni, G. Narekatsi 39. Call for more information.Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/16300557
House,Stone,280 sq.m.,2,6,1,Old Renovation,816 sq.m.,Gegharkunik › Sevan,"$40,000",USD,"URGENTLY FOR SALE IN A HOUSE IN SEVAN, GARAJ DISTRICT (AT LOWER PRICES FROM THE MARKET, ALSO EXCHANGE WITH A 3-ROOM APARTMENT) ;THE HOUSE is made of stone, it has two floors, on the first floor there is a parking lot, there are cellars, permanent water, the second floor is inhabited: A bathroom, a kitchen, rooms.It is gasified, has permanent water, central sewerage. Gas, electricity and water meters are new.The house is also exchanged for a 3-room apartment. In the yard there is a separate building with a rest room, a kitchen, a bathroom for summer and winter living, there is a separate building which served as a workshop, there is three-phase electricity; There is a closed stone pavilion in the park, fruit trees, barn, land (ha) : 0,0816Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/16664988
House,Stone,240 sq.m.,1,6,1,Old Renovation,900 sq.m.,"Ազատության փողոցի 4-րդ փակուղի 1, Գավառ","$20,500",USD,"Call for details.Near the auxiliary school.House, private house, own house. Home. Частный дом. Dacha.Translated from Armenian",Nov-24-2022_23-35,Not available,Not available,,,,https://list.am/en/item/16771258
House,Stone,80 sq.m.,1,3,1,Old Renovation,1000 sq.m.,Gegharkunik › Pokr Masrik,"$3,500",USD,"House for sale in Pokr Masrik community of Gegharkunik region 1000 sq. M. With a plot of land, as he has an adjacent building.It is in good condition.Translated from Armenian",Nov-24-2022_23-35,Not available,2 spots,,,,https://list.am/en/item/16630581
House,Stone,66 sq.m.,3,2,1,Old Renovation,,"Կարմիր Բանակի փողոց 56, Սևան","$32,000",USD,Bargain euro windows sun side for personal write pictures I will sendTranslated from Armenian,Nov-24-2022_23-35,Available,Not available,,,,https://list.am/en/item/17787779
House,Stone,60 sq.m.,1,2,1,Old Renovation,1248 sq.m.,Gegharkunik › Areguni,"$9,000",USD,"It has not been inhabited for a long time, there are fruit treesUrgently negotiableExchange for a carTranslated from Armenian",Nov-24-2022_23-35,Not available,Not available,,,,https://list.am/en/item/18167311
House,Stone,120 sq.m.,2,4,1,Cosmetic Renovation,,Gegharkunik › Artanish,"8,500,000 ֏",AMD,There are 2 garages and a barnTranslated from Armenian,Nov-24-2022_23-35,,,,,,https://list.am/en/item/18047109
Country House,Monolith,30 sq.m.,1,2,1,Major Renovation,,Gegharkunik › Sevan,"$3,000",USD,"Cottage, made of high quality iron, heat-insulated (winter is warm, summer is windy) Euro doors ամուտ windows inside. Inside the toilet and bathroom. Equipped with beds and necessary furniture. Final value, call only viber on the specified numberTranslated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/15979809
House,Stone,340 sq.m.,1,3,1,Partial Renovation,2240 sq.m.,Gegharkunik › Gavar,"8,500,000 ֏",AMD,"The residential house is two-storey, the entrance door is iron, the walls are made of tuff stone, metal roof, it is located on Mikaelyan street, with all communal facilities.Barn - 122 sq. M.Coverage - 54 sq. M.Barn - 59 sq. M.Code 2-21Translated from Armenian",Nov-24-2022_23-35,Not available,3 or more spots,,,,https://list.am/en/item/12053948
House,Stone,100 sq.m.,1,3,1,No Renovation,1100 sq.m.,"Vaghashen-Tsovak Highway, Karchaghbyur","$18,000",USD,An apartment is for sale in the village of Vaghashen. It needs repair. The land area is 1100 square meters. M. It has a bakery and a cellar. Call for detailsTranslated from Armenian,Nov-24-2022_23-35,,,,,,https://list.am/en/item/17970055
House,Stone,476 sq.m.,2,8+,2,No Renovation,,Gegharkunik › Sevan,"16,000,000 ֏",AMD,"The residential house is two-storey, with a basement, without interior decoration, with all the communal facilities.The area of the land is 2,485 square meters ․Garage: 178.1 sq. M.Code 4-46Translated from Armenian",Nov-24-2022_23-35,,3 or more spots,,,,https://list.am/en/item/15154530
