Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Facilities,Appliances,Service Lines,Links
House,Bricks,1200 sq.m.,1,8+,1,Not available,3 or more spots,Partial Renovation,1000 sq.m.,"Erebuni street, Yerevan","$55,000",USD,"Address: Russia, Krasnodar Region, Dinskoy District, Krasnoselsk, Sadovaya str. , house 19b.A residential building with reconstructions, in the past it was used as a bathhouse, then as a pastry, mushroom, and wood cutting workshop.Consists of 2 shares 1) 219.3 m22) 18.1 m2The area of the plot is 0.10 ha, with gates on 3 sides for vehicle accessThere is a grocery store, a pharmacy and a bus stop near the building, it is near the center.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/16289791
House,Stone,1200 sq.m.,2,8+,3+,Available,3 or more spots,Partial Renovation,1000 sq.m.,"Nor-Aresh 44th street, Yerevan","5,000,000 ₽",RUB,"Address: Russia, Krasnodar region, Dinskoy district, Krasnoselsk village, Sadovaya str. , House 19b.Non-residential building with reconstructions, in ancient times it was used as a bath, then pastry, mushroom, wood cutting factories.It consists of 2 sections 1) 219.3 m22) 18.1 m2:The area of the plot is 0.10 hectares with 3 gates for car entrancesThere is a grocery store near the building, a pharmacy, a bus stop, it is near the center.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/16284862
House,Stone,1200 sq.m.,2,8+,3+,Available,3 or more spots,Partial Renovation,1000 sq.m.,"Erebuni street, Yerevan","$65,000",USD,"Address: Russia, Krasnodar region, Dinskoy district, Krasnoselsk village, Sadovaya str. , House 19b.Residential building with reconstructions, in ancient times it was used as a bath, then pastry, mushroom, wood cutting factories.It consists of 2 sections 1) 219.3 m22) 18.1 m2:The area of the plot is 0.10 hectares with 3 gates for car entrancesThere is a grocery store near the building, a pharmacy, a bus stop, it is near the center.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/16287551
Townhouse,Wooden,277 sq.m.,2,2,2,By agreement,2 spots,Designer Renovation,800 sq.m.,International › Russia,"$480,000",USD,"The house is located in the center of Penza city, schools, parks are very close to the house, the house is built of quality wood brought from the North, the wood is breathable, thick and high quality, the house has outdoor and indoor swimming pools, sauna, toaster, large garden, garages. The house is for sale. Or is exchanged for an apartment or apartments in Yerevan. The house is being sold for the purpose of returning to the homeland. For details, call the indicated phone number.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/18334206
House,Wooden,1066 sq.m.,2,8+,2,,,No Renovation,,"Moskovyan street, Yerevan","$135,000",USD,"Продается дом с участком в городе Солнечногорск московская обл. Первая линия, идеальное расположение для бизнеса",Nov-24-2022_23-35,,,,https://list.am/en/item/16346178
House,Bricks,65 sq.m.,1,4,1,,,Cosmetic Renovation,,International › Other Countries,"$52,000",USD,Private house in Rostov Novocherkansk 600 sq. M. Plot of fruit trees Armenian house permanent gas water heating system is located on the central street Front line is convenient for business Exchange in Yerjan with an apartmentTranslated from Armenian,Nov-24-2022_23-35,,,,https://list.am/en/item/15555073
House,Wooden,7 sq.m.,1,3,1,,,No Renovation,,"Moskovyan street, Yerevan","$55,000",USD,"Г Москва, Домодедовский р-он, Белый-Стальбы СНТ Фильм дом 63. 29 км далеко от Москвы.7.52 сотка",Nov-24-2022_23-35,,,,https://list.am/en/item/18248763
House,Stone,50 sq.m.,1,2,1,Not available,Not available,Old Renovation,80 sq.m.,"Nairi Zaryan street 17, Yerevan","250,000 ₽",RUB,"2-room apartment for sale in Russia, needs renovation, located in Ryazansk Oblast, for details call the mentioned numberTranslated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/16443956
House,Bricks,144 sq.m.,2,6,1,Available,Not available,Cosmetic Renovation,1600 sq.m.,International › Russia,"$28,000",USD,"Վաճառվում կամ փոխանակվում է Հայաստանում տան հետ 2 հարկանի աղյուսե տուն՝ Ռուսաստան, Ստավրապոլսկի կրայ, Կիրովսկի շրջան, գ. Գորնոզավոդսկոյե, փ. Կալինինա, տ. 110: Գյուղի միջով հենց անցնում է հիմնական ֆեդերալ մայրուղին, գյուղը ունի 5000ից ավել բնակչություն: Տան բնակելի մակերեսը 144 քմ, հողատարածքը 1600 քմ. Տունը ունի 6 սենյակ և բոլոր կոմունալ հարմարությունները, գազ, ջուր, հոսանք: Բակում կան առանձին աղյուսե շինություններ (ամառային խոհանոց 2 սենյակից և ռուսական փեչով, 2 տնտեսական շինություն, գործող ապխտարան), 2 մեծ տնտեսական ծածկով հատվածներ, պտղաբեր ծառերով այգի, 2 ջերմոց, լողավազան, երկաթե դարպասներ: Կա ևրոպատուհանների արտադրամաս (տրվում է հավելյալ գումարով) :Продаётся или обменивается на дом в Армении 2-х этажный кирпичный дом в России, в Ставропольском крае, Кировский р-н, с. Горнозаводское, ул. Калинина 110. Сквозь деревню проходит федеральная автомагистраль, деревня имеет более 5000 жителей. Жилая площадь дома 144 квм, земля 1600 квм. В доме 6 комнат, имеются все коммунальные удобства, газ, вода, электричество. Во дворе есть отдельные кирпичные постройки (летняя кухня из 2 комнат с печкой, 2 хоз. Постройки, коптильный цех), 2 больших хозяйственных навеса, огород с фруктовыми деревьями, 2 парника, бассеин, железные ворота. Есть цех евроокон (за дополнительную плату)Տեղանքի քարտեզ / Карта местности: https://www.google.com/maps/place/Gornozavodsk...",Nov-24-2022_23-35,,,,https://list.am/en/item/18110227
House,Stone,170 sq.m.,2,4,2,Available,1 spot,Major Renovation,,International › Other Countries,"€200,000",EUR,"Two storey stone house in CYPRUS.The house is located in CYPRUS - 5 minutes drive from the seaand EXCHANGEFully renovated, second floor 170 sq. M. For sale, with common yard, parking on the ground floor, with 2 swimming pools... For details callAnaritaPaphos districtCyprusagia marinaTranslated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/16983820
