Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Facilities,Appliances,Links
House,Stone,800 sq.m.,3,6,1,Not available,1 spot,No Renovation,450 sq.m.,Kotayk › Ptghni,"$88,800",USD,"M-22978Վաճառվում է 3 հարկանի 6 սենյականոց առանձնատուն Պտղնիում։ Առանձնատունը պետական վիճակում է, առաջին գիծ ։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ փայտյա, հատակը՝ բետոն։ Սանհանգույցը ՝ համակցված, էլ․ լարերը և խողովակները՝ փոխված։ Ունի քարե պարիսպ, ավտոտնակ, պտղատու ծառերով այգի, լոջա (4), մշտական ջուր և գազ։ Պատշգամբներից գեղեցիկ տեսարան է բացվում դեպի Արարատ լեռը, մյուս կողմից՝ դեպի քաղաք:Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։3-storey house for sale in Ptghni. The rooms' quantity is 6. The house is in the state condition and is stationed in the 1st line. The entrance door is iron-made, the windows are wooden, the floor is covered by concrete. The bathroom is combined, the electric wires and pipes are newly changed. It has a stone fence, garage, garden with fruitful trees, balcony (4) and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_23-05,,,,https://list.am/en/item/18277487
House,Monolith,300 sq.m.,2,6,3+,,,Major Renovation,500 sq.m.,"Պետրոս Դուրյան 4-րդ փողոց 17, Առինջ","$360,000",USD,"A private house with design and architectural solutions is for sale in Duryan district, 4th street. The total area of the land is 500 square meters, the total area of the building is 300 square meters. The semi-detached house has 1 storage room, 1 storage room, a spacious garage for 2 cars and a boiler room (heated floor, boiler, Ariston heating system, water filter, etc.) On the first floor there is 1 spacious porch, 1 entrance, 1 office, 1 bathroom, living room and kitchen. The windows of the living room and kitchen fully open to the beautiful yard. On the second floor there are 3 bedrooms, each with its open and spacious balconies, 2 bathrooms, 1 dressing room. The roof is open and flat, with a wonderful view. The house is completely monolithic, the inner walls are also, the road is paved with asphalt.The house has a security system, motion, smoke, water and gas control system, power generator, unifi wifi, heated floor, drip irrigation system, etc. For sale with property and equipment.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18324636
House,Monolith,440 sq.m.,3,3,3+,Available,2 spots,Designer Renovation,800 sq.m.,"Պարույր Սևակի փողոց 1, Երևան","$310,000",USD,"The mansion is located in the elite newly built district of Arinji.Capital, beautifully renovated.Provided with all utilities.It has 6 bedrooms, 4 bathrooms, living room, kitchen, open balcony for all bedrooms, attic, indoor swimming pool, sauna,Heating Systemsecurity systemparking lotSummer kitchen. For sale with all property and equipment. The price is negotiable.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17912436
House,Stone,395 sq.m.,3,4,3+,,,Major Renovation,1500 sq.m.,"Kamaris Street 5 3, 3rd deadlock","$220,000",USD,"2-storey private house of 395 sq. M. Is for sale. Area and 1500 square meters. Land, located in Kamaris village, Kotayk region, 22 km away from the center of Yerevan. It is old capitally renovated. On the first floor there is a spacious ""bright living room"", a kitchen, and on the second floor there are bedrooms with open balconies. Iron entrance door is installed, the floor is covered with parquet. It is heated with gas boiler, there is a fireplace in the living room. The bathrooms are tiled and provided with the necessary sanitary ware. The private house has a massage floor, a basement with table tennis and billiards. It is completely fenced, in the yard there is an outdoor swimming pool, a barbecue and a chat room.& nbsp;Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/16964025
Country House,Stone,180 sq.m.,1,5,1,Available,Not available,Partial Renovation,1300 sq.m.,Kotayk › Hrazdan,"10,000,000 ֏",AMD,"VERY URGENT‼ ️‼ ️LOWER THAN THE MARKETKotayk region, village AghavnadzorA 1.5-storey stone house is for sale.The total land area is 1300 square meters. Մ.The area of the house is 180 square meters. Մ.Basement: 90 sq. M. Մ.Constant water, electricity, gas possibility, bathroom inside, normal condition, nature view.Without a mediator!Price is conditional.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17923901
House,Stone,300 sq.m.,2,6,2,,,Partial Renovation,600 sq.m.,Kotayk › Zovuni,"$80,000",USD,"Двухэтажный дом в Зовуни. Площадь земли 600 метров, все коммуникации есть.",Nov-24-2022_23-05,,,,https://list.am/en/item/17032396
House,Stone,110 sq.m.,1,3,1,Not available,Not available,No Renovation,556 sq.m.,Kotayk › Kasagh,"$73,000",USD,It is sold without an intermediary.Owner.Translated from Armenian,Nov-24-2022_23-05,"ELectricity, water supply, sewerage",,,https://list.am/en/item/17946188
House,Stone,70 sq.m.,1,3,1,Not available,Not available,No Renovation,1300 sq.m.,Kotayk › Argel,"$27,000",USD,"Urgent sale of a 1-storey house, very solid and quality. Fruit trees, with necessary communications, (even irrigation water) 22 km from Yerevan. At a distance. (near the school) Price is NEGOTIABLE... 《URGENT》 #CALL NOT WRITE#Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18163268
House,Stone,3200 sq.m.,2,5,3+,Available,3 or more spots,Major Renovation,,Kotayk › Abovian,"$700,000",USD,A luxurious private house is for sale in Abovyan. Together with equipment and property. The total area of the house is 300 square meters. Մ. And the total land square. 3200 sq. M. Մ.Translated from Armenian,Nov-24-2022_23-05,,,,https://list.am/en/item/14156865
House,Monolith,312 sq.m.,3,7,3+,Available,3 or more spots,Designer Renovation,659 sq.m.,"Zovuni 38 street, Zovuni","$287,000",USD,"Completely fenced, First and second floors completely renovated, third floor partially. Sewage permanent, water, gas, three-phase electricity, heating system, solar water heater 7 bathrooms (5 fully renovated), 6 bedrooms (2 partial) 2 indoor and one outdoor kitchen, 3 living rooms (1 partial), irrigation system, parking Partial car for 3 cars with remote control doors, spare parts, orchard (with all kinds of fruits and berries), fireplace, tonir outside, barbecue. Near school, kindergarten, sports school and medical center. Call for details.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/16584651
House,Stone,460 sq.m.,3,8+,2,,,Major Renovation,1500 sq.m.,Kotayk › Arzni,"25,000,000 ₽",RUB,"3-storey private house is for sale in Arzni community. The house is fenced. It has 2 garages, a cellar, a large basement, 35 fruit trees. There are 3 bedrooms on the 2nd floor of the house, all 3 bedrooms have separate bathrooms. The whole floor of the house is heated by a hot pole. There is 2 fireplaces in the house / fireplace /, there is also one fireplace in the basement / number of 3 fireplaces /. The floors of the rooms are parquet - parquet, the rest of the floor of the house, as well as the stairs and windows are granite. The yard is completely tiled with 3D tiles.An exchange with an apartment in Moscow is possible.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17843187
House,Stone,120 sq.m.,1,4,1,By agreement,3 or more spots,Partial Renovation,400 sq.m.,Kotayk › Arzni,"$44,000",USD,The residential house is 120 square meters.Translated from Armenian,Nov-24-2022_23-05,,,,https://list.am/en/item/14507801
House,Stone,240 sq.m.,2,6,1,,,Partial Renovation,1000 sq.m.,Kotayk › Arzni,"$120,000",USD,"Two-story residential house in Arzni community, each floor - 120 square meters. It is fenced, has a garage, a greenhouse and a garden. The first floor is completely renovated, the second needs renovation.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18273028
House,Monolith,120 sq.m.,1,5,1,Available,2 spots,Euro Renovation,950 sq.m.,Kotayk › Kasagh,"$153,000",USD,"Sale. Own house, fresh housefirst linefencedasphalted road2 basements - 30 square meters,garage -yama- 20 square meters,euro refurbished,water tank on the roof 300 l,the yard is tiled,, productive trees,besetka,paddy pullerbucks systemConditioners.2 cupboardsthere is no gas alone, the gas is in front of the housein short, a home with all the amenitiesTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18361752
House,Stone,1750 sq.m.,1,2,1,,,No Renovation,1650 sq.m.,Kotayk › Fantan,"$20,000",USD,"For sale very urgently, the total area is 1750 square meters. The buildings are 100-ton tonra, garage, barn, dilapidated barn, tonra house.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/16923779
House,Stone,600 sq.m.,1,4,1,,,Partial Renovation,,Kotayk › Abovian,"$85,000",USD,"600 sq m residential house and plot, not for sale as house other plot locationTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/15063801
House,Stone,95 sq.m.,1,4,1,,,Cosmetic Renovation,220 sq.m.,Kotayk › Zovuni,"$85,000",USD,"Newly built, in the central part. Will be bargained. Call for questionsTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17955458
House,Stone,170 sq.m.,2,5,2,,,No Renovation,250 sq.m.,"Zovuni 38 street, Zovuni","$58,000",USD,"Newly built residential house in the center of Zovuni, the pictures clearly show what has been done and what is left to do. It was built with very high quality, with a monolithic roof, very symmetrical and symmetrical.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17564560
House,Stone,820 sq.m.,3,8+,3+,Available,1 spot,Major Renovation,,Kotayk › Ptghni,"$300,000",USD,"Շատ շտապ վաճառվում է երեք հարկանի առանձնատուն Պտղնիի բանուկ հատվածում:Հողի ընդհանուր մակերեսը կազմում է 820 քմ, շենքի մակերեսը կազմում է 650 քմ: Առանձնատունը պարսպատաված է բարձր պարիսպներով, ունի պտղատու այգի, ավտոկայանատեղի, զրուցարան, խորդանոց:Առանձնատան էլեկտրական լարերը և խողովակները փոխված են, ունի որակյալ մանրահատակ, եվրո պատուհաններ, որակյալ փայտից դռներ, ներկառուցված պահարաններ, ունի մեծ ընդարձակ խաղասրահ, ննջարաններից բացվող շքապատշգամբներ: Ունի բնական գազ, մշտական ջուր, ջեռուցման BAXI համակարգ: Դիրքը արևկող:ՇԱՏ ՇՏԱՊ ՍԱԿԱՐԿԵԼԻԿոդ 3204",Nov-24-2022_23-05,,,,https://list.am/en/item/14419854
House,Stone,100 sq.m.,2,4,1,Not available,Not available,No Renovation,500 sq.m.,"Zovuni 16 street, Zovuni","$30,000",USD,"Urgent A half-built private house is for sale. The area of the land is 500 square meters, the area of the house is 100 square meters. The land is for agricultural purposes. Details by phone.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17483026
Country House,Stone,133 sq.m.,3,3,2,Available,3 or more spots,Designer Renovation,,"Dzoraghbyur 1-st block, Dzoraxbyur","$47,500",USD,"A country house is for sale in Dzoraghbyur summer houses of Jrvezh community.It is a very quiet place for rest. The height above sea level is 1700 m. It is always cool in summer. The house is on top of a mountain, but the plot is flat. The distance is 15 km from Yerevan Republic Square, 5 km from Nor-Nork administrative district.The house consists of three floors: Basement floor about 40 m2, residential floor, residential attic and beautiful balconies on each floor.The house has been completely renovated and is not inhabited.On the 1st floor: Open balcony, kitchen, living room, bathroom and bedroom.The road is asphalted and faces the sun, thanks to which the road is mostly passable in the winter months.The plot is located at the beginning of the source of irrigation water and the newly built drinking water reservoir, thanks to which there is water supply three days a week in the season, a water tank with a capacity of 4.5 tons is installed.There is a clean water tank in the basement, a water pump is connected and the house is provided with water supply. It is also provided with hot water.The large stained-glass window in the attic overlooks Mount Ararat, and the balcony overlooks the garden.It has a separate sewer.The house was renovated with high quality materials and a unique style.The area is completely fenced.Hurry up and get this fairy house before I change my mind...The coordinates of the house are: 40.182236, 44.646099Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/15652027
House,Stone,320 sq.m.,3,7,3+,,,Partial Renovation,1200 sq.m.,"Ploshchad Sakhmanadrutyan 1, Hrazdan","$105,000",USD,"In Nor Makravan district of Hrazdanown two-story house for sale. 2000 meters with orchard and fenced. The house is ready with everything. It is possible to transfer a car + money. The house has a hearth (fireplace), a large yard with basalt tiles, and a small swimming pool. Unotsi summer kitchen. It is located in Kentron district, the regional center of Hrazdan city (in the back part of the regional headquarters) Large garage Makravan Tsaghkadzor own house dacha okTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17880192
House,Stone,555 sq.m.,2,8+,3+,By agreement,3 or more spots,Euro Renovation,1430 sq.m.,Kotayk › Ptghni,"$255,000",USD,"Code: D-21845In the center of Ptghni village of Kotayk region, 2 newly built private houses are for sale, which are located on a 1430 square meter land, have the same address. The first two-storey private house is 324 square meters, on the ground floor there is a hall, a living room, a kitchen, a sauna, an indoor swimming pool. On the second floor, 5 bedrooms, a game room. The second private house has the same appearance, has 2 floors, 210 square meters, a basement of about 40 square meters. There is a garage for 4 cars on the ground floor. Living room, kitchen, 2 bedrooms on the second floor. Both private houses are fully renovated, have heating systems, air conditioners. Beautiful garden. The entrance gate is remote controlled. They have three-sided windows. It's raining.The commission of the agency is 2%, an exhibition contract is signed for the exhibitions. Please have your ID.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17507941
House,Stone,800 sq.m.,2,8+,2,,,Euro Renovation,1000 sq.m.,"Հայ Ֆիդայինների փողոց 15/2, Հրազդան","$130,000",USD,"Urgent sale of a two-storey private house near the intersection of the road leading to Tsakhkadzor. It is very convenient for any type of business, as it is located on the first line.Building: Monolith_stoneTwo-storey private house (Condition: RenovatedBuilding area:2 floors together -475.4 sq. M.Garage-94.2 sq. M.For two unfinished business purposes:Tonratun - 20 square metersThe other is 15 square metersLand area - 1000 square metersConsists of 9 rooms:7 Bedrooms2 living rooms2 bathroomsComfortable balconies 2:Euro windows2 completely separate entrancesClosed garage for 4 cars, open parking for 3 carsBasement floors 2:MasardFruit garden.Etc•••TsakhkadzorMansion:Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17853680
House,Stone,2400 sq.m.,2,8+,1,Available,1 spot,Major Renovation,,Kotayk › Jrvezh,"$280,000",USD,"Urgently for sale 2-storey private house in Jrvezh, price $280,000, for more details callTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18015350
House,Stone,140 sq.m.,2,3,2,,,Partial Renovation,198 sq.m.,"Zovuni 6 street, Zovuni","$78,000",USD,"The land is located on the 6th street, in the central part of the village, close to the school, kindergarten, asphalt road, wide plashadka, has all utilities. 200 square meters of flat land, fenced. There is a building of 15 square metersThere is a project of 140 square meterscut, twistedEuro windows15 square meter warehouseI will also build with your favorite projectTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17523879
