Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Address,Price,Currency,Description,Datetime,Land Area,Appliances,Service Lines,Facilities,Links
House,Stone,400 sq.m.,2,4,3+,Not available,1 spot,No Renovation,"Forest Street 1/1, Stepanavan","$12,000",USD,"Տունը գտնվում է կիսակառույց վիչակում առաչի հարգի առաստաիւը բիտօնիցե (մոնոլիտ) տան հասցեն նանսենի թաիւամասում առաչվա (սովետների) մօտե ալեա այգուն 500Մ հեռավորությամբ, մոտե քաղաքի այգուն, կփոխանակեմ մեքենայի հետ",Nov-25-2022_00-21,,,,,https://list.am/en/item/14471824
House,Stone,215 sq.m.,2,5,1,Available,3 or more spots,No Renovation,Lorri › Hobardzi,"$30,000",USD,"For rent, two-story private stone tuff stone 215.5 sq. M plot next to the house, 1800 sq. M. On the first floor, garage and basement, and on the second floor, 5 rooms, hallway, kitchen and bathroom, there is gas, water, electricity, and a large sewer, there is also a barn, 26 sq. M., it has a garden, price is negotiable.For details call CALL WAPTSAP WAIBER 2 ARE THE SAME NUMBERTranslated from Armenian",Nov-25-2022_00-21,1810 sq.m.,,,,https://list.am/en/item/18190469
House,Stone,1000 sq.m.,2,5,1,,,Cosmetic Renovation,Lorri › Vanadzor,"$40,000",USD,Urgent Private house for sale in Vanadzor. 1000 sq. M. M Price is negotiable. Call the following number 98622360… 0Translated from Armenian,Nov-25-2022_00-21,1000 sq.m.,,,,https://list.am/en/item/17896242
House,Stone,110 sq.m.,4+,3,1,Available,Not available,Old Renovation,"Tigran Mets Avenue 41, Vanadzor","32,000,000 ֏",AMD,"Duplex apartment in Vanadzor square. Old renovation, baxi, iron door, euro windows, basement. Ceiling height 3.3m, 5 rooms. The apartment can be used as an office.Translated from Armenian",Nov-25-2022_00-21,,"FRidge, stove, washing machine","ELectricity, water supply, natural gas, sewerage",,https://list.am/en/item/15939531
House,Stone,730 sq.m.,2,8+,3+,,2 spots,Euro Renovation,Lorri › Alaverdi,"100,000,000 ֏",AMD,"It is located in Sanahin Sarahart district of Alaverdi city, near Sanahin monastic complex. The area is completely fenced, has fruit trees, iron gate, big game room, billiards, tennis, property. It is also very convenient for the hotel complex.Translated from Armenian",Nov-25-2022_00-21,2300 sq.m.,,,,https://list.am/en/item/16788142
House,Stone,70 sq.m.,2,3,1,,,Partial Renovation,Lorri › Vanadzor,"7,000,000 ֏",AMD,"The house is located in the village of Shahushyan, Lori Marz. Riverside price negotiableTranslated from Armenian",Nov-25-2022_00-21,500 sq.m.,,,,https://list.am/en/item/17935646
House,Stone,1890 sq.m.,1,3,1,,Not available,No Renovation,Lorri › Dsegh,"$17,000",USD,"Очень хороший район для дачиԴաչայի համար շատ լավ տարածքОдноэтажный каменный дом в Дсехе, 1890 кв. М.",Nov-25-2022_00-21,1600 sq.m.,,,,https://list.am/en/item/18214977
House,Stone,386 sq.m.,2,8+,2,,,Designer Renovation,Lorri › Vanadzor,"$65,000",USD,"Վանաձոր քաղաքի Վանաձոր թաղամասում Աբովյան փողոցում վաճառվում է 2 հարկանի առանձնատուն իր ավտոտնակով. Վերանորոգված է, ունի ջուր, գազ, լույս. Փոքր հողակտոր, բերքատու ծառեր: Երկու սանհանգույց և 2 լոգարան:Продается 2-х этажный дом на улице Абовян (Район Ванадзор) со всеми коммуникациями: Газ, электричество, водопровод, канализация. На каждом этаже кухня, душевые - два санузла. Имеются капитальные постройки: Помещение для домашних животных (18,7 кв. М.), капитальный гараж (41,7 кв. М.), котельная (5,99 кв. М.) подвал.",Nov-25-2022_00-21,,,,,https://list.am/en/item/8438258
House,Stone,120 sq.m.,2,7,2,Not available,2 spots,Old Renovation,"Baghramyan Str, Stepanavan","$36,000",USD,"An apartment is for sale in Gargar village, it has fruit trees.Cherries, walnuts, pears, apples, plums. He has 2000 square meters of land in the yard. Has another 2 hectares of land separately. Call the indicated number VatsapTranslated from Armenian",Nov-25-2022_00-21,2000 sq.m.,,,,https://list.am/en/item/16722798
House,Stone,113 sq.m.,2,5,1,,,Old Renovation,Lorri › Stepanavan,"1,600,000 ֏",AMD,"The house is located in c. In Sverdlov (7 km away from Stepanavan) Price is negotiable, call for details.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/17825847
House,Stone,145 sq.m.,2,6,1,,,Old Renovation,Lorri › Vanadzor,"$40,000",USD,"Есть гараж закрытый, открытый, сарай, есть не большой земельный участок торг уместен",Nov-25-2022_00-21,,,,,https://list.am/en/item/18315720
House,Stone,450 sq.m.,3,4,2,,,Major Renovation,Lorri › Vanadzor,"$83,000",USD,Can I sell the house together with the property? Call for detailsTranslated from Armenian,Nov-25-2022_00-21,300 sq.m.,,,,https://list.am/en/item/18087338
House,Stone,272 sq.m.,2,4,1,,,No Renovation,Lorri › Stepanavan,"$11,000",USD,"A half-built house is for sale in K. STEPANAVAN 4 MICROSHRJANOLM 1A STREET House 23 IN. 600 square meters of land. The building is 272 square meters, all communications, water, electricity, gas, sewer, 3 meters away, for details, call the given number on WhatsApp.Translated from Armenian",Nov-25-2022_00-21,600 sq.m.,,,,https://list.am/en/item/17857864
House,Stone,140 sq.m.,2,6,1,Not available,1 spot,No Renovation,"4th microdistrict, 4th microdistrict","$30,000",USD,"The two-storey private house is for sale, it has 6 rooms, a bathroom, a basement, a barn, a parking lot, a garden with fruit trees. The price is not final.Translated from Armenian",Nov-25-2022_00-21,6 sq.m.,,,,https://list.am/en/item/17084495
Country House,Stone,78 sq.m.,2,2,1,Available,Not available,Cosmetic Renovation,Lorri › Gyulagarak,"$75,000",USD,"Do not call with meaningless questions, I will exchange with your car for an additional fee or with an apartment in Vanadzor, I will also sell some plots of landTranslated from Armenian",Nov-25-2022_00-21,2800 sq.m.,,,,https://list.am/en/item/17936043
