Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Garage,Furniture,Facilities,Appliances,Service Lines,Links,Condition
House,Stone,480 sq.m.,2,3,1,No Renovation,1220 sq.m.,"Syuniq street, Goris","$34,500",USD,"Վաճառվում է կիսակառույց բնակելի տուն իր 1220քմ տնամերձ հողամասով։ Գտնվում է Գորիս քաղաքի կենտրոնից 2.4 կմ հեռավորության վրա գտնվող Արեգունի թաղամասում։ Կիսակառույց շինությունը գտնվում է լավ վիճակում, կառուցվել է 1989թ․Продается недостроенный двухэтажный дом с земельным участком площадью в 1220кв. М. Находится в районе Арегуни, на дистанции 2.4 км от центра города Горис. Здание находится в хорошем состоянии, год постройки - 1989г.",Nov-24-2022_23-39,,,,,,https://list.am/en/item/18264701,
House,Stone,1150 sq.m.,2,4,1,No Renovation,790 sq.m.,"Mashtots Street 37, Goris","$55,000",USD,"Улица Маштоца (Ленина) Центральная улица Гориса. Большая земля, отличное место как для бизнеса, так и для проживания!",Nov-24-2022_23-39,1 spot,,,,,https://list.am/en/item/18286562,
House,Stone,95 sq.m.,2,4,1,Old Renovation,103 sq.m.,Syunik › Goris,"$38,000",USD,The place is suitable for any business activity.House 2 floors 95 sq. M. + 25 sq. M. BalconyAdjacent land 103 sq. M.The land is at the intersection of Artsakh highway (15 m) ալ Galstyan street (4.7 m)It is possible to sell the land without a house.Translated from Armenian,Nov-24-2022_23-39,,,,,,https://list.am/en/item/17190302,
House,Stone,120 sq.m.,1,4,2,Partial Renovation,1000 sq.m.,"Erkatughayinneri street, Kapan","$45,000",USD,Private house for saleTranslated from Armenian,Nov-24-2022_23-39,2 spots,By agreement,,,,https://list.am/en/item/15910272,
House,Stone,294 sq.m.,1,4,1,Partial Renovation,,"Komitas street, Goris","6,900,000 ֏",AMD,"The residential house is two-storey, with all the communal facilities.The area of the land is 878 square meters ․Code 8-80Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/14973144,
House,Stone,1000 sq.m.,2,4,2,Partial Renovation,,Syunik › Sisian,"$20,000",USD,It has a plot of land next to the house դիմաց in front of the house. It is in good condition. It has natural gas. The 1st floor is a whole basement. It has a garage. It is for sale together with the property.Urgent.Translated from Armenian,Nov-24-2022_23-39,,,,,,https://list.am/en/item/15728901,
House,Stone,130 sq.m.,2,4,1,Old Renovation,600 sq.m.,"Ավանգարդ փողոց 2, Գորիս","$40,000",USD,Two-storey private house is for sale in GorisFor more information callTranslated from Armenian,Nov-24-2022_23-39,,,,,,https://list.am/en/item/16554355,
House,Stone,1250 sq.m.,1,2,1,Old Renovation,,Syunik › Sisian,"$12,000",USD,"Urgent sale of a 2-room house in the village of Shaki, Syunik marz. You can add more rooms if you wish. There is an orchard and arable land in front of the house.In case of buying the house, price reduction is possible.For all questions, please call the indicated phone numberTranslated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/18304166,
Country House,Stone,780 sq.m.,2,5,3+,No Renovation,,Syunik › Kapan,"$7,000",USD,"HURRY!A 2-story stone house for sale in Geghi (New Astghaberd community, Getishen-Charkand village) ;Next to the north-south road.The house has 2 basements on the first floor, one of which serves as a kitchen.There are 2 rooms and 1 balcony on the 2nd floor.It has a plot of land with fruit trees. (apple trees, pear trees, cherry and other fruit trees)There is a besetka in the garden, as well as a large tank.Provided with drinking and irrigation water, electricity;Gas in a cylinder.Suitable for beekeeping.The house is located next to the village hall.The price is negotiable.For more information call.Translated from Armenian",Nov-24-2022_23-39,3 or more spots,Available,,,,https://list.am/en/item/13933694,
House,Stone,188 sq.m.,2,4,1,Old Renovation,8000 sq.m.,Syunik › Sisian,"8,000,000 ֏",AMD,"Плодоносящие деревья, газ, вода",Nov-24-2022_23-39,2 spots,Available,,,,https://list.am/en/item/18275234,
House,Stone,900 sq.m.,2,3,1,Old Renovation,750 sq.m.,"Երկաթուղայինների 4-րդ նրբանցք 31, Կապան","$16,000",USD,"A two-storey private house with a plot of land near the house, with fruit trees is for sale or exchange, on the first floor of the private house there are 3 basements, and wooden or coal heating system. There is a storage room at the back of the house.Exchange with 1 or 2-room apartment is possible. THE HOUSE IS NOT RENTED, I DON'T KNOW THE LOCATION OF THE HOUSE. DO NOT CALL ON SUCH QUESTIONS, DO NOT CALL AGAINTranslated from Armenian",Nov-24-2022_23-39,Not available,By agreement,,,,https://list.am/en/item/16443018,
House,Stone,242 sq.m.,2,7,2,Partial Renovation,,Syunik › Sisian,"20,000,000 ֏",AMD,"The house has two floors, the first floor is renovated, the second floor only needs cosmetic repairs. A heating system, a solar water heater is installed. It has a garage (access is also from the inside), a newly built and still unused large cattle shed, a large orchard, a cellar.Translated from Armenian",Nov-24-2022_23-39,1 spot,Available,,,,https://list.am/en/item/18279741,
House,Stone,400 sq.m.,3,6,2,Major Renovation,350 sq.m.,"Garegin Nzhdeh Street, Kapan","27,000,000 ֏",AMD,"Own house for sale c. Kapan, fully renovated, located in the heart of the city, has a very nice view.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/18085480,
House,Stone,105 sq.m.,1,4,1,Old Renovation,3000 sq.m.,Syunik › Tsghuk,"$12,500",USD,"The house is old renovated. Has gas, water, barn on 5/12, 5000 square meters of land. It is for sale urgently. It is not near the border.Translated from Armenian",Nov-24-2022_23-39,Not available,Not available,,,,https://list.am/en/item/16828151,
House,Stone,913 sq.m.,2,8+,3+,Old Renovation,543 sq.m.,"Gusan Ashot street, Goris","$60,000",USD,"Վաճառվում է երկհարկանի նորակառույց ամուր կիսակառույց տուն։ Տունը գտնվում է Գորիս քաղաքի Յոլյան փ 50 հասցեում միաժամանակ Յոլյան և Գուսան Աշոտ փողոցների հատվող խաչմերուկում չորս կողմանի արևկող է։Ընդհանուր տարացքը մակ. 913 հա է։ներքին մակերեսը 447,4 քմ է, իսկ արտաքին մակերեսը 543,2 քմ։Պատուհանները եվրոպական։ ՍԱԿԱՐԿԵԼԻ",Nov-24-2022_23-39,,,,,,https://list.am/en/item/14450460,
House,Stone,1000 sq.m.,1,3,1,Old Renovation,1000 sq.m.,Syunik › Kapan,"$25,000",USD,The house is located on a plot of land է It is suitable for building a summer house. It has drinking water. It has a basement. There are all kinds of fruit trees in the park. Only the land of the house is 1000 m. Q. The other two plots are separate and adjacent.Translated from Armenian,Nov-24-2022_23-39,,,,,,https://list.am/en/item/17405096,
House,Stone,150 sq.m.,2,4,1,Old Renovation,2000 sq.m.,Syunik › Goris,"$21,000",USD,A 2-storey house for sale in Karahunj. With a large garden with various types of productive trees. Very urgent.Translated from Armenian,Nov-24-2022_23-39,,,,,,https://list.am/en/item/18222256,
House,Stone,78 sq.m.,1,2,1,Old Renovation,3 sq.m.,"Mashtots Street, Goris","$25,000",USD,"I am selling a 2-room house in the center of the city, it has permanent water. Gas. There is also electricity in the yard of the house. Those who want to call the mentioned numberTranslated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17806838,
House,Stone,150 sq.m.,2,4,1,Major Renovation,500 sq.m.,Syunik › Kapan,"$40,000",USD,"Private house for sale in Kapan, in the village of Chakaten. New building.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/16242670,
House,Stone,240 sq.m.,2,5,1,Partial Renovation,500 sq.m.,"Orbelyanner street 4, Goris","$70,000",USD,Located in the center of GorisTranslated from Armenian,Nov-24-2022_23-39,,,,,,https://list.am/en/item/16683031,
House,Stone,800 sq.m.,2,4,2,Partial Renovation,600 sq.m.,Syunik › Goris,"28,000,000 ֏",AMD,"Own house for sale right in the center of Goris. Windows, doors of European production. The roof is new, aluminum. The kitchen, bathrooms have been fully renovated. The house is provided with hot and cold water, gas, electricity. It has 2 basements, garage, barn, chicken house, fruit trees.Translated from Armenian",Nov-24-2022_23-39,1 spot,Available,,,,https://list.am/en/item/18365336,
House,Stone,1260 sq.m.,2,5,1,Major Renovation,,"Narekaci street, Goris","$80,000",USD,"Վաճառվում է երկհարկանի առանձնատուն, Գորիսի կենտրոնական հատվածում՝ հիվանդանոցի հարևանությամբ: Տունը կապիտալ վերանորոգված է, առկա է ջեռուցման համակարգ /նաև փայտի/: Ունի 5 սենյակ՝ 3 ննջասենյակ, մեծ հյուրասենյակ, փոքր հյուրասենյակ, մեծ միջանցք, խոհանոց և մեծ սանհանգույց, ունի նաև կայանատեղի՝ նախատեսսված 2 մեքենայի համար: Բնակելի հատվածը 217 քառ.: Ունի նաև 1200 քառ. Հողակտոր՝ պտղատու այգիով: Առաջին հարկը հնարավոր է օգտագործել նաև որպես արտադրամաս: Վաճառքը հնարավոր է նաև կահույքի և տեխնիկայի հետ միասին /հավելավճարով/:",Nov-24-2022_23-39,2 spots,Available,,,,https://list.am/en/item/15639789,
House,Monolith,132 sq.m.,2,4,2,Old Renovation,300 sq.m.,"Sisakan St, Sisian","14,000,000 ֏",AMD,"Ունի ավտոտնակ, 60մ/ք նկուղ, մառան, տարածքը մեծացնելու հնարավորություն, այգի պտղատու ծառերով",Nov-24-2022_23-39,1 spot,Not available,,,,https://list.am/en/item/15906464,
House,Stone,120 sq.m.,1,4,1,Old Renovation,1000 sq.m.,Syunik › Khndzoresk,"$30,000",USD,1-storey private house in Khndzoresk village is for sale. It is located in a quiet district and has a wonderful view to the gorge. Adjacent is a plot / garden.It also has a large barn and a storage room.Translated from Armenian,Nov-24-2022_23-39,,,,,,https://list.am/en/item/15507868,
House,Stone,480 sq.m.,2,3,1,Partial Renovation,1350 sq.m.,Syunik › Meghri,"$16,000",USD,"I am renting my own house in the city of MEGHRI, in front of the school, at Zoravar Andranik 17. The price is 16,000 AMD/d.M. Is also for sale. Own house at 90 Ohanjanyan, next to the road, has a plot of 1400 square meters and a garage, the price is 21,000 AMD.Translated from Armenian",Nov-24-2022_23-39,Not available,Available,,,,https://list.am/en/item/16694174,
House,Stone,300 sq.m.,2,8+,1,Cosmetic Renovation,8000 sq.m.,Syunik › Goris,"$30,000",USD,"Տունը գտնվում է Գորիսի Քարաշեն գյուղում ունեմ վարելահողեր, գոմ, մեծ նկուղ, գազ, ջուր, հոսանք, ինտեռնետ, փոխանակում, մանրամասների համար զանգել",Nov-24-2022_23-39,3 or more spots,Available,,,,https://list.am/en/item/15665918,
