Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Appliances,Service Lines,Links,Facilities,Condition
Country House,Stone,800 sq.m.,2,5,2,By agreement,1 spot,Euro Renovation,245 sq.m.,"Momik street, Yeghegnadzor","$150,000",USD,"A private house is FOR SALE URGENTLY. It is located in the center of Yeghegnadzor city of Vayots Dzor region, behind ASHIB bank, dormitory and house of culture, next to Momik park.The total area of the land is 800 square meters, fenced, of which the area of the house is 245 square meters.The yard is in perfect condition, it is provided with external lighting, there is a barbecue. It has an orchard.The house is provided with internal and external bathrooms. The kitchen and the bathroom are tiled.From the second floor there is a wonderful view to the beautiful mountains of Vayots Dzor. Number of rooms on the second floor: 3 bedrooms, 1 dining room, 1 spacious hall, 1 kitchen, 1 closed balcony, 1 bathroom, 1 bath. The second floor is heated by ARISTON heating system.The first floor is gasified, spacious and can serve as a recreation hall, warehouse or commercial area. The first floor has a basement. It is possible to turn it into a 3.4 room.The house is provided with constant hot and cold water. The main doors are iron, the inner doors are wooden, the floor is oak parquet. For sale without furniture or equipment.There is also a garage, 2 additional structures, which serve as a storage and bird nest.The area can be used not only for residential but also for commercial purposes (guest house, hotel, restaurant, government institutions, large shopping centers, etc.)IN CASE OF REAL PURCHASE, CALL THE NUMBER (NOT WITH VIBER)Частный дом ПРОДАЕТСЯ СРОЧНО. It is located in the center of the city of Ehegnadzor Vajotsdzor region, for the bank ASIB, accommodation and home culture, near the park Momika.The common area of the square is 800 square meters, with 245 square meters of square meters at home.A yard in an ideal state, which has a refreshing effect, is a brazier. This is a fruit bowl.In the home is the interior and interior of the bathroom. Kitchen, bath molded shallow.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17873748,,
House,Stone,800 sq.m.,2,4,2,By agreement,1 spot,Major Renovation,245 sq.m.,"Momik street, Yeghegnadzor","$150,000",USD,"URGENTLY FOR SALE by the owner of a private house. It is located in the center of Yeghegnadzor city of Vayots Dzor region, behind ASHIB bank, dormitory and house of culture, next to Momik park.The total area of the land is 800 square meters, fenced, of which the area of the house is 245 square meters.The yard is in perfect condition, it is provided with external lighting, there is a barbecue. It has an orchard.The house is provided with internal and external bathrooms. The kitchen and the bathroom are tiled.From the second floor there is a wonderful view to the beautiful mountains of Vayots Dzor. Number of rooms on the second floor: 3 bedrooms, 1 dining room, 1 spacious hall, 1 kitchen, 1 closed balcony, 1 bathroom, 1 bath. The second floor is heated by ARISTON heating system.The first floor is gasified, spacious and can serve as a recreation hall, warehouse or commercial area. The first floor also has 2 basements. It is possible to turn it into a 3.4 room.The house is provided with constant hot and cold water. The main doors are iron, the inner doors are wooden, the floor is oak parquet. For sale without furniture or equipment.There is also a garage, 2 additional structures, which serve as a storage and bird nest.The area can be used not only for residential but also for commercial purposes (guest house, hotel, restaurant, government institutions, large shopping centers, etc.)Please call only in case of REAL purchase. Partial sale, payment or rent is NOT CARRIED OUT.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/16292898,,
House,Stone,115 sq.m.,1,4,2,,,Cosmetic Renovation,2000 sq.m.,Vayots Dzor › Yeghegnadzor,"14,000 ֏",AMD,"Private house for sale in Goghtanik village, Vayots Dzor region, 30 km away from Yeghegnadzor town. Has permanent drinking, irrigation water, electricity, barn 30 sq. M. Մ. Cabinet, pavilion, 9 walnuts, 20 apples, pears, cherries, plums, quince, raspberry and currant bushes. It also has a separate privatized arable land of 1100 sq. M. M.:Price is negotiable.Vayots Dzor, in Vayots DzorTranslated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/16260933,,
House,Stone,30 sq.m.,2,3,1,,,Old Renovation,2500 sq.m.,"1st Street 8, Ելփին","$12,000",USD,"A private house is for sale or rent in the village of Yelpin, it has a basement, a pantry, a bakery, a cattle yard, fruit trees. The land is 2500 m2. 29.9 c. M residential. The price is negotiable.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/18219123,,
House,Stone,250 sq.m.,2,5,2,Available,Not available,Partial Renovation,,Vayots Dzor › Yeghegnadzor,"$80,000",USD,"The house is located very close to the center of Yeghegnadzor. There are 5 rooms on the second floor. Area 250 square meters: 4 bedrooms, 1 living room (45 square meters), with euro windows, kitchen with furniture, partial renovation. There is 1 bathroom, open and closed balcony, closed parking for 2 cars. On the first floor (ground floor of the building), there is 1 bathroom, kitchen and basement. Permanent water (cold and hot), gas, electricity. Beautiful yard, 2000 square meters cultivated garden, vegetable greenhouse. There are apricot, peach, plum, cherry, mulberry, cherry, honey, fig, hazelnut, almond, walnut trees, a number of grape varieties, etc. In the garden.https://yandex.com/maps/105801/yeghegnadzor/?l...Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/16092082,,
House,Stone,200 sq.m.,2,4,2,Not available,2 spots,No Renovation,1200 sq.m.,Vayots Dzor › Artabuynk,"$25,000",USD,Own house has permanent drinking ջուր irrigation water (free) has grapesOrchard and fruit trees call for detailsTranslated from Armenian,Nov-24-2022_23-35,,,https://list.am/en/item/17504996,,
House,Monolith,400 sq.m.,2,3,1,Available,1 spot,Old Renovation,3700 sq.m.,Vayots Dzor › Malishka,"$22,000",USD,"A 2-storey private house for sale in the village of Malishka, Vayots Dzor region, near the road, with an area of 400 square meters, 8 rooms, total area of 3700 square meters.The 1st floor is fenced, with a door and a window.The 2nd floor is semi-detached.It is provided with drinking and irrigation water, with a meter, there is a possibility of gas.There is a stone garage about 25 square meters, a cowshed about 30 square meters,bakery about 40 square meters, large fruit trees//popcorn, hazelnut, apple, pear, quince, grape//.The price is $22,000.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17683429,,
House,Stone,1000 sq.m.,2,4,2,,,Cosmetic Renovation,,"Momik St, Yeghegnadzor","$49,000",USD,"A two-story private house is urgently for sale in Yeghegnadzor city (in the center)The total area is 1000 square meters. M.There is a very good fruit garden, other auxiliary structures, which are mentioned in the certificate of the house. The total area of the house is 204.4 sq. M. M.: The house has 2 entrances for pedestrians and cars. On the 1st floor there are 3 rooms (basement), on the 2nd floor there are 3 bedrooms, a large living room, a corridor, a kitchen, a sewer, a balcony.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/14621499,,
House,Stone,120 sq.m.,1,4,1,,,Partial Renovation,500 sq.m.,"Shahumyan street, Yeghegnadzor","$40,000",USD,"The house has all utilities, there is also a garage in the back, call for details.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/18047326,,
House,Stone,50 sq.m.,1,3,1,,,No Renovation,600 sq.m.,Vayots Dzor › Yeghegnadzor,"$12,000",USD,"Продаётся дом без ремонта, имеется свет, вода, общая площадь 50 кв/м, земля 600 кв/м, + 2000 кв/м, + 4000 кв/м, место очень хорошая, фотография могу отправить по ватцап или вайбер звоните за все вопросы отвечу",Nov-24-2022_23-35,,,https://list.am/en/item/18317783,,
House,Stone,62 sq.m.,1,2,1,Not available,Not available,Old Renovation,,Vayots Dzor › Getap,"$6,500",USD,"Getap village, Vayots Dzor region. Very urgent. Apartment for rent on the first floor of a two-story building.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/18330042,,
House,Stone,130 sq.m.,2,4,1,,,Old Renovation,2000 sq.m.,Vayots Dzor › Yeghegnadzor,"$21,000",USD,Own house for sale in Yeghegnadzor city. The total land area is 2000 square meters. M. The building is 130 square meters. M. Garage 22 c. M.Negotiable.Translated from Armenian,Nov-24-2022_23-35,,,https://list.am/en/item/18224278,,
House,Stone,400 sq.m.,2,8+,3+,,,Euro Renovation,800 sq.m.,Vayots Dzor › Jermuk,"192,000,000 ֏",AMD,"For sale or rent, 2 storey detached house in the city of Jermuk.The first private house is divided into 2 parts, each has 2 bedrooms, 2 bathrooms, living room, kitchen. The second private house is divided into 4 parts, each of them has a bedroom, a bathroom, a living room, and a kitchen. The roof is completely renovated. The electrical wiring, electrical wiring and water pipes are also new. The apartments are furnished and equipped with necessary equipment. They have built-in wardrobes. They are provided with round-the-clock water supply and gas supply. There is an individual heating system. For your comfort, there is a playground and barbecue in the yard. Outdoor parking spaces are available for cars. In the neighborhood you can find all necessary shops, cafes, entertainment places. The place is calm and quiet.The area of the land is 800 square meters (the area of the garden is not included) The living area is 400 square meters (the living area of each private house is 200 square meters)The area of the park is 600 square meters.Call in case of sale1's phone number.Call for rentalwith the 2nd phone number.Jermuk:Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17945034,,
House,Stone,257 sq.m.,2,5,2,,,Old Renovation,1708 sq.m.,Vayots Dzor › Yeghegnadzor,"$39,500",USD,"A private house is for sale at 45 Gladzoryan street, there is a bakery, a garage, productive trees in the area, it is fenced. It is also possible to exchange with a 2-3 room apartment for an additional fee, call for questionsTranslated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/18130298,,
House,Stone,120 sq.m.,2,4,1,,Not available,Cosmetic Renovation,1000 sq.m.,"Spandaryan Street, Yeghegnadzor","$36,000",USD,"Has a large basement, storage room, gas, permanent water, irrigation water, there are fruit trees. Call for details.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17689755,,
House,Stone,10 sq.m.,1,4,3+,,,Designer Renovation,,"Myasnikyan street, Vayk","$8,000",USD,"In case of normal condition, callVayots Dzor region.C AzatekTranslated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/15482490,,
House,Stone,1300 sq.m.,2,6,1,Available,1 spot,Old Renovation,900 sq.m.,Vayots Dzor › Yeghegnadzor,"10,000,000 ֏",AMD,"A two-storey house is for sale in YeghegnadzorSales options:️Cash with own meansՄամբ Mortgage lendingThe total area is 1300 square meters️There is:ՎGarage (Has tool cabinets, technical hole: Yama)️Fruit garden: 900 square meters (Trees: Apple, plum, almond, cherry, apricot, etc.)There is a pipe irrigation system,Address: Orbeli Street House 4,Located near the stadium.️:Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17589311,,
House,Stone,340 sq.m.,2,6,2,,,Partial Renovation,1200 sq.m.,Vayots Dzor › Yeghegnadzor,"$70,000",USD,Own house for sale in Yeghegnadzor near the stadium. The first floor is partially renovated. Second floor old renovation.Translated from Armenian,Nov-24-2022_23-35,,,https://list.am/en/item/18085768,,
House,Monolith,4000 sq.m.,2,3,1,Available,3 or more spots,Partial Renovation,4000 sq.m.,Vayots Dzor › Yeghegnadzor,"$12,000",USD,"Vivaots Dzor region village Chiva Very urgent Land near the house for sale, the land is full of fruit trees and saplings, the house needs cosmetic repairs, there are no houses around the land, it is also suitable for tourist projects, holiday homes, hotel construction, holiday home for real buyers It will be negotiated in exchange for the equivalent of a car or for a surcharge. You can see other announcements on my page.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/14662653,,
