Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Facilities,Service Lines,Appliances,Links
House,Stone,550 sq.m.,1,3,1,Available,Not available,Old Renovation,550 sq.m.,"Hrachya Acharyan street, Yerevan","$130,000",USD,"In Avan, on Hrachya Acharyan street, near Kari1-storey private house with 90 sq. M. Residential area and 650 sq. M. Land is for saleThe private house has 1 living room, 2 bedrooms, a kitchen, a bathroom, a basement of 18 square meters. The house is renovated, individual heating system is installed, euro windows, the floor is covered with laminate and tiles, the bathroom and the kitchen is tiled and equipped with sanitary ware. The rooms are furnished, equipped with household appliances. The yard is fenced, there is a greenhouse with an area of 100 square meters, fruit trees, an outdoor parking lot for 2 cars, an iron gate is installed. The Botanical Garden, the football federation, a school, shops and entertainment places are nearby.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17833947
House,Stone,50 sq.m.,1,2,1,,,Euro Renovation,8 sq.m.,"Frunze street, Yerevan","$48,000",USD,Euro renovated private house with all utilities for sale; basement under the house; the house is located near the film homeland; 2 rooms; there is an 8 square meter yard; schools nearby; kindergartens; shops; supermarkets. I am not an agent; is my house Call from 17/00 to 24/00Translated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/18324486
House,Stone,105 sq.m.,1,4,1,,,Partial Renovation,152 sq.m.,"Avan 5-th street 1st lane, Yerevan","$65,000",USD,Residential 105 sq. M. Garage 26.2 sq. M. Auxiliary building 15.5 sq. M. Negotiable settlement 5_rd street 52/4 houseTranslated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/17628442
Country House,Monolith,80 sq.m.,2,3,1,Available,Not available,Cosmetic Renovation,550 sq.m.,"20-րդ փողոց 32, Նոր Խարբերդ","$30,000",USD,"Private house for sale with partial ownership, has 2 bedrooms, one living room with kitchen, bathroom and toilet (tiled), has drinking water, electricity, has an iron door, has air conditioners, if desired, we can leave it for an additional fee. There are 2 transports in the area. I will also sell with the entire property.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17664549
House,Stone,72 sq.m.,1,3,1,By agreement,Not available,Partial Renovation,250 sq.m.,"Lukashin street, Yerevan","$65,000",USD,"Lukashin street, new district, 100 meters from the North-South road, own house, newly built.A house in Lukashin. There are unfinished business. Water and gas are not connected, but they are in the area.Very good and quiet neighborhood, new neighborhood, new houses, sunny side.Tuff walls under two,There is cosmetic work to be done.The power wires are copper of good quality, the installation of water points is done.You can use Krish as a mansard. The laminate and metlakh are broken. The interior doors are new, the faucets and the rest are new, of very good quality.In case of detailed questions, call.URGENT, VERY URGENT.DO NOT CALL THE BROKERS AND INTERMEDIARIES, DO NOT DISTURB.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17049256
House,Stone,230 sq.m.,1,5,2,Not available,1 spot,Major Renovation,500 sq.m.,"Grigor Zohrab street, Yerevan","$138,000",USD,"Private house for sale in Ajapnyak, near San Lazaro, the whole road is asphalted, all the utilities are available, it is very close to the bus stop... 2 floors from the yard, 1 from the street, behind the house there is a plot of land, separate kitchen, baxi system, summer kitchen, heated floor, fruit trees. Parking: For details, call the number listed. VERY URGENTLYAgency:Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17623733
House,Monolith,700 sq.m.,3,8+,3+,Available,2 spots,Major Renovation,1700 sq.m.,"Ձոր 1 թաղամաս 79, Երևան","$1,800,000",USD,"Davtashen Dzor 1 district, newly built private house, 3 floors, outdoor and indoor swimming pool, sauna, decorative trees in the yard, stone building for special occasions, beautiful and open view of the valley.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18243774
House,Stone,100 sq.m.,1,4,1,,,Major Renovation,680 sq.m.,"Malatia St, Yerevan","$165,000",USD,The house is fully renovated with all utilitiesWith a large plot of landTranslated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/18249681
House,Stone,630 sq.m.,3,6,3+,Available,2 spots,Major Renovation,1500 sq.m.,"Babayan street, Yerevan","$2,000,000",USD,"Babayan P. Near Monument Park, a luxury detached house for sale, 3 floors + basement, the detached house has a swimming pool, a sauna, 2 kitchens, 3 bathrooms, a laundry room, a pavilion, a cooling and heating system, a garage, there are decorative and fruit trees in the yard. Code S02.314Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18160861
House,Monolith,240 sq.m.,3,6,2,Not available,1 spot,No Renovation,500 sq.m.,"Anastas Mikoyan street, Yerevan","$420,000",USD,"3-storey detached house near Davtashe, Armenia, on the 1st floor there is a garage, basement and office, on the 2nd floor there is a kitchen, living room and bathroom, on the 3rd floor there are 3 bedrooms, a bathroom and an open balcony, on the roof terrace.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18226091
Townhouse,Monolith,190 sq.m.,2,5,3+,Not available,1 spot,No Renovation,200 sq.m.,"Fuchik street, Yerevan","$210,000",USD,"House in Ajapnyak, very busy area, parking space, each floor is about 100 square meters, roof terrace and attic floor, sale is very urgent...Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18015720
House,Stone,200 sq.m.,2,7,3+,,,Major Renovation,750 sq.m.,"Շրջանցիկ Թունել փողոց 112, Երևան","$350,000",USD,"House 7 rooms, 3 bathrooms, two with bathrooms. Living room, dining room with kitchen, master bedroom with bathroom on separate floor. Living room, three bedrooms, bathroom, balcony, on the second floor. The roof is flat tiled, used as a third open floor - balcony. Orchard with 21 fruit trees, small basement, pantry. Entrance to the third bathroom from the yard, without bathtub. Own house-cottage in the city ""out of town"". Permanent drinking water, separate irrigation water. For more detailed pictures and call or write for information.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/16544120
House,Stone,397 sq.m.,3,8+,3+,By agreement,Not available,Major Renovation,417 sq.m.,Yerevan › Davitashen,"$560,000",USD,"3-storey private house is for sale in Davitashen.It is fenced. There is a kitchen and a bathroom on the 1st floor.On the 2nd floor, there are 2 bedrooms, a bathroom, a living room, and an open balcony opening from the latter.On the 3rd floor there are 5 bedrooms, a bathroom.4th floor: Used roof. The building overlooks Ararat, Aragats and Ara mountains.The first and second floors are renovated, the interior doors are made of wood, the entrance door is made of iron, the stairs are made of travertine. There is a security system, permanent water, electricity, irrigation water. There are fruit trees in the garden.Code 10241Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17909616
House,Stone,180 sq.m.,1,3,1,Not available,1 spot,Major Renovation,80 sq.m.,"Հաղթանակի 16-րդ փողոց 4, Երևան","$80,000",USD,"3 BEDROOM PRIVATE HOME IN VICTORY NEIGHBORHOODTotal 180 square meters, Residential 100 square metersNewly builtConstant hot/cold waterNatural gas, InternetThe windows are EuropeanThe bathroom is tiled/metallachThe kitchen is tiledLaminate living room and bedrooms. UrgentTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17385575
House,Stone,230 sq.m.,2,5,2,,,Designer Renovation,500 sq.m.,Yerevan › Avan,"$330,000",USD,"Avan, Duryan 2nd street.Land - 500 sq / m.House-2 floors, each floor 115 sq / m. Summer kitchen, garage for 2 cars. Fully renovated, with furniture and appliances.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/16211390
House,Stone,500 sq.m.,2,5,2,Not available,1 spot,Partial Renovation,380 sq.m.,Yerevan › Malatia-Sebastia,"$300,000",USD,"Lukash near the north-south highwayNewly built two-story detached house, adjacent land: 500 sq. M., building size: 120 sq. M. + 120 sq. M., walled, monolithic structure, ceiling height: 3m, 15cm, 4 bedrooms, electric wires and pipes installed, fenced, E/P, doors, needs cosmetic repair, plastered with travertine stone, permanent water, central sewer, water, gas, emergency.If desired, the adjacent land will be sold: 500 square meters, + $80,000.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17038231
House,Stone,490 sq.m.,3,8+,2,,,Old Renovation,324 sq.m.,Yerevan › Erebuni,"$280,000",USD,"Code ART1028:3-storey private house for sale in Nor Aresh. The total area is 490 square meters, and the living area is 324 square meters. The 1st floor is semi-basement, where there is a living room, 2 rooms, a basement. On the 2nd floor there is a living room, a kitchen, a bathroom, 2 bedrooms. On the 3rd floor there is a living room, a kitchen, 3 bedrooms, a bathroom. There is an open balcony.Code ART-1028Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17338190
House,Stone,300 sq.m.,3,8+,3+,,,Old Renovation,310 sq.m.,Yerevan › Erebuni,"$163,500",USD,"ART1158:3-storey private house for sale in Nor Aresh. The total area is 300 square meters, and the land is 310 square meters. The house is old renovated. Euro windows, heating system are installed, the floor is covered with parquet. It has an open balcony. The front part is 7 meters. The 1st floor is the basement, where there are 4 rooms, a bathroom. 2nd floor: Living room, kitchen, bathroom. There are 3 bedrooms and a bathroom on the 3rd floor.Code ART-1158Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17735693
House,Stone,272 sq.m.,2,4,2,By agreement,2 spots,Major Renovation,446 sq.m.,Yerevan › Erebuni,"$195,000",USD,"Code ART273, 2-storey detached house with an attic for sale, living area 272 square meters. With an area of 446 square meters, located in Erebuni community, on Atoyan Street. The house is in good condition. There is a kitchen and 3 rooms on the mezzanine floor. On the 1st floor, 3 bedrooms, 1 bathroom, 1 kitchen, 1 spacious hall and living room. Euro windows, iron door are installed, the floor is covered with parquet. Heated by a gas boiler. The bathrooms are tiled and equipped with the necessary plumbing equipment. The house has a stone garage.Code ART-273Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/12131284
House,Stone,200 sq.m.,1,4,1,,,Major Renovation,80 sq.m.,Yerevan › Erebuni,"$110,000",USD,"Code ART919A 1-story, 4-room private house for sale in Nor Aresh. The total area is 200 square meters, and the land area is 80 square meters. The house is renovated. Euro windows, heating system are installed, the floor is covered with oak parquet, the bathroom is tiled. There is a two-story summer lounge in the yard. The floor of the yard has just been renovated. The house has now been completely renovated.Code ART-919Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/16893270
House,Stone,220 sq.m.,2,6,2,By agreement,2 spots,Partial Renovation,700 sq.m.,Yerevan › Erebuni,"$185,000",USD,"Code ART886For sale a 2-storey 6-room house in Nor Ares. The house is partially renovated. The apartment has a stylish renovation, 1 line. VH. Iron door, laminate floor, Euro windows. There is a garage for 2 cars, in the yard there is a swimming pool, an orchard, a balcony:Code ART-886Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/16914395
House,Stone,1775 sq.m.,3,8+,3+,Available,3 or more spots,Major Renovation,3000 sq.m.,Yerevan › Erebuni,"$1,600,000",USD,"ART1254A 3-storey house for sale in the Hollywood district. The total area is 1775 square meters, the land area is 3000 square meters. The house is fully renovated. It consists of living room, kitchen, 6 bedrooms, office, 2 bathrooms, 2 bathrooms and open balconies. There is also an indoor swimming pool (25 square meters), a sauna. The stairs are covered with marble. There is a gym, dressing room, spacious bathroom, rest and storage rooms. It has a yard with fruit trees, outdoor swimming pool, summer kitchen, open and closed parking, guard post. A security system is installed.Code ART-1254Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18117193
House,Stone,285 sq.m.,3,5,2,,3 or more spots,Major Renovation,280 sq.m.,Yerevan › Erebuni,"$306,000",USD,"ART944:A 3-storey mansard private house is for sale in Vardashen. The total area is 280 square meters, and the living area is 284.6 square meters. The house is fully renovated. There is a garage for 3 cars on the 1st floor. On the 2nd floor there is a living room, 1 bedroom, a kitchen. On the 3rd floor there are 2 bedrooms, a study, a bathroom, a kitchen, a laundry room. The 4th floor is a mansard. Euro windows, heating system are installed, the floor is tiled, the bathroom is tiled. There is an entrance to the storage room from the kitchen. It has a basement in the yard, which is divided into 4 parts and can serve as a production area.Code ART-944Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/16988003
House,Stone,250 sq.m.,1,3,1,,,Major Renovation,100 sq.m.,Yerevan › Erebuni,"$102,000",USD,"ART957A 1-story, 3-room stone house for sale in Nor Aresh. The total area is 250 square meters, and the land area is 100 square meters. The house is fully renovated. Euro windows, heating system are installed, the floor is covered with tiles, the bathroom is tiled. There is a summer kitchen in the yard.Code ART-957Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18128739
House,Stone,60 sq.m.,2,1,1,,,Old Renovation,,"Khorenatsi street, Yerevan","14,000,000 ֏",AMD,ART1293A 2-storey private house is for sale on Khorenatsi Street. The total area is 60 square meters. The apartment is old renovated. All utilities are available.Code ART-1293Translated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/18314305
House,Stone,60 sq.m.,1,2,1,Not available,Not available,Major Renovation,650 sq.m.,Yerevan › Kentron,"$250,000",USD,"Առանձնատունը պարիսպապատ է: ՈՒնի մեծ, կանաչապատ այգի, որի քառակուսին կազմում է 650 քառակուսի մետր: Այգին հագեցված է պտղատու ծառերով, առկա է բուխարի: Առանձնատան քառակուսին կազմում է 60 ք. Մ.: Առկա է անվտանգության համակարգ, երկինք նայող երդիկ, մշտական ջուր, բնական գազ: Պատուհանները եվրոպական արտադրության են:Կոդ 4005",Nov-24-2022_23-14,,,,https://list.am/en/item/14947536
House,Stone,276 sq.m.,3,6,3+,,,Major Renovation,316 sq.m.,"Armenakyan street pass, Yerevan","$370,000",USD,"Three-storey stone house with all amenities, the basement can be used for different purposes, for sale with the property, close to the road, supermarket, hospital, very beautiful and comfortable houseTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17935408
