Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Service Lines,Land Area,Interior Finishing,Handover Date,Mortgage is Possible,Address,Price,Currency,Description,Datetime,Links
Townhouse,Monolith,153 sq.m.,2,6,3+,2 spots,"Electricity, water supply, natural gas, sewerage",282 sq.m.,Prefinished Interior,Q2 2023,Yes,"Մհեր Մկրտչյանի 15-րդ փողոց, Առինջ","55,000,000 ֏",AMD,"Hurry up to take advantage of the special price and get your dream townhouseConstruction has started in the newly built residential district! THE INCOME TAX REFUND LAW APPLIESTownhouse M5Modules Թաունհաուսներ ///  Introducing Modules Townhouses Special mortgage conditions and income tax refund up to AMD 500,000 per month.Annual interest rate - starting from 11.5%Advance payment - 0%187 square meters of fenced land153 square meters of living space3 bedrooms2 floorsOperated roofInternal and external wallsExterior doors and windowsCommunications: Water, gas, electricity, sewagePlastering of wallsExternal liningParking for 2 carsOn the first floor,Entrance hallBathroomOfficeKitchenLiving room and exit to the yardOn the second floor,3 bedrooms2 bathroomsBalconiesEntrance hallOn the third floor:Operated roofTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18724607
House,Monolith,,2,6,3+,2 spots,,,Unfinished Interior,,Yes,"Արաբկիր փողոց, Քասախ","$400,000",USD,"A 3-story private house is for sale next to the Yerevan-Ashtarak highway.~ The house is under construction, according to the buyer's wish, the project can be agreed with the developer.~ The house consists of 2 floors and a large terrace.To get detailed information, write or call the specified number.The home is shown with a real estate showing contract.The service commission is 2% of the sales price.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18685434
House,Monolith,,2,4,1,1 spot,,,Unfinished Interior,,Yes,Kotayk › Zovuni,"40,500,000 ֏",AMD,A newly built private house in Zovuni is urgently for saleFrom the developerThe house will be delivered fully builtClose to main streetClose to bus stop2-storey buildingThe area of each floor is 70 sq/mTotal area: 220 sq/mLand area 150 sq/mAll communications are availableCall for detailsTranslated from Armenian,Dec-15-2022_21-46,https://list.am/en/item/17334568
Townhouse,Monolith,,2,5,2,Not available,,,Unfinished Interior,,Yes,"40-я улица Багреванда 55, Ереван","65,000,000 ֏",AMD,"Hurry up and get your future home, which is located on Bagrevand 40 street, right next to the SMART CITY residential area. Very fast growing neighborhood. Great location, view of Ararat and Aragats mountains.The houses are built with quality raw materials, strictly observing the requirements of the project.Building area - 168m4 bedroomsLarge living roomLarge kitchen2 bathrooms400 square meters of land84m terraced roofThe external walls are lined with high quality materials️Price: With metal-plastic windows, iron entrance door.️Partial payment before completion of constructionCompletion of construction: 05.2023.Developer: Uniharv LLCContractor: Delta-Integral LLCKey wordsBagrevand Bagrevand in BagrevandBagrevand Bagrevandum Townhouse TownhouseБагреванд в БагревандTownhouse Townhouse TownhouseTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18228326
Townhouse,Monolith,120 sq.m.,2,4,2,1 spot,"Electricity, water supply, natural gas, sewerage",150 sq.m.,Prefinished Interior,Q2 2023,Yes,"Գարեգին Նժդեհ փողոց, Քասախ","$96,000",USD,"‼ 2-storey townhouse for sale directly from the developer ‼Kasakh, Saryan street, next to 2 schools.Total aq. 150 square meters, the living room - 120 square meters2 floors,Outdoor parking for 2 carsThe area is completely fenced and closed, it has one checkpointAvailable: Gas, water, electricity + heating and heated floor as well. Number of bathrooms 2.Delivered fully wired, with high quality front doors and Euro windows.It has a wonderful view of Masis mountain, Aragats mountain.The price, at this stage, is $96,000The Income Tax Refund Law is in effect.Call for details ️In KazakhstanKazakhHouse housesTownhouse:TownhouseTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18527014
House,,,,,,,,,,,,"Գևորգ Չաուշի փողոց 101, Պռոշյան","45,000,000 ֏",AMD,"Residential houses with Income Tax refund directly from the developerADVANTAGESOnly 2 km from Yerevan city300 meters from the North-South highwayNext to the largest mall in the region, where there is a children's playground, brand shops, food outlets, a cinema.View of Mount MasisHigh quality and reliable developer130 square meters residential houses with comfortable architectural solutionsExclusive innovative design solutionsProject with earthquake resistant and certified construction standards3 parking spaces250 square meters of landIncome tax refundLending: Byblos (best terms) and with your preferred bankA detached house in Kasakh near Proshyan MallTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18201797
House,,,,,,,,,,,,Kotayk › Kasagh,"45,000,000 ֏",AMD,"Newly built private houses from the developer in Mush district + gift: FREE installation of solar system.Two-story and one-story newly built private houses are for sale in Mush district.The apartments are located in Kasakh, adjacent to Davtashen (Melkumov Street) and Ajapnyak communities, 200-500 meters away, behind ""Red Cross"".The houses do not have adjoining walls and are fenced.The houses are built with two floors of tuff stone, 1-story (75-100 square meters + 93-120 square meters of used roof) and 2-story (155-180 square meters + 93-120 square meters of used roof) (+ concrete filling) and high quality materials (Russian)The apartments have a usable flat roof and a beautiful view of Ararat and Aragats mountains.The road leading to the mansions is completely paved.Values:1-story private house - starting from 45,000,0002-story private house - starting from 52,000,000The houses are built 75-200 square meters, the land area is 300 square meters.Private houses of any size and style of your choice can also be built.If desired, it will be delivered with interior decoration.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/16916813
House,,,,,,,,,,,,"18th street of Khachatur Abovyan, Aring","$140,000",USD,"The best offer, the best conditions in Arinj️Three-story detached houses with their own landIt is possible to formulate a mortgage loan with a refund of income tax.️directly from the developer️ earthquake resistantIt is located 1.5 km from ""Yerevan City"" of AvanAway from the noise of the cityThe buildings will be handed over alreadyInstalled with quality windows️ installed with quality entrance doorswith smooth wallsWith a leveled floor.Buildings are considered monolithic structures.Apartments are designed(5 private houses)1st floor 97 square meters (27 square meters garage)2nd floor, 103 square meters3rd floor 103 square meters (50 square meters terrace)Areas of adjacent plots are:43 square meters, 121 square meters, 120.3 square meters, 76 square metersFor details:arm.skyline.construct@gmail.comor DM. $580 per square meterTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18159177
House,Monolith,108 sq.m.,1,4,2,2 spots,,500 sq.m.,Prefinished Interior,Q2 2022,Yes,Kotayk › Mrgashen,"$90,000",USD,"A newly built 1-storey private house is for sale by the developer in the village of Mrgashen, Kotayk region. 10 km from Davitashen. Income tax refund law applies. Completion is expected in SeptemberTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18017905
House,Monolith,100 sq.m.,2,5,2,Not available,"Electricity, sewerage",500 sq.m.,Unfinished Interior,Q2 2023,Yes,Kotayk › Zovuni,"$79,000",USD,"A half-built building is for sale. In the rear of the Davtashe military unit. 500 square meters of land, on which each floor of 100 square meters is a building. 60 sq m basement. The works are in progress.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18698373
