Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Service Lines,Land Area,Interior Finishing,Handover Date,Mortgage is Possible,Address,Price,Currency,Description,Datetime,Links
House,Monolith,220 sq.m.,2,6,3+,1 spot,"Electricity, water supply, natural gas, sewerage",110 sq.m.,Turnkey,Q2 2022,Yes,"Գ-1 թաղամաս 2/86, Երևան","$133,000",USD,"""White City"" residential area. Completion of construction: 2022.Yerevan, Ajapnyak G-1 district, 2/18:""White City"" is a closed residential area consisting of 16 apartments.The total land area of the mansion is 212 square meters, of which 110 square meters is a green yard, the latter includes a summer hall or BBQ area with an area of 6 square meters, a living area of 135 square meters (2 floors), a 15 square meter garage.On the FIRST floor there are: Living room, kitchen, bedroom or office, hall, bathroom.SECOND FLOOR: 3x bedrooms, hall, bathroom, dressing room, open balcony.The house is built with reinforced concrete monolithic frame and two-layer tuff stone. The roof is flat, made of waterproof and heat-insulating materials. The roof can be used as an additional THIRD floor or for other purposes (verandah, studio, etc.)The house will be put into operation with the front part lined with basalt and travertine stones, the entrance and backyard doors and exterior windows installed, the interior partitions made, the walls plastered, the floor leveled, the power wires, ventilation, sewage, and water pipes laid.Garage gate installed.The yard is landscaped, the floor is made of basalt and travertine stones.The green area is filled with specially prepared black soil.The courtyard area is fenced, the walls are formed with stones and decorative plaster. The front part of the mansion and the entrance door to the yard are decorated with decorative metal railings.For street lighting, external lanterns charged with solar energy are installed.The neighborhood is provided with water, sewerage, rainwater removal system, gas, electricity.The purchase of a private house is possible in cash, on the condition of staged payment and through mortgage lending.It is also possible to acquire private houses under the INCOME TAX REFUND LAW.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17959839
House,Bricks,145 sq.m.,3,6,2,Not available,"Electricity, water supply, natural gas",10 sq.m.,Turnkey,Q2 2023,Yes,"Դավթաշեն 1-ին թաղամաս 2/11, Երևան","$169,000",USD,"DAVTASHEN Hills, the new standard for your comfortable lifestyle️ From Anmijapet Developer Get beautiful newly built houses in Davitashen with the best conditions.According to the project, the construction up to the roof will be completed by the end of 2022.Each house will be 3-storey, with a separate ownership certificate, with an area of 145 square meters.The first floor is 58 square meters, the second floor is 58 square meters, the third floor is 29 square meters.There will be a yard, a cultivated plot and a parking lot next to the building of the house.The houses will be equipped with utilities and will be completely renovated.5 houses will be built according to the project, you can see the typical project of the houses in the picture.The cost of each house is $169,000.Before the end of the construction, we will accept buyers and we can sign a contract with a Notary.For more information callTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17918212
House,Monolith,,3,5,3+,1 spot,,,Clean Finish,,Yes,"Аштаракское шоссе, Ереван","83,600,000 ֏",AMD,"On the first floor there is 1 living room, 1 kitchen. , 1 bathroom.On the second floor there are 3 bedrooms and a bathroom.On the third floor there is 1 bedroom, 1 bathroom and a terrace.Offer from the DeveloperRoot real estate agency jointly with Saga-Shin LLCWe present to you the newly built neighborhood next to the Vahagni district1. Apartment buildings directly from the Developer2. Area: 190 square meters or more3. Income tax law appliesDon't miss the opportunity to reserve your desired VersionFor detailed information you can:Call or visit our officeYerevan Builders St. 28/2 sh.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17631889
House,Monolith,,3,5,3+,2 spots,,,Clean Finish,,Yes,"Ashtarak highway, Yerevan","440,000 ֏",AMD,Offer from the DeveloperRoot real estate agency jointly with Saga-Shin LLCWe present to you the newly built neighborhood next to the Vahagni district1. Apartment buildings directly from the Developer2. Area: 190 square meters or more3. Income tax law appliesDon't miss the opportunity to reserve your desired VersionFor detailed information you can:Call or visit our officeYerevan Builders St. 28/2 sh.Translated from Armenian,Dec-15-2022_21-46,https://list.am/en/item/16441102
Townhouse,Panels,,2,4,2,1 spot,,,Unfinished Interior,,Yes,"Nazarbekyan block, Yerevan","$95,000",USD,"Hurry and buy directly from the developerNew townhouses with unique, unrepeatable design solutions️ Address: Ajapnyak administrative district️ It is composed of two-layer tuff with monolithically constructed outer walls️ Area from 130 square meters️ For sale with all communications, the floor leveled and the walls plastered. Windows and exterior door installed️ The price also includes:️ Parking:️ Private yard: 80-140 sq/m, depending on the surface of the house)Income tax refund law applies-Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18042804
Townhouse,Stone,,2,4,2,1 spot,,,Unfinished Interior,,Yes,"Nazarbekyan block, Yerevan","$98,000",USD,"Hurry and buy directly from the developerNew townhouses with unique, unrepeatable design solutions️ Address: Ajapnyak administrative district️ It is composed of two-layer tuff with monolithically constructed outer walls️ Area starting from 145 sq/m️ For sale with all communications, the floor leveled and the walls plastered. Windows and exterior door installed️ The price also includes:️ Parking:️ Own yard, from 80 sq/m, dependentTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18055928
Townhouse,Stone,,2,4,2,1 spot,,,Unfinished Interior,,Yes,"Nazarbekyan block, Yerevan","$99,000",USD,"Income tax law appliesCONSTRUCTORNew townhouses with unique, unrepeatable design solutions️ Address: Ajapnyak administrative district️ It is composed of two-layer tuff with monolithically constructed outer walls️ Area starting from 145 sq/m️ For sale with all communications, the floor leveled and the walls plastered. Windows and exterior door installed️ The price also includes:️ Parking:️ Own yard, starting from 80 sq/m, depending on the surface of the house)Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17834918
House,Monolith,234 sq.m.,3,4,2,1 spot,,,Unfinished Interior,Q2 2022,Yes,"Ghapantsian street, Yerevan","68,000,000 ֏",AMD,"Dear customers,Hurry up to get the last 2!One of the beautiful and unique apartments in one of the residential buildings built in the quietest and most ecologically clean neighborhood of our beloved Yerevan, located at 53/3 Ghapantsyan street, Arabkir community.In each building there are only 4 luxury and spacious apartments with an area of 234 square meters, designed and built according to modern standards.Comfortable architectural and planning solutions,Competent engineering solutions,Using the highest quality building materials,Implementation of construction (construction) works with modern technologies.Our advantages are:A reliable developer and a reliable and experienced construction companyThe area is completely fenced and closed, it has one checkpointThere is a small park in the area, a recreation area, a children's playgroundEach apartment consists of 1 underground floor,2 from the ground floor andfrom the terrace with an area of 60 square metersIn the basementparking space and a basement with a high ceiling of 30 square metersThe total area of the apartment is234 square meters, and the land area is 118 square metersThe apartments will be delivered:1. Installed aluminum, 76mm thick, heat-resistant profiles and energy-saving glass, high-quality windows and doors2. Rooms divided3. The external walls are heat and sound insulated4. Copper wires for electricity, water line, sewage and ventilation pipes laid5. Plastered6. The floor is leveled7. The area is completely improved----High Seismic Resistance‼️Reminder:Papers are ready for saleIncome Tax Refund Act appliesALL THE NECESSARY INFRASTRUCTURE IS AVAILABLE. URGENT! Special note! Only buyers who want to buy an apartment through an agency should call...Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/14629933
House,,,,,,,,,,,,"Petros Duryan district 12th street, Yerevan","$105,000",USD,"Townhouses for sale directly from the developer.The total living area is 145 square meters.Land area 200 square meters.Hurry and get town houses directly from the developer. Located in Avan, Duryan district, away from traffic noise.Individual cellarsFlat roof, beautiful viewHigh-quality lining.The construction has already started. Shin. End: 2022 The amount is paid in three stages: 40% + 35% + 25%.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18528250
House,Monolith,,3,5,2,1 spot,,,Prefinished Interior,,Yes,"Ghapantsian street, Yerevan","68,000,000 ֏",AMD,"PREMIUM CLASS HOMES FROM BUILDERDear Customer,Hurry up and get a luxurious and unique apartment, in the quietest and most ecologically clean residential district of our beloved Yerevan, which is located in Arabkir Community, Ghapantsyan str. Address:The neighborhood is fully enclosed (for security reasons) with fencing on all 4 sides and has one entrance (remote controlled gates and door)The district consists of1. Out of only 8 residential houses;2. Safe and secure from the inner courtyard;3. Separated from safe and secure garden.The total area of each house is 224 square meters. M.The buildings were designed and constructed to modern standards.Comfortable architectural and planning solutions,Competent engineering solutions,Using the highest quality building materials,Implementation of construction (construction) works with modern technologies.PREMIUM CLASS RESIDENTIAL HOUSESVALUE: 67,000,000 RA AMDCall ️Our advantages are:A reliable developer""Mega Monolit"" LLC and a reliable and experienced contractor construction organizationThe area is completely fenced and closed, it has one checkpointThere is a separate park in the area, a recreation area, a children's playgroundEach apartment consists of 4 floors.1 underground floor,3 ground floors.In the basementparking space and a basement with a high ceiling of 30 square meters.On the first floor'living room, kitchen, dining room, entrance and bathroom.On the second floor'3 bedrooms and bathroom.On the third floorspacious terrace 62 sq. M. M. On the surface.The total area of the apartment is 224 square meters.Apartments are delivered:1. Aluminum, 76mm thick, with heat-resistant profiles and energy-saving glass, high-quality windows and doors installed2. Rooms divided3. The external walls are heat and sound insulated4. Copper wires for electricity, water line, sewage and ventilation pipes laid5. Plastered6. The remote control gate of the parking lot is installed7. The area is completely improvedCall us ️Write us an emailLeave a phone number and we will call you!Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17835032
House,Monolith,,2,4,2,1 spot,,,Prefinished Interior,,Yes,Yerevan › Ajapnyak,"$180,000",USD,"Private houses for sale in Ajapnyak community, from the developer, located near the 16 district, 2 and 3 floors, in good condition, the Yurakanchur house has a separate garage, a small yard in front of the house, the price is $1000. They will be handed over in December.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17964760
Townhouse,Stone,,2,5,2,1 spot,,,Unfinished Interior,,Yes,"Nazarbekyan block, Yerevan","$95,000",USD,"Hurry and buy directly from the developerNew townhouses with unique, unrepeatable design solutions️ Address: Ajapnyak administrative district️ It is composed of two-layer tuff with monolithically constructed outer walls️ Area starting from 145 sq/m️ For sale with all communications, the floor leveled and the walls plastered. Windows and exterior door installed️ The price also includes:️ Parking:️ Own yard, starting from 80 sq/m, depending on the surface of the house)Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/15801560
Townhouse,Monolith,175 sq.m.,3,4,3+,3 or more spots,,200 sq.m.,Prefinished Interior,Q2 2022,Yes,"Պետրոս Դուրյան Թաղ. 12-րդ Փող., Երևան","42,000,000 ֏",AMD,"Townhouses for sale directly from the developer.The total living area is 145 square meters.Land area 200 square meters. The Income Tax Refund Act also applies.Hurry and get town houses directly from the developer. Located in Avan, Duryan district, away from traffic noise.Living areas are 140-190 square meters. The area of the land is 200 square meters.Individual cellarsFlat roof, beautiful viewHigh quality liningINCOME TAX REFUND ACT APPLY.The construction has already started. Shin. End: 2022You can call for details and adviceTownhouse#townhouse#Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17178626
House,Stone,,2,5,2,1 spot,,,Unfinished Interior,,Yes,"Nazarbekyan block, Yerevan","$95,000",USD,Stylish houses directly from the developer.With a total area of 160-215 square meters. With a living area of 140-160 square meters (each floor is 80 square meters) It is fenced. Parking is availableTranslated from Armenian,Dec-15-2022_21-46,https://list.am/en/item/14472609
House,Monolith,206 sq.m.,2,6,3+,Not available,,,Unfinished Interior,Q2 2023,Yes,"Գրիգոր Աղաբաբյան փողոց 16, Երևան","92,000,000 ֏",AMD,"Newly built private houses in Davtashen, on Aghababyan street, directly from the developer. The Income Tax Refund Act also applies.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18448337
House,Monolith,,2,6,3+,Not available,,,Unfinished Interior,,Yes,"Գրիգոր Աղաբաբյան փողոց 16, Երևան","75,000,000 ֏",AMD,Apartments in Davtashen directly from the developer. Income Tax Refund Act applies.Translated from Armenian,Dec-15-2022_21-46,https://list.am/en/item/18448342
Townhouse,,,,,,,,,,,,"Petros Duryan district 3rd street, Yerevan","52,000,000 ֏",AMD,"Sale from the developer Two-story townhouses / Townhouse / Petros Duryan district, Avan are for sale.There are 4 townhouses to be completed in 2022.Heat-insulated, earthquake-resistant townhouses are being built with monolithic roofs and will be lined with white travertine, black tuff and basalt.The residential area of the building - 140-160 square meters. M:The used part of the roof /терраса/ - about 70 square meters. M:Total land area starting from 180 sq. M:2 types of projects are offered: 3 or 4 bedrooms, garage, 3 bathrooms.The building will have its own fenced plot in front and back.Townhouses Located on 9th StreetTO BE GIVEN: ️External walls are faced withExterior doors, gates and windows installed.Internal walls plastered.Electricity and communication installed.It is possible to buy with a construction loan.Income Tax Refund Act applies.#House #van#tner #construction #duryan# Avan#renovation #townhouse #Townhouse #constructionTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17179901
Townhouse,Monolith,,2,5,2,2 spots,,,Unfinished Interior,,No,"Մուշ թաղամաս 163, Երևան","$127,000",USD,"A newly built 2-storey detached house from the developer is for sale in the Mush district of Yerevan, it is not a townhouse, it is a detached house. Mush:Corner plot with all utilities,electricity, water, gas, nearby market, kindergarten.1 floorLiving room, bedroom, kitchen,Bathroom, storage room, corridor (foyer)2 floors3 bedrooms, bathroom,corridor (foyer), open balcony.Land area 100 square meters, moreResidential 155 square metersParking for 2 carsTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18206696
