Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For Residential Development,600 sq.m.,Aragatsotn › Ashtarak,"$16,000",USD,"600 square meter residential construction plot, Aragatsotni street, Ashtarak comm. , c. New Yerznka. 600 m from Ashtarak highway. Far away. There is APZ, building permit. 2 sided road. Gas, electricity, water are right in front of the land.Coordinates on Google Map 40.295502864142875, 44.38454986498075Don't call middlemen.Translated from Armenian",Nov-25-2022_01-05,,https://list.am/en/item/18301668
For General Purpose,1450 sq.m.,Aragatsotn › Mughni,"$90,000",USD,Land in Mughni VillageThe price is negotiableCanyon mouth first linePlease write or call the indicated phone number to provide pictures and videosTranslated from Armenian,Nov-25-2022_01-05,,https://list.am/en/item/18353137
For Residential Development,2200 sq.m.,"Ashtarak highway, Yerevan","$25,000",USD,"For sale or exchange with an apartment in Yerevan,The land has different types of trees, there is a cottage, there is no problem with electricity, irrigation or drinking water.Translated from Armenian",Nov-25-2022_01-05,,https://list.am/en/item/16594220
Agricultural,8000 sq.m.,Aragatsotn › Ashtarak,"$29,000",USD,I will also exchange options in exchangeTranslated from Armenian,Nov-25-2022_01-05,,https://list.am/en/item/16479383
For Residential Development,3000 sq.m.,Aragatsotn › Talin,"1,500 ֏",AMD,"Very fast, at a cheaper price than the market. Lands near the house for sale, also exchange for a car. Village in Zovasar.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17329971
Agricultural,4400 sq.m.,Aragatsotn › Oshakan,"$27,000",USD,"The land is located in Oshakan, near the owner.It has the possibility of water, electricity, gas, it is suitable for a house, a summer house, a greenhouse, a garden, and other activities.Call for information.Oshakan, plots of land, plot of land, land.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17876889
Agricultural,4700 sq.m.,Aragatsotn › Karbi,"$13,000",USD,"An apple orchard for sale in Karbi, in a very good place, a well-groomed orchard, with high yields, of Golden King type.Call the mentioned number of vibes.Price is negotiable.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17653383
Agricultural,3155 sq.m.,Aragatsotn › Ashtarak,"$31,550",USD,"In front of the Yerevan-Ashtarak M-1 highway, the current North-South highway, ГАИ ПОСТ, approximately 350-400 meters from the highway, an orchard of 3155 square meters is for sale. It has a road on both sides, the size of the plot is 31.6 meters by 99.7 meters. AMD equivalent to $10 per 1 square meter. Call for details.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18120212
Agricultural,7100 sq.m.,Aragatsotn › Aparan,"55,000,000 ֏",AMD,"The land is located in c. In Yehipatrush, on the left side of the road entering the village. It is the second land from the road, it is 1 km away from the village. It is also possible to exchange with an apartment in Yerevan. Real buyers will call. The price is negotiable.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18375762
Agricultural,7300 sq.m.,Aragatsotn › Aparan,"$115,000",USD,"Land for sale in Yeghipatrush village. The land is located in the upper part of the village, about 400m below the drinking reservoir, it is also close to electricity and irrigation water. It is also possible to exchange with an apartment in Yerevan. Call real buyers. Price is negotiable.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18375745
Agricultural,9400 sq.m.,Aragatsotn › Ashtarak,"$190,000",USD,"Պտղատու ծառներ 200հատ խնձոր, 35-40հատ ընկույզ, ծիրան, սալոր, նուշ և այլն. Ճանապարհը ասֆալտապատ. Մշտական ոռոգման և խմելու ջուր, հողատարածքի ողջ երկարությամբ (280մ) հոսում է Շահվերդ գետը. Շատ հարմար է ձկնաբուծության, հանգստի գոտու, ջերմոցային տնտեսության և այլ գործունեության համար. Գտնվում է Նազրվանի Լանջաղբյուր հանգստի գոտու հարևանությամբ.",Nov-25-2022_01-06,,https://list.am/en/item/14131506
Agricultural,3000 sq.m.,Aragatsotn › Karbi,"$30,000",USD,Apricot garden 1500 square meters Apricot garden 1500 free spaceTranslated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/17718977
