Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For Residential Development,1000 sq.m.,Ararat › Mkhchyan,"$15,000",USD,"A plot of land for residential construction, close to the house, in the village of Mkhchyan, Ararat region, is suitable for building a residential house or a greenhouse. There are also fruit trees on the land, it is located 100 meters from the central road. Utilities are located directly adjacent to the Land. For sale cash only, no trade in for car. Price negotiation can be discussed after seeing the land.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16204929
For Public Buildings,60 sq.m.,"Kentronakan street, Darakert","$13,000",USD,"The area is located on the main road in Darakert village, 1 lane, the length of the facade is 12 meters, the width is 5 meters.Translated from Armenian",Nov-25-2022_00-58,"ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/17778691
Agricultural,5200 sq.m.,"Kentronakan street, Darakert","$85,000",USD,The greenhouse has its own water and electricity according to European standardsTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/18280869
Agricultural,"16,000 sq.m.","Kentronakan street, Darakert","$95,000",USD,For more information callTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/18280890
For Residential Development,800 sq.m.,Ararat › Ghukasavan,"$22,000",USD,"A plot of land near the house is for sale in Ghukasavan800 square meters, communal with all amenities, fenced on one side, 16x50 frontageFor details, call the indicated numbersTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18375886
For Industrial Use,5462 sq.m.,Ararat › Ararat,"38,500,000 ֏",AMD,"ՇՏԱՊ ՇՏԱՊ ՇՏԱՊՎաճառվում է գործող ջերմոց Արարատի մարզումՋերմոցի մակերեսը՝ 3597քմԳազ (սեփական ГРП)Եռաֆազ հոսանքՄշտական ջուրԿանխավճար 50%, մնացած մասը հնարավոր է վճարել տարաժամկետ պայմանագրովԳինը սակարկելի",Nov-25-2022_00-58,,https://list.am/en/item/18138823
Agricultural,8000 sq.m.,Ararat › Vedi,"5,300,000 ֏",AMD,"Hurry! A young apple tree is for sale in the city of Vedi at a lower price than the market, the mature trees are 15-16 years old and occupy about 6000 square meters. M area, additions have been made to the necessary extent with new saplings, most of the apple trees are of the Golden Delicious type. 2000 sq. M is occupied by Mukhsi, Kripson and Gloucester apple trees aged 8-9 years. The total number of trees is more than 400, there is also a metal house (домик)The average annual yield is 25-30 tons.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17303589
Agricultural,6600 sq.m.,Ararat › Avshar,"$5,300",USD,"Продается земельный участок в Араратском районе. Авшар! Собственность! Подходит для сельскохозяйственных идей! Земля плодотворная, но к сожелению некому заниматься! Обмен на авто рассмотрю. При обмене стоимость земли изменится! Можете звонить на вайбер или на вотсап. На Московский номер. Спасибо",Nov-25-2022_00-58,,https://list.am/en/item/14132848
Agricultural,"65,000 sq.m.",Ararat › Narek,"$210,000",USD,"Հողամասի ընդհանուր մակերեսը 6,5 հեկտար է, որի վրա 4,5 հա 1500 6 տարեկան ծառեր, ծիրան, դեղձ, բալ, սալոր, նուշ։ Եվս 2 հեկտար ազատ, հողատարածք. Լիճ 1500տ, կաթիլային ոռոգման համակարգ.Անշարժ գույքի փոխանակում Երևանում, հոսանք 300 մետր հեռավորության վրա, շատ հարմար տեղ ամառանոց կառուցելու համար.Общая территория участка 7 га, на которых 4.5 га 1500 6 летних деревьев, абрикос, персики, черешня, чернослив, миндаль. Еще 2 гектара свободной земли. Пруд 1500 тонн, капельная система полива, вагон-бытовка.Обмен на недвижимость в Ереване, электричество проходит в 300 метрах, очень удобное место для строительства загородного дома, дачиLand for sale 7 hectares, 1500 fruit-bearing trees 6 years old, drip irrigation system, a pond for water 1500 cubic meters, a house, great place to build a country house, with a beautiful view",Nov-25-2022_00-58,,https://list.am/en/item/17473585
Agricultural,3500 sq.m.,Ararat › Marmarashen,"$2,800",USD,"Agricultural land not near the house, permanent water supply, 500 meters from the village centerTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17509509
