Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For Residential Development,650 sq.m.,Armavir › Tairov,"$38,000",USD,"It is being rented out with small houses, 2 units, 3×6, 36 square meters, a residential wall, drinking water, water, gas, near mets pthatu trees, 17 meters of frontage.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17388369
For Residential Development,314 sq.m.,"Nairi street 36, Parakar","14,200,000 ֏",AMD,"The address is marked on the map. In the center of Parakar, on Nair Street. 11 kilometers from Yerevan, a plot of land near the house, 314 square meters (without an intermediary) All utilities pass directly in front of the land (water, electricity, gas) Paraqar, Paraqarum, Parakar, Parakarum.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18316325
For Residential Development,480 sq.m.,Armavir › Echmiadzin,"$30,000",USD,"480 square meters in Aram Manukyan district of Etchmiadzin. Plot of land near the house, 1st line with 2 fronts, 1st front on Margara highway, 2nd front on Aram Manukyan, Voskehat village roadTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18074441
For Residential Development,405 sq.m.,"Եղիշե Չարենցի փողոց 11, Վաղարշապատ","$30,000",USD,"Charents 1 district. , 1st line, corner plot of land near the house, frontage 30 meters from the street, without an intermediaryTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18324285
For Residential Development,1200 sq.m.,Armavir › Hovtamej,"$7,000",USD,"Hovtamej, Charents 58. 1200 square meters. Very good convenient place. Utilities nearbyTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16432289
For General Purpose,1000 sq.m.,"Улица Тиграна Андреасяна 1, Мусалер","$40,000",USD,"A half-built house is for sale in Musaler, it has land, if you have any questions, callTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18337617
Agricultural,8000 sq.m.,Armavir › Echmiadzin,"$30,000",USD,"Peach orchard for sale, new orchard, 3 years old, Etchmiadzin city. Gardening.There is no water problem, the canal runs right past the soilThere are 370 trees (mashtos variety) in the park.The trees are 3 years old and will be fully harvested next year. All treatments are doneCall for details (quick negotiable)Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18164333
For Residential Development,600 sq.m.,"Barekamutian street, Parakar","$85,000",USD,"A 600 square meter plot of land is for sale in Pharakar. The plot has a swimming pool, a summer kitchen, a chat room, a bathroom, the plot is completely fenced, there is water, electricity, and sewerage in the plot, call for details, negotiable.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18077529
For Residential Development,1050 sq.m.,Armavir › Echmiadzin,"$18,000",USD,"В Айгешате -газ, вода, поливная вода, електричество, жилой район, угловая земля, с переди и сзади жилые дома, все вопросы по телефону",Nov-25-2022_00-54,,https://list.am/en/item/18360548
Agricultural,2400 sq.m.,Armavir › Musaler,"$6,000",USD,Land plot for sale or exchange for a car.Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/17999185
Agricultural,3300 sq.m.,Armavir › Sardarapat,"$8,000",USD,"The surface is flat, irrigated, there are fruit trees in one row, 100 meters from the main road, there is a car road, the price is 3 dollars per square meter.Call the phone number.40.116667, 43.982896I will exchange for cars or other land near YerevanTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17566233
Agricultural,2900 sq.m.,Armavir › Armavir,"$18,000",USD,"Land near the house, fenced, there are 4 apricot trees of 10 years, 10 trees of 3 years. 15 trees of 2 years. 5-year-old grapevine, 20 red raisins, 15 golden raisins, 1 million drams worth of harvest per year, irrigation water, drinking water, gas, electricity. It is convenient to build a greenhouse. To establish a farm. To build a greenhouse. With the rest of the call. Land is located in TANDZUT Village. NegotiableTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17181553
For Residential Development,4800 sq.m.,Armavir › Armavir,"$23,000",USD,"Urgent land for sale 4800 sq. M., in Armavir village, Armavir region. There are different types of fruit trees in the land: Cherries, apricots, apples, pears, etc... The land is completely close to the house.CODE 3:Code Code 3Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16828870
Agricultural,5000 sq.m.,Armavir › Echmiadzin,"$55,000",USD,"For sale: Urgent, urgent, negotiableTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/10982167
For Residential Development,1660 sq.m.,Armavir › Aknashen,"$12,000",USD,"Land near the house is for sale in the village of Aknashen, address: 8th street, plot 16. In case of any questions, please call the indicated number.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17647961
Agricultural,5000 sq.m.,"Բաղրամյան փողոց 20, Բաղրամյան","$60,000",USD,"Flat agricultural land in Baghramyan community of Etchmiadzin, right on the road, with a three-sided front. Asphalt road, the length of the main facade is about 40 m. Communications are very close, very good plot for greenhouses.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17874857
Agricultural,6100 sq.m.,Armavir › Aygek,"$30,000",USD,"An orchard is for sale. There are apple, peach, apricot (other types), walnut, almond and other trees in the garden.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17499241
Agricultural,9000 sq.m.,Armavir › Echmiadzin,"$26,000",USD,"Agricultural land in Etchmiadzin, 9000 sq. A 9000 square meter plot of land near the house is for sale in Etchmiadzin region, it is provided with constant irrigation water, there is all the conditions of drinking water, electricity and gasification.It is also suitable for establishing an orchard, a greenhouse. There are houses and greenhouses nearby. Has a certificate and coordinates...Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18375321
Agricultural,1600 sq.m.,Armavir › Parakar,"$20,000",USD,Also possible as a production containerTranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/18268885
Agricultural,5600 sq.m.,Armavir › Musaler,"$16,800",USD,The land is right next to the water. Call Vaiber or WhatsApp for details. Exchange is possible.Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/16329382
Agricultural,"41,000 sq.m.","2-րդ փողոց 14/1, Խանջյան","$130,000",USD,"A 4.1-hectare orchard (plums, peaches) is for sale in the village of Khanjyan, Armavir region, the plot also includes a commercial building with an area of 300 square meters, a part of which is a refrigerator with a capacity of 60 tons, a residential building with all its amenities.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18181137
For Residential Development,400 sq.m.,Armavir › Echmiadzin,"$11,000",USD,Land for residential house constructionTranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/17862925
For Residential Development,405 sq.m.,Armavir › Echmiadzin,"$15,000",USD,A plot of land near the house is for sale in the 1st district of Charents.Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/18018725
Agricultural,"21,500 sq.m.","Կոմիտասի փողոց 45, Բաղրամյան","$25,000",USD,"Arable land, permanent irrigation water, possibility of drinking water, gas electricity. It is also possible to exchange part of the money for a car... Price negotiableTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17281853
Agricultural,1000 sq.m.,Armavir › Arevashat,"$12,000",USD,It is convenient to make a land adjacent to the house next to the green and a residential area with an agricultural tasteTranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/17013507
For Residential Development,1140 sq.m.,Armavir › Musaler,"$25,000",USD,Land near the house for sale in Armavir region. The land is located near the main road. The front of the land is 23 meters. For more information call: EdgarCode 1052Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/17150773
Agricultural,"10,000 sq.m.",Armavir › Merdzavan,"$3,000,000",USD,Vineyard for sale in Merdzavan. The total area of the land is 100ha. For more information call: NarineCode 3003Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/11725222
For Residential Development,2000 sq.m.,Armavir › Echmiadzin,"4,300,000 ֏",AMD,"Privatized land for sale, intended for ""residential"" and other types of construction. It is located on the road to Etchmiadzin, at the beginning of Shahumyan community. The area is free, it is located on the roadside, on the other side of the street there is a newly built church, on the other side there is a view towards the Ararat valley.There are communications: Gas, electricity, water.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17457029
For Residential Development,2000 sq.m.,Armavir › Echmiadzin,"$8,500",USD,"Գյուղ Արևաշատ։ Տնամերձ հողատարածք, վաճառք կամ փոխանակում։ Առաջարկները կարող եք գրել Viber, WhatsApp- ին։д. Аревашат. Продажа или обмен на автомобиль.",Nov-25-2022_00-54,,https://list.am/en/item/13585713
For Residential Development,4600 sq.m.,Armavir › Echmiadzin,"$42,000",USD,"The land is located in a residential area, water, gas, 100-150 meters.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/13557560
Agricultural,"815,000 sq.m.",Armavir › Metsamor,"$590,000",USD,"Վաճառվում է 57,5հա պտղատու այգի + 24հա հողատարածք Արմավիրի մարզում։8հա ծիրանի այգի-10տարեկան4հա սև սալորի այգի-10 տարեկան3հա ընկույզի այգի 4 տարեկան8հա խաղողի այգի (կանգուն տեսակի) - 8-10տարեկան4հա կեռասի այգի10,5հա դեղձի այգի20հա նորատունկ այգի (խնձոր, ծիրան)24հա հարթ հողատարածք7միավոր գյուղ-տեխնիկա և ավտոբուսներ280քմ քարե շինություն, որի մի մասը նախատեսված է որպես սառնարանԵրկաթյա ջրի տարաներ 3հատ 50տ, 2հատ 60տԱրժեքը 590․000$Ինչպես նաև հնարավոր է վերը նշված հողատարծքներին ավելացնել կից գտնվող 26,5հա հողատարածք, որից 18,5հա խնձորի, ծիրանի և խաղողի այգիներ են, 6հա ազատ հողատարածք։Հողատարածքները ամբողջությամբ ոռոգվում են և առկա է ոռոգման ջրի խողովակների ցանց։Արժեքը 150․000$",Nov-25-2022_00-54,,https://list.am/en/item/13460090
Agricultural,"14,800 sq.m.",Armavir › Arevashat,"$45,000",USD,Permanent water and light in the areaPRICE NEGOTIABLETranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/18161714
Agricultural,7700 sq.m.,Armavir › Arevashat,"$23,000",USD,Permanent irrigation waterPRICE NEGOTIABLETranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/18161715
For Residential Development,351 sq.m.,Armavir › Echmiadzin,"$16,000",USD,A plot of land with an area of 351 square meters. Land near the house Charents 1: Land 982 The land is located in a very convenient location near the beautiful Ararat Valley. Call for details.Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/17652782
Agricultural,"12,000 sq.m.","Զորավար Անդրանիկի փողոց 17, Տարոնիկ","$180,000",USD,"(kod hox 9) Existing business for sale in Armavir region, 10 km from Etchmiadzin city. The total area of the plot is 1.2 hectares, i. E. 12,000 m/sq. About 6,000 m/s of ready, working greenhouses, the greenhouses were built recently and have been in operation for 2-3 years, assembled with modern technologies. A 28-meter deep well is drilled, three-phase current is available. There is also a garden with fruit trees, a newly built and almost completed residential house with an area of 100 m/s, intended for the relaxation of the workers and the owner. At current market prices, it would take about $200,000-$250,000 to assemble a greenhouse of this scale.It is an affordable offer compared to the market, the price is negotiable, you can agree on the final price with the owner.Translated from Armenian",Nov-25-2022_00-54,"ELectricity, water supply",https://list.am/en/item/14385095
Agricultural,1060 sq.m.,Armavir › Echmiadzin,"$5,000",USD,"Plot @ is located in Aknashen village, has drinking and irrigation water and electricityTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17866749
Agricultural,3500 sq.m.,Armavir › Parakar,"$25,000",USD,"Privatization,It used to be a vineyard.For now, it is free land.Call for details.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/14409411
For Residential Development,800 sq.m.,Armavir › Parakar,"$32,000",USD,"Land near the house for saleArmavir, Parakar• 800 square meters_• Houses nearby• Communications are availableCode BB917Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17456563
Agricultural,2565 sq.m.,Armavir › Merdzavan,"$21,000",USD,"Armavir regionMerdzavan village2565 sq. M. Village mark. Mshavov land$ 20,000:Code BB852Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17281252
For Industrial Use,"16,000 sq.m.","Komitas street, Parakar","$820,000",USD,"A 16,000 square meter industrial area is for sale in Parakar, on Komitas Street. It is next to the road, has a wide front, 630m long. The road leading to the land is paved. There are 3 buildings on the land with a total area of 1200 square meters, a greenhouse of 630 square meters, a deep well, a substation, fruit trees.In case of questions related to the land, or to get acquainted with other properties, please call the indicated phone number.Sincerely, PROJECT real estate agency.Code 9001Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18201464
Agricultural,4000 sq.m.,Armavir › Echmiadzin,"$10,000",USD,"Виноградник 4.000м2,Грузинский сорт Ракатитель. За виноградником ухаживаем очень хорошо.Адрес…Звартноц",Nov-25-2022_00-54,,https://list.am/en/item/17296905
For Residential Development,1000 sq.m.,"Բարեկամության փողոց 22, Ոսկեհատ","$26,000",USD,"1000 sq. M. Land is for sale in Voskehat village of Armavir region. The land is fenced, has drinking and irrigation water. It is electrified. In the land there are 30 sq. M. Closed and 30 sq. M. Open buildings, 40 sq. M. Barn, bathroom and 50 fruit trees.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16672668
