Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For General Purpose,2400 sq.m.,Artsakh › Stepanakert,"$9,000",USD,По вопросам звоните!,Nov-25-2022_00-27,,https://list.am/en/item/17494146
For Residential Development,4800 sq.m.,Artsakh › Stepanakert,"$8,000",USD,"Urgent sale of 4x land in Aresh district, in the rear part of Tatik Papik, sunny side, near water, electricity, sewer area. Possible separately (1x2000$)It has a slopelocation (lot) Aresh 62- (147-150)Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17027057
For Residential Development,1310 sq.m.,"Vachagan Barepasht street, Stepanakert","$12,000",USD,"A half-built building is for sale. In Stepanakert, there is permanent water and electricity in the area. The foundation of the building is intended for 3 floors. The dimensions of the building are 10 m * 10 m. The size of the land is 1310 square meters.For more information call.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17094915
For General Purpose,"38,000 sq.m.",Artsakh › Stepanakert,"23,000,000 ֏",AMD,"Продается ферма и дом, или меняю на машину",Nov-25-2022_00-27,,https://list.am/en/item/18055039
For General Purpose,600 sq.m.,Artsakh › Stepanakert,"7,000,000 ֏",AMD,"For sale or trade for a car, price negotiable.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17437763
Agricultural,2500 sq.m.,Artsakh › Stepanakert,"1,800,000 ֏",AMD,"A fertile land plot of 2500 square meters is for sale in Haykazov district of Karabakh. There is a building for storing tools in the area, 8-10 fruit trees, about 5-6 mulberry trees. The area is located on the river bank. It is 1.5 km away from the main road (Stepanakert-Aygestan) For more information call:Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16269663
For Residential Development,1200 sq.m.,Artsakh › Stepanakert,"$3,000",USD,Хорошее место район Ареш,Nov-25-2022_00-27,,https://list.am/en/item/17409081
For Residential Development,1200 sq.m.,Artsakh › Stepanakert,"4,500,000 ֏",AMD,"There are 3,000 bricks in a house project with a permit.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16380393
For Residential Development,440 sq.m.,Artsakh › Stepanakert,"1,000,000 ֏",AMD,A plot of land in Stepanakert is for sale urgently. Old Malubali (Ajapnyak) districtnear PVOThere is another 600 square meters of auxiliary land attachedSuitable for home hotel and other activitiesTranslated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/18274568
For Residential Development,800 sq.m.,"Գյուրջյան 1ին փակուղի, Ստեփանակերտ","$21,000",USD,"Land for sale in c. In Stepanakert, 800 m. Q. , in which there is a half-built house, building materials and more than 60 fruit trees, the price is $ 21,000. (negotiable)Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17990492
