Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For Residential Development,800 sq.m.,Kotayk › Yeghvard,"$17,000",USD,"A plot of land near the house is for sale, there are fruit trees, it is fenced with tuff stone, the plot of land is located in a high place, from which a beautiful view of Ararat, Aragats and Ara mountains opens, and it can be exchanged for a car for an additional fee.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16056807
Agricultural,1200 sq.m.,Kotayk › Kotayk,"$13,000",USD,"1200 square meters of land for sale in Kotayk village, there is irrigation water + drinking water, hard soil very suitable for construction.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17737065
Agricultural,"10,000 sq.m.",Kotayk › Hrazdan,"35,000,000 ֏",AMD,"Հասցե՝ Կոտայքի մարզ, Արտավազ համայնք, Կարմիր Հովիտ հողամաս։Մակերեսը՝ 1 հա։Գործառնական նշանակությունը՝ Արոտավայր։Մանրամասների համար կարող եք զանգահարել նշված հեռախոսահամարով։",Nov-25-2022_00-27,,https://list.am/en/item/13409907
For Residential Development,500 sq.m.,Kotayk › Dzoraghbyur,"$17,500",USD,"1000 square meters for sale. M. Land in Dzoraghbyur, next to Bagrevandi, right at the beginning of the village. It has 2 entrances, it is also possible for 501K. M. Sale: Communications are close.Inhabited district. The price is indicated for 501 square meters.Code 11001Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17864360
Agricultural,1536 sq.m.,Kotayk › Zovuni,"$72,000",USD,"Agricultural land for sale, 26 Zovuni str. It has a two-way road of 20 and 75 m.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18371937
For General Purpose,"35,000 sq.m.","Բանակի փողոց 1, Ձորաղբյուր",$50,USD,"Land for sale near Dzoraghbyur greenhouses, 1st line.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17902336
Agricultural,"80,000 sq.m.",Kotayk › Abovian,"$750,000",USD,7.5 hectares of land for sale. In Abovyan (micro-district)Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/10062522
Agricultural,2400 sq.m.,Kotayk › Zovuni,"$150,000",USD,"Land for sale in Zovuni, 2400 square meters. Meter. The price is $150,000. It has permanent drinking water, electricity and a new neighborhood is being built next to itTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18162943
For Public Buildings,1000 sq.m.,Kotayk › Hankavan,"$33,000",USD,1000 + landon the river bankan island at the end of the landof the best placesTranslated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/17595680
Agricultural,700 sq.m.,Kotayk › Arzni,"$4,000",USD,700 square meters of land.Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/12366112
For Residential Development,800 sq.m.,Kotayk › Arzni,"$13,000",USD,Land near the house in Arzni community.Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/14115671
For Residential Development,1000 sq.m.,Kotayk › Kotayk,"$11,000",USD,Land near the house for sale in Nor district of Kotayk village.As well as agricultural lands intended for greenhouses.Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/17770347
For Residential Development,105 sq.m.,Kotayk › Aghveran,"$10,000",USD,Կարէլի է ֆօխանակ,Nov-25-2022_00-27,,https://list.am/en/item/17456658
For General Purpose,"15,000 sq.m.",Kotayk › Yeghvard,"$25,000",USD,"Land for sale in Aragigh, Kotayk Marz. The total area is 1.5 hectares. $25,000 negotiable. For details, call the indicated phone number. Exchange is also possible.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17594921
For Residential Development,1100 sq.m.,Kotayk › Garni,"5,200,000 ֏",AMD,"A 1100 square meter plot of land with productive trees in the village of Garni is for sale. All communications are available.Are the coordinates of the plot of land40°7'56""N, 44°44'17""Ehttps:///maps/V7PVVcbGogR3MrHZ8Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/11764697
