Type,Land Area,Address,Price,Currency,Description,Datetime,Links,Service Lines
For Public Buildings,600 sq.m.,Lorri › Stepanavan,"3,100,000 ֏",AMD,"Urgent sale of land in Gyulagarak village of Lori marz.It is located right next to the H24 road.Suitable for guest house, public service or other business purposes.The necessary communications are available: Gas, water, electricity.Area: 600 square meters (20x30)Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17975141,
For Residential Development,1340 sq.m.,Lorri › Dsegh,"6,000,000 ֏",AMD,The land is located on the road leading to the seasTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/16735472,
For Public Buildings,418 sq.m.,Lorri › Vanadzor,"12,500,000 ֏",AMD,"418 sq. M. Land is for sale on Karen Demirchyan street (next to the former oil depot), the front part is 58 m directly from the street, width is 6.5-7.5 m. Exchange with a car is also possible. In case of exchange, the price of the area will increase.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17242044,
For Residential Development,190 sq.m.,"Myasnikyan street 4, Vanadzor","$45,000",USD,Land for sale in the city center. There is a stone garage for 4 cars. All the utilities are available.The land area is 190 square meters. Suitable for building a commercial area.Land plot garage center garageTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17765616,
For Residential Development,5000 sq.m.,"Նար-Դոսի փողոց 8, Ստեփանավան","$10,000",USD,"Private stone house with half a hectare private land for sale in Stepanavan Airport in Getavan villageThe house is very strong, Kare.Uninhabited, needs renovationIt is located on the outskirts of the village, there is a view of Bazum and Georgian-Armenian Mountain Range. It is located one km away from the water lily lakeVery convenient for a guest houseHas a certificate of ownershipTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17798028,
For Residential Development,1280 sq.m.,Lorri › Kurtan,"$10,000",USD,"Land near the house is for sale in Kurtan village, water and electricity are close.It has a convenient position, a good view. Price: Final.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17681775,
For Public Buildings,650 sq.m.,"Pushkin Street, Stepanavan","$25,000",USD,"Land for sale in Gargar village, located on the main road, Vanadzor Stefanavan road, the land is very suitable for building a house and business. The land has all the documents. Lori Marz of RA, Gyulagarak Community, Gargar Village, Central Street, 1 PlotCall WhatsApp, we are not in ArmeniaTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18288869,
For General Purpose,700 sq.m.,"3rd lane 3rd street, Darpas","$7,000",USD,There is a building about 700 meters of land on the factory. Very urgently negotiable 1 street 45/1Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17723353,
For Residential Development,1450 sq.m.,Lorri › Pambak,"600,000 ₽",RUB,"Very urgent saleVillage PAMBAK PAMBAK PAMBAK Lori marzA plot of land is for sale, constructed with a network.Will trade for a carA very good plot of land with no one like it.The land was purchased for the purpose of building a greenhouseIt's sunny and bright all dayAll paperwork in perfect condition one owner.The drinking water station is about 6-8 meters awayElectricity right at the fenceGas is 5 meters awayAll the paper is in perfect condition, one ownerall paperwork in perfect condition one owner.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16081480,
For Residential Development,1800 sq.m.,"8-րդ փողոց 32, 1-ին նրբանցք","1,000,000 ₽",RUB,"Exchange with cars with foreign license platesA plot of land for residential buildings is for sale in the beginning of Bazum community near Vanadzor.The land is directly suitable for everything ոցի summer house and greenhouse.About 5-8 meters from the main highway near Vanadzor-Tashir.All paperwork in one owner in perfect condition.If there is a wish to see the land, the mentioned address is the address of the land.Lori region community Bazum 8th street, 1st alley 32 address.Exchange with a car or commercial area is possible.Get in touch by phone or viber.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/15089721,
