Type,Land Area,Address,Price,Currency,Description,Datetime,Links
For General Purpose,600 sq.m.,Syunik › Kapan,"3,000,000 ֏",AMD,"The land also has a building, a basement, it is located in the village of Tavshut (Ghavshut)NegotiableTranslated from Armenian",Nov-25-2022_00-57,https://list.am/en/item/15900054
For General Purpose,1000 sq.m.,"Квартал Багаберд 16, Капан","$10,000",USD,"There are fruit trees in the garden. If you have any questions, call.Translated from Armenian",Nov-25-2022_00-57,https://list.am/en/item/17246653
For Residential Development,103 sq.m.,Syunik › Goris,"$13,000",USD,Արցախի մայրուղու և Գալստյան փողոցի խաչմերուկ։ հարմար է ցանկացած գործունեություն կազմակերպելու համար,Nov-25-2022_00-57,https://list.am/en/item/15975322
For General Purpose,20 sq.m.,"Hunan Avetisyan street, Kapan","1,200,000 ֏",AMD,A privatized plot of land for the construction of a garage is for sale on Hunan Avetisyan street. It is located directly on the street. The location is also very suitable for building a building or service facility for commercial purposes.Translated from Armenian,Nov-25-2022_00-57,https://list.am/en/item/18016784
For Residential Development,5400 sq.m.,Syunik › Kapan,"$20,000",USD,"There is no such price, it is close to home, it is suitable for everything, and you can exchange it with the car.Translated from Armenian",Nov-25-2022_00-57,https://list.am/en/item/18058022
For General Purpose,1100 sq.m.,Syunik › Goris,"4,000 ֏",AMD,Very urgently. Located on the side of the road!Translated from Armenian,Nov-25-2022_00-57,https://list.am/en/item/17778060
For General Purpose,1236 sq.m.,Syunik › Verin Khotanan,"$9,900",USD,"A plot of land with a residential area is for sale in Verin Khotanan, next to the highway. The area of the land is 1236 square meters. M, residential house area: 150 sq. M. M. The land is completely planted with trees, more than 50 productive trees. The price is negotiable.Translated from Armenian",Nov-25-2022_00-57,https://list.am/en/item/18095832
Agricultural,"13,000 sq.m.","Գրիգոր Տաթեվացի փողոց 31, Գորիս","2,150,000 ֏",AMD,"Near Shinuhayri CrossroadsTwo arable plots of 9018 square meters and 3942 square meters are for sale in Uch Tapa area of Goris municipality. In other words, 13,000 square meters. Both are sold together, it is a must.At the Shinuhayri intersection, turn left and turn back.The lands of Bruni villagers.The two plots are about 1 kilometer away from each other.We always lease and manage the arable land.All documents are available.The price is negotiable with a real buyer. Stated in the statementTranslated from Armenian",Nov-25-2022_00-57,https://list.am/en/item/18254808
Agricultural,"10,000 sq.m.",Syunik › Sisian,"115,000,000 ֏",AMD,"Urgently for sale in Syunik marz, operating livestock farm with equipment, equipment, hay mills, residential houses, own power station (pastantsia), 6000 v, three-phase details by callTranslated from Armenian",Nov-25-2022_00-57,https://list.am/en/item/17693403
For General Purpose,20 sq.m.,"Улица Унан Аветисяна 16, Капан","200,000 ֏",AMD,An area for building a garage is for sale. The price is negotiable. It is located next to Hunan Avetisyan street 16 building.Translated from Armenian,Nov-25-2022_00-57,https://list.am/en/item/16986397
For Residential Development,800 sq.m.,Syunik › Sisian,"$14,000",USD,"Վաճառվում է պարսպապատ հողատարածք կիսակառույցով - 800 քմ հող։ Կարող է դառնալ առանձնատուն, առեւտրային տարածք կամ հյուրատուն։ Գտնվում է Շահումյան փողոցում՝ 4-րդ դպրոցի խաչմերուկ։Продается огороженный земельный участок с полустроением - 800 квадратных метров земли. Может стать частным домом, коммерческим участком или гостевым домом. Находится на улице Шаумяна.",Nov-25-2022_00-57,https://list.am/en/item/18095525
For Public Buildings,739 sq.m.,"Շիրվանզադե փողոց 7, Սիսիան","$160,000",USD,Price contract urgent issues left by phone land 4600 sq. M. Exchange with carTranslated from Armenian,Nov-25-2022_00-58,https://list.am/en/item/17245409
For General Purpose,40 sq.m.,Syunik › Kapan,"800,000 ֏",AMD,"Located in Kapan, M. Adjacent to Papyan 24 building, fenced, concrete structure. Not privatized. Can be used as a garage after some changes.PRICE NEGOTIABLETranslated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/16062932
Agricultural,2000 sq.m.,Syunik › Lehvaz,"$5,500",USD,"Land for sale with fruit trees, there are also vines, newly planted pineapple seedlings. Be able to bargain for real buyers.Translated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/17866625
For Residential Development,1260 sq.m.,Syunik › Tatev,"$15,000",USD,Վաճառվում է տնամերձ հող Սյունիքի մարզի Գորիս քաղաքի Տաթև համայնքումՎանքի հարևանությամբ:--https://earth.app./yZdsiJ,Nov-25-2022_00-58,https://list.am/en/item/12766876
For Residential Development,860 sq.m.,Syunik › Sisian,"450,000 ֏",AMD,"Вачарвум е тнамердз охатарацк 860/к/м Ахиту гюхум, сисианиц 5 км, глхавор чанапарин киц, чанапары бажанум е зинворакан оспиталиц. Теханкы арт е, джуры мштакан. Գինը 450 000 դրամ.",Nov-25-2022_00-58,https://list.am/en/item/16563438
For Residential Development,900 sq.m.,Syunik › Meghri,"$2,200",USD,"Тнамердз айги 900м Тарацков. 40 атКаралек, Дамбул, Кпратут, Хахох, Туз ев айл птхату цареров. Айгин бнакели каруцапатман нш. Асцен' хачин айги 7/6Гины2200долар, 900к/м тарацк, штапа.",Nov-25-2022_00-58,https://list.am/en/item/15099863
For Public Buildings,180 sq.m.,"Syuniq street, Goris","1,000 ֏",AMD,"A plot of land in the city of Goris on Syunik street (on the interstate road) With an area of 180 square meters, it is suitable for any activity. It is located near the military unit. For more information call: The price is negotiable.Translated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/18046875
For Public Buildings,200 sq.m.,Syunik › Sisian,"$8,000",USD,"Land for sale in the center of Sisian, 200 sq. M., 20 m front. It is in front of Haypost, right on the sidewalk.Translated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/15392681
Agricultural,2000 sq.m.,Syunik › Kapan,"$4,000",USD,"Land for sale near Kapan, near the road.Translated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/16859796
For Residential Development,600 sq.m.,Syunik › Goris,"$14,000",USD,"It is located near the Goris Medical Center, a plot of land near the house, suitable for any activity, direct space, 1 line. NegotiableTranslated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/17552015
Agricultural,4000 sq.m.,Syunik › Meghri,"8,000,000 ֏",AMD,"A fruit garden is for sale. Caraway, fig, fresh, quinceTranslated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/14884641
For Residential Development,2200 sq.m.,"Adonts St, Sisian","$5,500",USD,"60 sq/m house, 2200 sq/m land with fruit treesHouse 31, Brnakot 9th StreetWill exchange for equivalent vehicleIt is possible to pay in installmentsTranslated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/16562621
For Public Buildings,84 sq.m.,Syunik › Goris,"$15,000",USD,️:Land for sale on Artsakh Highway in Goris (on the Goris-Stepanakert road))Translated from Armenian,Nov-25-2022_00-58,https://list.am/en/item/16769552
For Residential Development,600 sq.m.,Syunik › Goris,"$1,200",USD,"600 sq. M. Is for sale at a very affordable price. Մ. Privatized land near the house in Areguni district of Goris, a short distance from the Goris-Kapan highway. From the owner:There is also an opportunity to expand the land.Translated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/12745313
For Residential Development,1000 sq.m.,Syunik › Sisian,"$9,000",USD,"It is located in the center of the city, near the vaekomat, 100 m away from the asphalt, but it is connected to the dirt road, irrigation and drinking water will be blocked, the whole area is fenced with a 1.8 m high fence, I need it urgently, I will go down a littleTranslated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/17488088
Agricultural,4000 sq.m.,"Սպանդարյան փողոց 82, Սիսիան","1,000,000 ֏",AMD,"The land is located, near the rocks of Sisian, near the road, I will bargain a little, see all my announcementsTranslated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/17320769
For General Purpose,100 sq.m.,"Գործարանային փողոց 4, Կապան","$6,500",USD,"Land for sale c. Binding. The land is located on the Yerevan-Meghri interstate road, next to the Kapan combine, 100 square meters. Intended for use as a parking lot. Will exchange for an equivalent or cheaper car.Translated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/18326090
For Residential Development,1800 sq.m.,"Aram Manukyan street, Kapan","$18,000",USD,"House, barn, fruit trees for saleTranslated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/17949184
For Public Buildings,119 sq.m.,Syunik › Sisian,"3,500,000 ֏",AMD,119 square meters of land is for sale in the area of the former market of Bangladesh.Translated from Armenian,Nov-25-2022_00-58,https://list.am/en/item/17582664
For Residential Development,500 sq.m.,"Սիսիական փողոց 13, Սիսիան","$6,000",USD,"Fenced, established fruit trees, next to ACBA Bank. Sewer available. Price negotiable.Translated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/18295714
For Residential Development,800 sq.m.,Syunik › Goris,"5,000,000 ֏",AMD,"Земельный участок. Район Арегуни, рядом с центральной дорогой.",Nov-25-2022_00-58,https://list.am/en/item/18327240
For Residential Development,950 sq.m.,Syunik › Verishen,"$9,800",USD,The plot is very suitable for building a private house. The road is fenced. It has a sewer line.Translated from Armenian,Nov-25-2022_00-58,https://list.am/en/item/17466287
For Residential Development,700 sq.m.,Syunik › Goris,"$5,000",USD,The house in the picture is given with itTranslated from Armenian,Nov-25-2022_00-58,https://list.am/en/item/14878621
For General Purpose,1250 sq.m.,Syunik › Shinuhayr,"$16,000",USD,"Հողատարածքում գտնվում էր երկու սենյականոց ֆիննական տնակ ֆունդամենտով, անասնագոմ։ 1250քմ պտղատու ծառերով հողատարածք։ Գինը սակարկելի։Նայեք իմ բոլոր հայտարարությունները։",Nov-25-2022_00-58,https://list.am/en/item/14776460
Agricultural,600 sq.m.,Syunik › Meghri,"6,000 ֏",AMD,Այգի Մեղրում. Սահմանապահ զորամասի մոտ ոռոգման և խմելու ջուրը այգու մեջ. Այգևտնակ.,Nov-25-2022_00-58,https://list.am/en/item/14210245
Agricultural,"61,860 sq.m.",Syunik › Akhlatyan,"3,500,000 ֏",AMD,"An agricultural plot of land is for sale 3 km from Akhlatyan village in Torunik community, together with the plot of land, there is also a 0.647 sq. M. House for sale, 2 residential houses of 100 sq. M., a cattle shed for 10 cattle, a cover for a haystack, in the garden there are fruit trees (walnut, apple, pear, plum, apricot, cherry, etc.)Translated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/18293662
For Residential Development,1250 sq.m.,Syunik › Goris,"$30,000",USD,"It is located at the foot of the forest, next to the cardiology hospital. Has access to all utilities.Translated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/18157458
For Residential Development,700 sq.m.,Syunik › Kapan,"4,500,000 ֏",AMD,"The price also includes a garage with documentsPrice - AMD 4,500,000 negotiableAddress: 1 Railway St.A plot of land is also for sale, located on the road to Bagaburj, on the right side (in the area called teachers' quarter), with documentsArea - 700m, price - 2,000,000 AMD (negotiable)Translated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/18231857
