Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For General Purpose,1000 sq.m.,"Moldovakan street, Dilijan station","50,000,000 ֏",AMD,"1000 sq. M. For sale. M. Land near the forest. Near the houses of the Central Bank (cb1) and (Renco) (Shamakhyan) There are also fruit trees on the land (cherry, plum, quince, fig, poppy) For detailsCall:Translated from Armenian",Nov-25-2022_01-02,,https://list.am/en/item/18338044
For Public Buildings,4000 sq.m.,Tavush › Dilijan,"$100,000",USD,"On the Armenia_Russia highway. Gas, light are near the land. Call in case of real purchase.Translated from Armenian",Nov-25-2022_01-02,,https://list.am/en/item/17930990
For Public Buildings,45 sq.m.,Tavush › Ijevan,"$4,200",USD,It is located in the upper district. At the intersection of Doc. Second line. 5 meters away from the crossroads. The legal papers are ready. With the permission of Shin from the project of two respect. I will consider exchange options. As well as closed.Translated from Armenian,Nov-25-2022_01-02,,https://list.am/en/item/15907885
For General Purpose,750 sq.m.,"Erevanyan street 13, Ijevan","$3,800",USD,"Land near the house for sale in the upper ward of the Military Police of Getahovit community. For details, call the indicated phone number. It is clearly visible in the picture. It has a normal passport.Translated from Armenian",Nov-25-2022_01-02,,https://list.am/en/item/13108183
Agricultural,1000 sq.m.,Tavush › Dilijan,"$27,000",USD,"Marz Tavush, community Dilijan c. Gosh village, Mkhitar Goshi street 6th lane 9 Purpose-built residential land 52 square meters Land area 1000 mTranslated from Armenian",Nov-25-2022_01-02,,https://list.am/en/item/18358841
For Residential Development,1000 sq.m.,Tavush › Ijevan,"$7,000",USD,"Has a half-built building, the documents are normal, it is coming down in Rembaz districtTranslated from Armenian",Nov-25-2022_01-02,,https://list.am/en/item/17992844
For General Purpose,1300 sq.m.,"Orjonikidze Street, Dilijan station","$45,000",USD,"The land is located on M4 highway. There is a car wash in the area, there are also pavilions, as well as three-phase electricity. The address is incorrect. For more information callTranslated from Armenian",Nov-25-2022_01-02,,https://list.am/en/item/17334180
For General Purpose,300 sq.m.,"Getapnya street, Dilijan station","1,000,000 ֏",AMD,"Land on the left side of the road from San Dilijan tunnel to Dilijan, 300 sq. M. Մ. By the source of Bochka.Price is negotiableTranslated from Armenian",Nov-25-2022_01-02,,https://list.am/en/item/17519733
For Public Buildings,70 sq.m.,Tavush › Dilijan,"$50,000",USD,"The area is located on the road leading to the international school, the front line is 10m.Translated from Armenian",Nov-25-2022_01-02,,https://list.am/en/item/18258590
For Residential Development,740 sq.m.,Tavush › Dilijan,"$35,000",USD,"Dilijan 1st line, meaning of mixed construction, communications closeCode 24776:Translated from Armenian",Nov-25-2022_01-02,,https://list.am/en/item/15788294
Agricultural,7000 sq.m.,Tavush › Getahovit,"$20,000",USD,Arten has been developed for 10 years and also exchanged in the back of a car.Translated from Armenian,Nov-25-2022_01-02,,https://list.am/en/item/17289597
For Residential Development,1100 sq.m.,"Kalinini street, Dilijan station","$53,600",USD,"For sale by the owner is a plot of land for residential development on the Dilijan-Vanadzor highway, first line with 14.9 meters of frontage, view of the forest and international school. Not negotiable in case of exchange. It is possible to build several cottages and have a highly profitable business; Area 550 (documented) and 550 more extensionsTranslated from Armenian",Nov-25-2022_01-02,,https://list.am/en/item/15362008
Agricultural,2600 sq.m.,Tavush › Ijevan,"$15,000",USD,"Land for sale near Yenoqavan road, for details call the mentioned viber numberTranslated from Armenian",Nov-25-2022_01-02,,https://list.am/en/item/16465446
For General Purpose,3100 sq.m.,"6-я улица 2, Техут","$75,000",USD,"Участок находится в прекрасном месте, левый берег речки Ахстев. От трассы 20м.",Nov-25-2022_01-02,,https://list.am/en/item/17708999
