Type,Land Area,Address,Price,Currency,Description,Datetime,Links,Service Lines
For General Purpose,1750 sq.m.,Vayots Dzor › Yeghegis,"$6,500",USD,"Land for sale in Vayots Dzor region, v. In Yeghegis, near the roadside.Area: 0.175 hectares;Drinking and irrigation water passing through the land.The area is surrounded by beautiful mountains and vegetation, it is an ideal place for the construction of hotels, accommodation, gas stations, food outlets and other commercial facilities.Price: 6500 USD, negotiable.The necessary documents are available.Please call only the mentioned phone number in case of real purchase / preferably not with Viber.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/17877478,
For General Purpose,1750 sq.m.,"Levonyan street 31, Yeghegnadzor","$6,500",USD,"Վաճառվում է հողատարածք Վայոց ձորի մարզ գ. Եղեգիսում, ճամփեզրի մոտ:Մակերեսը՝ 0.175 հա;Հողատարածքով անցնող խմելու և ոռոգման ջուր:Տարածքը շրջապատված է գեղատեսիլ լեռներով և բուսականությամբ, իդեալական վայր է՝ հյուրանոցների, կացարանների, բենզալցակայանների, սննդի կետերի և այլ առևտրային օբյեկտների կառուցման համար:Գինը` 6500 USD, սակարկելի:Առկա են անհրաժեշտ փաստաթղթերը։Զանգահարել միայն ռեալ գնման դեպքում։Продажа земельного участка Вайоц Дзорский район с. В Ехегисе, у обочины дороги.Площадь: 0,175 га;Питьевая и поливная вода проходит по земле.Район окружён красивыми горами и растительностью, это идеальное место для строительства отелей, жилья, заправочных станций, точек питания и других коммерческих объектов.Цена: 6500$, договорная.Необходимые документы имеются.Звоните только в случае реальной покупки.",Nov-25-2022_00-52,https://list.am/en/item/18038147,
For Residential Development,800 sq.m.,Vayots Dzor › Yeghegnadzor,"$18,000",USD,"Suitable for building a private house. 800 sq. M. Garden, vegetable greenhouse. There are apricot, peach, plum, cherry, cherry, hornbeam, hazelnut, almond, walnut trees, a number of grape varieties, etc. In the garden.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/17140390,
Agricultural,"120,000 sq.m.",Vayots Dzor › Vayk,"$200,000",USD,"An apricot orchard is for sale on a 10-hectare road leading to Gndevaz. There is no problem with watering, if desired, there is electricity in the area. It is suitable for setting up a recreation area.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/16231509,
For Industrial Use,3000 sq.m.,Vayots Dzor › Vernashen,"$5,000",USD,"Urgent land for sale in Vernashen village, there are about 50 ""cherry red"" fruit trees. Watery soil. It is not fencedTranslated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/17923155,
For General Purpose,600 sq.m.,Vayots Dzor › Jermuk,"9,000 ֏",AMD,"Շտապ վաճառվում է սեփականաշնորհված տնամերձ հողատարածք Վայոց ձոր մարզի Ջերմուկ քաղաքում՝ նախկին օդանավակայանի հարևանությամբ:Ընդհանուր մակերեսը՝ 600քմ: Տարածում առկա է խմելու և ոռոգման ջուր:Տարածքը կարող է ծառայել ամառանոց, հյուրանոց, և այլ տիպի շինություններ կառուցելու համար:ԱՌԿԱ ԵՆ ԱՆՀՐԱԺԵՇՏ ԲՈԼՈՐ ՓԱՍՏԱԹՂԹԵՐԸأرض خصخصة بالقرب من المنزل في جيرموك ، منطقة فايوتس دزور ، بالقرب من المطار السابق ، معروضة للبيع بشكل عاجل.المساحة الإجمالية 600 متر مربع. توجد مياه شرب وري في المنطقة.يمكن استخدام المنطقة لبناء منزل صيفي وفندق وأنواع أخرى من المباني.جميع المستندات الضرورية متوفرة.ՈՒՇԱԴՐՈՒԹՅՈՒՆ՝ Գործակալություն չէԳինը սակարկելի...Продается приватизированный земельный участок.",Nov-25-2022_00-52,https://list.am/en/item/14275281,
For General Purpose,1750 sq.m.,Vayots Dzor › Yeghegnadzor,"6,500 ֏",AMD,"ՈՒՇԱԴՐՈՒԹՅՈՒՆ՝ Գործակալություն չէՎաճառվում է հողատարածք Վայոց Ձորի մարզ գ. Եղեգիսում, ճամփեզրի մոտ:Մակերեսը՝ 0.175 հա;Հողատարածքով անցնող խմելու և ոռոգման ջուր:Տարածքը շրջապատված է գեղատեսիլ լեռներով և բուսականությամբ, իդեալական վայր է՝ հյուրանոցների, կացարանների, բենզալցակայանների, սննդի կետերի և այլ առևտրային օբյեկտների կառուցման համար:Գինը` 6500 USD, սակարկելի:Առկա են անհրաժեշտ փաստաթղթերը։Զանգահարել միայն ռեալ գնման դեպքում։Vayots dzor أرض للبيع region v.في يغيغس ، بالقرب من جانب الطريق.المساحة: 0.175 هكتار ؛مياه الشرب والري التي تمر عبر الأرض.المنطقة محاطة بالجبال الجميلة والنباتات ، فهي مكان مثالي لبناء الفنادق والإقامة ومحطات الوقود ومنافذ الطعام والمرافق التجارية الأخرى.السعر: 6500 دولار قابل للتفاوض.الوثائق اللازمة متوفرة.",Nov-25-2022_00-52,https://list.am/en/item/14281676,
Agricultural,2000 sq.m.,Vayots Dzor › Gladzor,"$3,000",USD,Fertile soil for trees and vegetablesTranslated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/17812283,
For General Purpose,400 sq.m.,Vayots Dzor › Yeghegnadzor,"$25,000",USD,Urgently for saleland near the house 400 sq. M.Is located in In front of Yeghegnadzor (Yerevan - Honey Highway 1) bus stationHer: 8 989 752 34 27:Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/16015217,
Agricultural,1830 sq.m.,Vayots Dzor › Areni,"$21,000",USD,Right next to the road. In front of the market. Between Areni and Chiva villages. Lands in the neighborhood are also for sale. It is also suitable for placing a gas cylinderTranslated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/16719856,
