Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For Residential Development,300 sq.m.,Yerevan › Avan,"$35,000",USD,"300 square meters residential plot of land for sale in Avan, Mher Mkrtchyan district on 19 street, near communication systems12m front sectionBeautiful unobstructed viewTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/15148653
For Residential Development,2653 sq.m.,Yerevan › Nor Nork,$100,USD,"Վաճառվում է հողատարածք Երևան քաղաքում, Նոր-Նորք թաղամասում, Դավիթ Բեկ փողոցի հարակից տարածքում` Անհատական բնակելի տան կառուցման համար:Ընդհանուր մակերասը 2653 քմ /հողատարածքի գինը հաշվարկված է 1 քմ համար/:Ապահովված է գազով, ջրով, կոյուղի և հոսանքով: Հողատարածքից բացվում է հրաշալի տեսարան դեպի Արարատ լեռ: Հողատարածքը սեփականաշնորհված է: Առկա է նշահարման ակտ:Продаётся земельный участок в Ереване, район Нор-Норк, заезд с улицы Давид Бек. Назначение земли - жилищное строительство. Площадь участка 2653 кв. М. Цена указана за 1 кв. М. К участку подведены следующие коммуникации: Газ, электричество, вода, канализация. С участка открывается отличный вид на Ереван и гору Арарат. На участок имеется свидетельство о собственности и все разрешительные документы на строительство.",Nov-25-2022_00-43,,https://list.am/en/item/16482510
For Residential Development,250 sq.m.,"Սարգիս Լուկաշինի փողոց, Երևան","$31,250",USD,"A plot of land for building a residential house is for sale, in a very convenient location, S. At 39/57 Lukashin Street. The plot is located on the new north-south road, on the road from Ajapnyak to Bangladesh, right in front of the ""Defense"" district. All communications attached. The plot is rectangular 20 meters and 12.5 meters. The front part is 12.5 meters. School 111 is being built 150 meters away. The cost of 1 square meter = $125.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18028617
For Residential Development,300 sq.m.,Yerevan › Avan,"$21,000",USD,"The land is close to the house with an area of 300 square metersMeasured, surveying doneThe water main is very close14 m wideIt is 300m away from the stationTsaghkunk in the newly built districtNext to Arinj MallTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18267461
For Residential Development,1000 sq.m.,Yerevan › Avan,"$85,000",USD,"1000 square meters of land near the house for sale in Avan, Duryan district, 5 street,25m frontageThere is a beautiful viewThe road is pavedCommunications availableTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/15192246
For Residential Development,812 sq.m.,Yerevan › Davitashen,"$220,000",USD,A plot of land for residential construction is for sale. Davitashen 2 district. The front part of the land is 50m deep and 17m deep.Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/18365976
For Residential Development,500 sq.m.,Yerevan › Kanaker-Zeytun,"$500,000",USD,"Land for sale in Monument very urgently, in private sector. Do not disturb agents.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18292577
For Public Buildings,500 sq.m.,Yerevan › Ajapnyak,"$60,000",USD,"Urgently for sale on Lukashin 3rd street, h. Near the land plot located at 1/31. It is located 100 meters north-south of the road. According to the plan of the municipality, the house is located at the crossroads, near both sides. It is very convenient not only for building a house, but also for commercial purposes.Price is negotiable in case of a real buyer.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/16546233
For Residential Development,718 sq.m.,"Շրջանցիկ Թունել փողոց 13/12, Երևան","$75,000",USD,"1200 sq / m land for sale, Arabkir (Korea gorge) Shrdjantsik Tunnel 13/13.718 meters of the land is privatized for the construction of a residential building. Electricity, gas, 24 hours water near the plot.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17954748
For General Purpose,500 sq.m.,Yerevan › Erebuni,"$8,000",USD,По всем вопросам звонить,Nov-25-2022_00-43,,https://list.am/en/item/17412255
Agricultural,2000 sq.m.,Yerevan › Kentron,"$10,000",USD,"3 rows (150 trees) of an apple orchard on the front line of the Ohanavan area, on the Tsakhkevank road, are for sale in Demrchan Gardens.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17699329
For General Purpose,1000 sq.m.,"Noragavit 4-th Street, Yerevan","$250,000",USD,The whole 1000 square meters is privatized and with a construction permitHas all the utilities40 meters front part 1 LINEHas a functioning car service station with all amenitiesThe area is fencedHurry for this priceTranslated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/16718141
For Residential Development,500 sq.m.,"Լուկաշին փողոց, Երևան","$60,000",USD,A plot of land near the house is for sale in Lukashin.The area of the land is 500 square meters.Call for more information.Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/18375798
For Residential Development,500 sq.m.,Yerevan › Arabkir,"$650,000",USD,"A 500 square meter land is for sale in the monument, on which a 150 square meter building is built. There is water, gas, electricity.Has a garden with fruit trees.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17973483
For Residential Development,1000 sq.m.,"Avan-Arinj 2nd micro, Yerevan",$35,USD,"I will buy a plot of land anywhere in Avan, either to build 400-500 square meters or two houses of 1000 square meters. Offer a price of $ 30-40 per square meter.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17670210
For Residential Development,800 sq.m.,Yerevan › Nubarashen,"$10,000",USD,Possibility of expansionTranslated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/17666512
For Residential Development,800 sq.m.,"Duryan street, Yerevan","$30,000",USD,"800m 20m plot of land for sale. Front 40 m. The lengthAvan Duryan, 9th row.Code L-4253Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/10927569
