Type,Elevator,Floors in the Building,Room Area,Renovation,Balcony,Floor,Number of Guests,Children Are Welcome,Pets Allowed,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Links,Parking,Amenities,Appliances
Private House,Not available,1,10 sq.m.,Cosmetic Renovation,Not available,1,1.0,Yes,No,By Agreement,Included,Gegharkunik › Sevan,"12,000 ֏ daily",AMD,"A cabin on the shore of Sevana lake is for daily rent, 2 rooms for up to 4 people, clean condition, there is a pavilion for up to 14 people. Only the pavilion is 5000Translated from Armenian",Nov-25-2022_00-27,https://list.am/en/item/18104863,,,
,Not available,2,45 sq.m.,Major Renovation,Not available,1,,,,,,Gegharkunik › Sevan,"30,000 ֏ daily",AMD,"Rooms for rent in Sevan. Newly built, fully renovated. The rooms are fully furnished and have separate bathrooms. There is also a kitchen. The yard has an outdoor heated pool, entertainment pavilion, barbecue facilities and a garage. The building is located very close to the coast.Translated from Armenian",Nov-25-2022_00-27,https://list.am/en/item/18166202,,,
,Not available,2,36 sq.m.,Major Renovation,Open balcony,2,,,,,,Gegharkunik › Sevan,"10,000 ֏ daily",AMD,"Rooms for daily rent in Sean, on the 2nd floor of a 2-storey private house, 6 rooms, all communal facilities, in the yard, there is a pavilion, barbecue, tonir, full of other things,Negotiable in case of long-term borrowing,For more information callTranslated from Armenian",Nov-25-2022_00-27,https://list.am/en/item/17894146,,,
,Not available,1,40 sq.m.,Designer Renovation,Open balcony,1,,,,,,"Sevan street, Yerevan","10,000 ֏ monthly",AMD,"Sevan recreation zone, stone cottages, hurry to book, there are 1 room, 2 rooms, 3 rooms, sauna, beer house.Translated from Armenian",Nov-25-2022_00-27,https://list.am/en/item/18005355,,,
Hotel,Not available,1,30 sq.m.,Euro Renovation,Not available,1,2,No,No,1 month,Included,"Ստեփան Շահումյանի փողոց, Սևան","120,000 ֏ monthly",AMD,"Տրվում է վարձով հյուրանոցային սենյակներ 4 և 2 անձի համար Սևան քաղաքում:Առանձին խողանոց, մշտական տաք և սառը ջուր: Ջեռուցում, WI-FI: Կոմունալ վճարումները կատարվում է մեր կողմից:Сдаются два гостиничных номера на 4 и 2 персоны в пригороде Севана.Отдельная кухня, горячая и холодная вода, WI-FI, отопление: Комунальные платежи включены в стоимость аренды:",Dec-15-2022_22-00,https://list.am/en/item/18587613,Outdoor parking,"Television, internet, parking space","Fridge, stove, microwave, washing machine, water Heater, iron, hair dryer"
Guesthouse,Not available,1,4 sq.m.,Major Renovation,Open balcony,1,8+,Yes,Yes,By Agreement,By Agreement,"Իսակովի փողոց null, Ցամաքաբերդ","6,000 ֏ daily",AMD,"Վարձով է տրվում հյուրատան սենյակները.Օրական 10.000 դրամԱմանորին և հաջորդող 4 օրերը 13000 դրամԱմսական 120.000 դրամ։Կոմունալ հարմարությունները առկա են ։Նաև ավտոկայանատեղի, խորովածանոց և տաղավար ։Սիրով սպասում ենք բոլորիտ ։Сдаются комнаты в гостевом доме. 6.000 драм в день 11.000 драмов в Новый год и последующие 4 дня ։ 120.000 драм в месяц. Коммунальные удобства доступны. Также парковка, барбекю и павильон. Мы ждем с любовью.",Dec-15-2022_22-00,https://list.am/en/item/18690547,Covered parking,"Television, air conditioner, internet, parking space","Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer"
Guesthouse,Not available,3,20 sq.m.,Major Renovation,Not available,3,2,Yes,Yes,By Agreement,Included,Gegharkunik › Sevan,"270,000 ֏ monthly",AMD,"Комнаты (2 человека) в аренду с ванной комнатой. Номер на неделю 75000 драм, номер на неделю с завтраком 95000 драмRooms (2 people) for rent with private bathroom. Room for a week 75000AMD, room for a week with breakfast 95000AMD",Dec-15-2022_22-00,https://list.am/en/item/18487357,,,
Hotel,Not available,2,50 sq.m.,Cosmetic Renovation,Closed balcony,2,5,Yes,No,Without prepayment,Included,Gegharkunik › Shoghakat,"6,000 ֏ daily",AMD,"Սևանա լճի ափին, հարմարավետ սենյակներ, անվճար wi fi, առկա է սանհանգույց, խոհանոց, սառնարան, գազօջախ, 5 մահճակալ,На берегу озера Севан, комфортабельные номера, бесплатный wi-fi, есть санузел, кухня, холодильник, газовая плита, 5 спальных местГости могут отдохнуть частном пляже",Dec-15-2022_22-00,https://list.am/en/item/18484863,,,
Hotel,Not available,2,50 sq.m.,Cosmetic Renovation,Closed balcony,2,5,Yes,No,Without prepayment,Not included,Gegharkunik › Shoghakat,$200 monthly,USD,"Սևանա լճի ափին, հարմարավետ սենյակներ, անվճար wi fi, առկա է սանհանգույց, խոհանոց, սառնարան, գազօջախ, 5 մահճակալ,На берегу озера Севан, комфортабельные номера, бесплатный wi-fi, есть санузел, кухня, холодильник, газовая плита, 5 спальных местГости могут отдохнуть частном пляже",Dec-15-2022_22-00,https://list.am/en/item/18412625,Outdoor parking,"Television, internet, parking space","Fridge, stove, microwave, coffee maker, iron, hair dryer"
,Not available,2,21 sq.m.,Cosmetic Renovation,Closed balcony,1,5,Yes,No,Without prepayment,Included,Gegharkunik › Shoghakat,"75,000 ֏ monthly",AMD,"Right on the shore of Lake Sevan, comfortable rooms, constant hot and cold water are rooms for 5 or more people.Translated from Armenian",Dec-15-2022_22-00,https://list.am/en/item/18489020,,,
