Elevator,Floors in the Building,Room Area,Renovation,Balcony,Floor,Number of Guests,Children Are Welcome,Pets Allowed,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Type,Amenities,Appliances,Parking,Links
Not available,1,100 sq.m.,Cosmetic Renovation,Open balcony,1,8+,Yes,Yes,By Agreement,By Agreement,"Vazgen Sargsyan St, Byureghavan","15,000 ֏ daily",AMD,"Summer house for daily rent in Byureghavan, there is gas, dynamic, it is designed for 30 people, the size of the pool is 3m. 5 m. Depth 1.5 m. , 20 km away from YerevanTranslated from Armenian",Nov-25-2022_00-26,,,,,https://list.am/en/item/17854477
Available,12,25 sq.m.,Euro Renovation,Open balcony,6,4,Yes,No,By Agreement,Included,"Олимпийская улица 8, Цахкадзор","25,000 ֏ daily",AMD,"Комната находится в новом гостиничном комплексе Kechi House, на 6 этаже. Комплекс расположен в 3 минутах езды до центра города и в 5 минутах езды от горнолыжных подъёмников. К услугам гостей бесплатная парковка, WiFi и 20% скидка на зиплайн. В комнате есть отопление и горячая вода. Телевизор смарт, холодильник, плита, чайник и вся необходимая кухонная посуда.Разрешается проживание детей (диван-софа для двоих детей, без доплаты.)Оплату необходимо внести посредством банковского перевода до приезда.",Nov-25-2022_00-26,Hotel,,,,https://list.am/en/item/17171796
Available,3,60 sq.m.,Designer Renovation,Closed balcony,1,6,Yes,Yes,By Agreement,Included,"Սևանի փողոց, Աբովյան","17,000 ֏ daily",AMD,"Hello, you can also call the specified number through a direct call.: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :In the city of AbovyanAt the beginning of the citySuramarket and shops nearbyParks and playgroundsIn a calm and quiet environmentOpportunities to use different means of transportApartment for daily rentFurnished with everythingUtility with all amenitiesServiced conditionApartment with daily rent minimum 1 dayTranslated from Armenian",Nov-25-2022_00-26,Guesthouse,"TElevision, air conditioner, internet, parking space","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer",,https://list.am/en/item/18249650
Not available,3,80 sq.m.,Designer Renovation,Closed balcony,1,6,Yes,Yes,By Agreement,Included,"Սևանի փողոց, Աբովյան","17,000 ֏ daily",AMD,"Hello, you can also call the specified number through a direct call.: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :In the city of AbovyanAt the beginning of the citySuramarket and shops nearbyParks and playgroundsIn a calm and quiet environmentOpportunities to use different means of transportApartment for daily rentFurnished with everythingA Utility with all amenitiesServiced conditionApartment with daily rent minimum one dayTranslated from Armenian",Nov-25-2022_00-26,Hotel,"TElevision, air conditioner, internet, parking space","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer",OUtdoor parking,https://list.am/en/item/18249651
Not available,2,70 sq.m.,Euro Renovation,Closed balcony,2,6,Yes,Yes,By Agreement,Included,"4th microdistrict, Abovyan","16,000 ֏ daily",AMD,"Օրավարձով 2 սենյակԿահավորված բոոլոր հարմարություններովԲնակարանն ունի ամեն հարմարություններ հանգիստ անցկացնելու համար զանգահարել նշվածհամարով Ամրագրման համարՕրավարձով բնակարան  Անմիջապես քաղաքի սկզբնամասում  Համալրված է սպասքով, Սպիտակեղենով, Խոհանոցաին պարագաներով, Սանհանգույցի պարագաներով  Կողկում Սուպերամարկետ, խանութներ, զբոսայգի և կանգառԵրկու Ննջասենյակ  Մեկ Հյուրասենյակ  Խոհանոց և Սանհանգուց  Զանգահարել նշված համարով Ամրագրման համար",Nov-25-2022_00-26,Guesthouse,"TElevision, air conditioner, internet, parking space","FRidge, stove, microwave, coffee maker, washing machine, drying machine, water heater, iron, hair dryer",,https://list.am/en/item/18168796
Not available,2,20 sq.m.,Euro Renovation,Open balcony,2,6,Yes,Yes,By Agreement,Not included,"Ազատության փողոց 22, Ձորաղբյուր","175,000 ֏ monthly",AMD,"Сдается 3 отдельные комнаты (можно и все) с мебелью и отдельной ванной и туалетом, в с. Дзорахбюр, ул. Азатутян, 1-ой линим, 3 км от Еревана, 2-ом этаже 2-уж этажного дома. Вход отдельный, новый капитальный ремонт. Есть летняя кухня, камин, тондыр итд. 1 комната 450$ за месяц, магазины, кафе Рядом. Звоните, рассмотрю и Ваши предложения.! Фото смотрите В моей странице",Nov-25-2022_00-26,Private House,,,,https://list.am/en/item/18373926
Not available,1,100 sq.m.,Cosmetic Renovation,Not available,1,8+,Yes,Yes,By Agreement,By Agreement,"Arzni Highway 10, Abovyan","15,000 ֏ daily",AMD,"Summer house for daily rent in Arzni, there is gas, dynamic, the pavilion is designed for 30 people, 18 km from Yerevan. DistanceTranslated from Armenian",Nov-25-2022_00-26,,,,,https://list.am/en/item/16408053
Not available,3,20 sq.m.,Major Renovation,Not available,2,,,,,,Kotayk › Jrvezh,"10,000 ֏ daily",AMD,"Daily rent and long term rooms available in Bagrevand district. Bathrooms are available in the rooms. The rooms are completely renovated, there is a separate bathroom in each roomCode 010029Translated from Armenian",Nov-25-2022_00-26,,,,,https://list.am/en/item/18219645
Not available,3,26 sq.m.,Euro Renovation,Open balcony,2,,,,,,Kotayk › Proshyan,"200,000 ֏ monthly",AMD,"Գտնվում է Երևան Աշտարակ մայրուղու վրա, 15 թաղամասից 2կմ դեպի ԱշտարակՍենյակը ունի Smart TV, սառնարան, օդորակիչ, պատժգամբ, սանհանգույց, Wi - Fi և կաբելային ինտերնետ, տաք և սառը ջուր, մաքրություն, կոմունալ ծախսերը մեր կոխմից։Սենյակը 26 մ - 1-օրը-18000Դր Տրամադրվում է երկարաժամկետ տարբերակով։Расположен на трассе Ереван-Аштарак, в 2 км от 15 квартала до Аштарака.В номере есть Smart TV, холодильник, кондиционер, балкон, ванная комната, Wi-Fi и кабельный интернет, горячая и холодная водаКомната 26 м - 1 день 18000драм.",Nov-25-2022_00-26,,,,,https://list.am/en/item/17602649
Not available,3,33 sq.m.,Euro Renovation,Open balcony,2,3,Yes,No,Without prepayment,Included,Kotayk › Proshyan,"220,000 ֏ monthly",AMD,"Գտնվում է Երևան Աշտարակ մայրուղու վրա, 15 թաղամասից 2կմ դեպի ԱշտարակՍենյակը ունի Smart TV, սառնարան, օդորակիչ, պատժգամբ, սանհանգույց իր հարմարություններով, Wi - Fi և կաբելային ինտերնետ, տաք և սառը ջուրԿոմունալ վճարումները և մաքրությունը կապահովենք մենքՍենյակը 33 մ - 1-օրը-18000դր. Տրվում է նաև երկարաժամկետ տարբերակով1-ամիսը 220000драмРасположен на трассе Ереван-Аштарак, в 2 км от 15 квартала до Аштарака.В номере есть Smart TV, холодильник, кондиционер, балкон, ванная комната со своими удобностьями, Wi-Fi и кабельный интернет, горячая и холодная водаКоммунальные услуги и чыстота от насКомната 33 м - 1 день18000 драм. Долговремино месяц 220000драм",Nov-25-2022_00-26,,,,,https://list.am/en/item/17602642
