Elevator,Floors in the Building,Room Area,Renovation,Balcony,Floor,Number of Guests,Children Are Welcome,Pets Allowed,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Type,Links,Parking,Amenities,Appliances
Not available,3,60 sq.m.,Euro Renovation,Not available,1,2,Yes,No,Without prepayment,Not included,"Ավետիք Իսահակյանի փողոց 5Ա, Գյումրի","100,000 ֏ monthly",AMD,Сдаётся квартира совсеми удобствами. С хозяином.Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/17515692,,,
Not available,1,25 sq.m.,Cosmetic Renovation,Not available,1,3,Yes,Yes,By Agreement,Included,"Մազմանյան փողոց 191, Գյումրի","8,000 ֏ daily",AMD,The room has all the utilities.Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/18180637,,,
Not available,1,35 sq.m.,Major Renovation,Open balcony,1,,,,,,"Շիրակացի փողոց 10/1, Գյումրի","9,000 ֏ daily",AMD,"2-room apartment with all communal amenities is for daily rent in Gyumri.Attention!PRICE IS CHANGE BY NUMBER OF PERSONS, DAYS AND HOURSTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17548209,,,
Not available,2,20 sq.m.,Major Renovation,Open balcony,2,4,Yes,No,By Agreement,Included,"Ջիվանի փողոց 72, Գյումրի","10,000 ֏ daily",AMD,"It is located in the center of the city, capitally renovated, there are all the conditions for rest, the rooms have a separate bathroom, bath, TV, refrigerator, it also has a rest roomTranslated from Armenian",Nov-25-2022_00-27,Guesthouse,https://list.am/en/item/16338197,,,
Not available,1,30 sq.m.,Euro Renovation,Closed balcony,1,2,No,No,Without prepayment,Included,"Լևոն Մադոյան փողոց 144, Գյումրի","5,000 ֏ daily",AMD,"Օրավարձով են տրվում 3 սենյականոց տան առանձին սենյակներ: Տունն ապահովված է կոմունալ բոլոր հարմարություններով, ունի բակ, ավտոկայանատեղի: Սանհանգույցն ընդհանուր է, կա անվճար Wifi: Մոտակայքում կան խանութներ, բարեր, սրճարաններ: Տունը մոտ է գտնվում գնացքի կայարանին և ավտոկայարանին: 1անձի համար 1 օրվա արժեքը կազմում է 5000 դրամ։ Մանրամասների համար զանգահարել նշված հեռախոսահամարով:Сдаются в посуточную аренду отдельные комнаты 3-х комнатного дома. Дом обеспечен всеми коммунальными удобствами, имеется двор, парковка. Туалет с ванной общие, есть бесплатный Wi-Fi. Рядом магазины, бары, кафе. Дом находится недалеко от железнодорожного вокзала и автовокзала. Плата за одного человека за одну ночь 5000 драм. Для дополнительной информации звоните по номеру.For daily rent separate rooms of a 3-room house. The house is provided with all utilities, there is a yard, parking, free Wi-Fi. Toilet and bathroom are quite. Near house are shops, bars, cafes. The house is located near train station and bus station. The fee for one person for one night is 5000 AMD. For more information call the number",Nov-25-2022_00-27,Guesthouse,https://list.am/en/item/16542280,,,
Not available,5,13 sq.m.,Old Renovation,Open balcony,2,8+,Yes,No,By Agreement,By Agreement,"Шоссе Хримян Айрика 2/14, Гюмри","60,000 ֏ monthly",AMD,"В 3-ех комнатной квартире сдаю одну комнату в арендуI rent one room in a 3-room apartmentaddress / Khrimyan Hayrik house, 5a flat, 14",Nov-25-2022_00-27,Apartment,https://list.am/en/item/18051259,,,
Not available,2,15 sq.m.,Euro Renovation,Open balcony,2,8+,Yes,No,By Agreement,By Agreement,"Մանուշյան փողոց 33, Գյումրի","80,000 ֏ monthly",AMD,"Private house is for daily rent, it is also possible for a long-term, there is also a beautiful garden with its swimming pool, free WI-FI is available in the whole house. Beautiful environment, impeccable cleanliness, friendly service. We will welcome you with love. Price starting from 5000 AMD. If you have any questions, call. Address: 33 Manushyan Street.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16714382,,,
Not available,1,18 sq.m.,Euro Renovation,Not available,1,,,,,,"26 Komisarneri Street 80, Gyumri","14,000 ֏ daily",AMD,"Վարձով են տրվում 2, 3 ու 4֊տեղանոց սենյակներ նոր վերանորոգված ""Հեսթիյա"" հյուրատանը (18 մ/34 մ) ։ Սենյակները հագեցած են բնակության համար անհրաժեշտ բոլոր հարմարություններով։Յուրաքանչյուր սենյակ ունի առանձին սանհանգույց, հեռուստացույց, սառնարան, Wi-Fi, կաբելային հեռուստատեսություն։Հյուրերը կարող են վայելել իրենց հանգիստը հարմարավետ, կանաչապատ բակում, կայանել մեքենան ավտոտնակում, խաղալ սեղանի թենիս։Օրավարձը սկսած 14.000-ից մինչև 25.000 դրամ։Ժամանում ՝ 13.00֊իցՄեկնում ՝ մինչև ժամը 12.00—Rooms for rent in a new guest house ""Hestia"" in the city center. Rooms for two, three and four people (18 m/34m) The rooms are equipped with all necessary amenities for living. Each room has a private bathroom, TV, refrigerator, Wi-Fi and cable TV. Guests can use the parking lot, barbecue facilities. Also enjoy relaxing in a cozy courtyard and playing table tennis. Daily rent of rooms from 14.000 to 25.000 AMD.Check-in: From 13.00Check-out: Until 12.00—Сдаются комнаты в новом гостевом доме ""Гестия"" в центре города. Комнаты двух-, трёх- и четырёхместные (18 м/34м) Номера оснащены всеми необходимыми для проживания удобствами.В каждом номере отдельный санузел, телевизор, холодильник, Wi- Fi и кабельное телевидение.Гости могут воспользоваться автостоянкой, мангалом. Также насладиться отдыхом в уютном дворике и поиграть в настольный теннис.Посуточная аренда комнат от 14.000 до 25.000 драм.Заезд: С 13.00Выезд: До 12.00",Nov-25-2022_00-27,,https://list.am/en/item/17959147,,,
Not available,5,32 sq.m.,Cosmetic Renovation,Not available,3,2,Yes,No,Without prepayment,Included,"5-я улица Антараван 14А, Гюмри","12,000 ֏ daily",AMD,Возможен торг.Квартира сводобна.Все необходимое для проживания имеется.Все подробности по телефону.Звонить до 18:00,Nov-25-2022_00-27,,https://list.am/en/item/17919777,,,
Not available,4,40 sq.m.,Designer Renovation,Not available,2,2,Yes,No,By Agreement,Not included,"Aragats street, Գյումրի","15,000 ֏ daily",AMD,"Hotel and apartment for daily rentK. Gyumri,400 square meters. Total area2 3-room apartments4 hotel roomsHeating SystemHot and cold waterLightWith propertyBy techniqueEuro refurbishedUtility with all amenitiesRental price: 4 hotel rooms cost 15,000 AMD per person with breakfastRental price: 4 hotel rooms for 2 persons 20,000 AMD with breakfastCode 1147Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17875119,,,
Not available,2,30 sq.m.,Euro Renovation,Open balcony,2,8+,Yes,Negotiable,By Agreement,Included,"Teryan street, Gyumri","18,000 ֏ daily",AMD,Guest house rooms with all utilities are available for rent and daily rent in the central part of the city.Translated from Armenian,Dec-15-2022_22-00,Guesthouse,https://list.am/en/item/18629003,Outdoor parking,"Television, air conditioner, internet, parking space","Fridge, stove, microwave, coffee maker, washing machine, drying machine"
Not available,1,16 sq.m.,Designer Renovation,Open balcony,1,2,Yes,No,By Agreement,Included,"Մերկուրովի փողոց 26 null, Գյումրի","12,000 ֏ daily",AMD,"Vana House, Hyuratun, guest house, hyuranoc for daily rent. The rooms have a separate entrance from the yard, have separate bathrooms, double beds, separate kitchenettes, hairdryer, smart TV, internet, local heating and hot water supply systems. They have a luxurious courtyard where guests can use toaster, stove, grill and BG, there is also a separate living room in the courtyard with all amenities and extra dishes, where you can spend your small event or good time with extra payment of only 5000 AMD per person. 8 o'clockTranslated from Armenian",Dec-15-2022_22-00,Guesthouse,https://list.am/en/item/18672483,Outdoor parking,"Television, internet, parking space","Fridge, stove, coffee maker, washing machine, iron, hair dryer"
