Elevator,Floors in the Building,Room Area,Renovation,Balcony,Floor,Number of Guests,Children Are Welcome,Pets Allowed,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Type,Links,Parking,Amenities,Appliances
Not available,3,50 sq.m.,Major Renovation,Open balcony,2,5,Yes,No,By Agreement,By Agreement,"Orjonikidze Street, Dilijan station","25,000 ֏ daily",AMD,"The beautiful guest house ""HovDili"" is for rent, located in ""Takhta"" district of Dilijan.All conditions are created for a complete rest. We can host up to 5-6 people. The house is renovated, has all utilities. It also has a balcony with a beautiful view. There is a pavilion and a grill in the yard. The house is located in the lap of nature, call for questions.Person: AMD 7000 (up to 6 people)Entrance: 12-00 p. M. M. AfterExit: Until 12-00p. M.:Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18198577,,,
Not available,2,50 sq.m.,Cosmetic Renovation,Open balcony,2,8+,Yes,No,1 month,By Agreement,"Улица Ереванян 2/47, Иджеван","15,000 ₽ monthly",RUB,"Сдаются комнаты в доме. Два сан узла.Два душа. Оплата по договорённости. Можно посуточно. Можно с детьми.Для более подробной информации звоните, пишите.",Nov-25-2022_00-27,,https://list.am/en/item/18364667,,,
Not available,2,18 sq.m.,Designer Renovation,Open balcony,2,,,,,,"Parz Lich street, Dilijan station","15,000 ֏ daily",AMD,DilijanDili DzorTranslated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/18359645,,,
Not available,2,30 sq.m.,Major Renovation,Not available,2,1,No,No,Without prepayment,Not included,Tavush › Dilijan,"200,000 ֏ monthly",AMD,A separate room is for rent in the Eco Garden guest house.With all amenities.Can you add food?Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/18347933,,,
Not available,1,70 sq.m.,Major Renovation,Closed balcony,1,,,,,,Tavush › Dilijan,"70,000 ֏ daily",AMD,"The cottage is located in Teghut village of Dilijan city in Nature. Designed for 4-6 people.The cost for 4 people is 70,000 drams.95000 AMD for 6 people.It has 2 bedroomsLiving room:BathroomKitchen,Wi-Fi:Parking.It is furnished with all amenities.We have a pavilion with its barbecue and water.Code FS47057Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17871445,,,
Not available,5,24 sq.m.,Major Renovation,Open balcony,2,2,No,No,Without prepayment,Included,"Ստեփան Շահումյանի փողոց 12, Դիլիջան","10,000 ֏ daily",AMD,"Newly renovated and affordable apartments in the central street of Dilijan, equipped with everything you need, only for families.150,000 AMD on New Year's Day 5-31Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17928326,,,
Not available,4,28 sq.m.,Designer Renovation,Open balcony,2,2,No,No,Without prepayment,Included,"Ստեփան Շահումյանի փողոց 12, Դիլիջան","10,000 ֏ daily",AMD,"Affordable apartment in Dilijan, renovated and with communal facilities, on Shahumyan street of the city, with an open balconyTranslated from Armenian",Nov-25-2022_00-27,Apartment,https://list.am/en/item/17933401,,,
Not available,1,25 sq.m.,Major Renovation,Open balcony,1,2,Yes,No,Without prepayment,By Agreement,Tavush › Bagratashen,"15,000 ֏ daily",AMD,"Հյուրանոցը գտնվում է հայ վրացական սահմանին մաքսատան հարեվանությամբ ունենք 6 ազատ մաքուր եվ հարմարավետ սենյակներГостиница расположена на армяно-грузинской границе, рядом с таможней, у нас есть 6 свободных, чистых и уютных номеров. Сдается на длительный срок, для постоянных клиентов предусморены скидки. Номера оборудованы всем необходимым для комфортного пребыавания, есть интренет, вкусная кавказкая кухня под любой вкус и выбор. Всегда рады нашим постояльцам.Translated from Armenian",Dec-15-2022_22-00,Hotel,https://list.am/en/item/18382778,,,
Not available,1,20 sq.m.,Cosmetic Renovation,Open balcony,1,5,Yes,Yes,By Agreement,By Agreement,Tavush › Dilijan,"120,000 ֏ monthly",AMD,"It is in good condition. For detailed information, call the indicated phone number or write urgently. Price is negotiableTranslated from Armenian",Dec-15-2022_22-00,Private House,https://list.am/en/item/18677758,Outdoor parking,"Television, air conditioner, internet, parking space","Fridge, stove, microwave, coffee maker, washing machine, drying machine, water Heater, iron, hair dryer"
Not available,4,30 sq.m.,Designer Renovation,Open balcony,2,2,No,No,By Agreement,Included,"Շահումյան փողոց, Դիլիջան","10,000 ֏ daily",AMD,"Apartments are for daily rent on Dilijan's Yeghevni Street, newly renovated, furnished, with property and appliances, with an open balcony andwith a beautiful view, in a quiet and forest street, only for pure families, not for 1 day or hour, minimum for 2 days, 10.000 drams for 1 day, quite affordable and clean from all holiday homes and hotelsTranslated from Armenian",Dec-15-2022_22-00,Apartment,https://list.am/en/item/18043259,Outdoor parking,"Television, internet, parking space","Fridge, stove, coffee maker, washing machine, water Heater, hair dryer"
Not available,2,18 sq.m.,Cosmetic Renovation,Not available,1,2,Yes,Negotiable,By Agreement,Not included,"Maksim Gorky Street, Dilijan station","15,000 ֏ daily",AMD,A room on the ground floor of a cottage with its own facilitiesAlso available long termFor more information callTranslated from Armenian,Dec-15-2022_22-00,Guesthouse,https://list.am/en/item/18635173,Outdoor parking,"Internet, parking space","Coffee maker, water Heater, iron, hair dryer"
Not available,2,18 sq.m.,Cosmetic Renovation,Not available,1,2,Negotiable,Negotiable,By Agreement,By Agreement,"Maksim Gorky Street, Dilijan station","12,000 ֏ daily",AMD,A cottage on the territory of the guest houseOn the river bankIn the city center1 room with its own facilitiesCall for more informationTranslated from Armenian,Dec-15-2022_22-00,Guesthouse,https://list.am/en/item/18635296,Outdoor parking,"Internet, parking space","Coffee maker, water Heater, iron, hair dryer"
Not available,2,25 sq.m.,Euro Renovation,Open balcony,2,2,Yes,Negotiable,By Agreement,Included,Tavush › Ijevan,"130,000 ֏ monthly",AMD,"The guest house is located in the city of Ujevan. The room is intended for 2 people, on the first floor there is a large kitchen with all necessary utensils. The guest house has 2 similar rooms.Translated from Armenian",Dec-15-2022_22-00,Hotel,https://list.am/en/item/18681189,Outdoor parking,"Television, internet, parking space","Fridge, coffee maker, hair dryer"
Not available,2,13 sq.m.,Cosmetic Renovation,Open balcony,2,2,Negotiable,Negotiable,By Agreement,By Agreement,"Maksim Gorky Street, Dilijan station","10,000 ֏ daily",AMD,"A room in a guest house, in a shared roomFor more information callTranslated from Armenian",Dec-15-2022_22-00,Guesthouse,https://list.am/en/item/18635200,Outdoor parking,"Internet, parking space","Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer"
Not available,2,14 sq.m.,Designer Renovation,Not available,2,1,Negotiable,Negotiable,By Agreement,By Agreement,"Maksim Gorky Street, Dilijan station","6,000 ֏ daily",AMD,"Room for rentRooms for rentHousehousesOn a daily basisLong termGuest house in the central part of Dilijan, designed for 1 to 35 people. Rooms for 1, 2, 3, 4 and 5 persons starting from AMD 6,000Parking, Internet, fresh airA well-kept gardenCall for more informationTranslated from Armenian",Dec-15-2022_22-00,Guesthouse,https://list.am/en/item/16462165,Outdoor parking,"Internet, parking space",Fridge
