Elevator,Floors in the Building,Room Area,Renovation,Balcony,Floor,Number of Guests,Children Are Welcome,Pets Allowed,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Type,Amenities,Appliances,Floor Area,Furniture,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Parking,Links
Not available,4.0,25 sq.m.,Designer Renovation,Not available,4.0,1,Yes,No,By Agreement,Included,"Квартал Маяк 2, Ереван","15,000 ֏ daily",AMD,Сдаётся комната в 3х комнотном квартире можно и на долгий срок,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18364212
Not available,2.0,50 sq.m.,Major Renovation,Not available,1.0,3,Yes,No,By Agreement,Included,"Khorenatsi street, Yerevan","4,000 ֏ daily",AMD,"Երևանի կենտրոնում օրավարձով է տրվում առանձնատան սենյակ, նախատեսված 3 հոգու համար։ Մեկ անձի արժեքը 2 օրով 5000 դրամ/օրը, 1 շաբաթ ֊ 4000 դրամ/օրը։Посуточно сдается 3-местная комната особняка в центре Еревана. Стоимость одного места на 2 дня 5000 драм за сутки, на неделю - 4000 драм за сутки.Daily rent 2 and 3-bed rooms of a mansion in the center of Yerevan. The cost of one seat is 4000-5000 drams.Վարձով տուն# սենյակ# for rent# room# комната# аренда#",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18090681
Not available,3.0,20 sq.m.,Euro Renovation,Open balcony,3.0,8+,No,No,1 month,Not included,"Ղարիբջանյանի փողոց 94, Երևան","35,000 ֏ monthly",AMD,"Rooms with all amenities are available for rent only to girls. The house is equipped with a heating system, Internet WiFi, cable TV. The rent for one person is 35,000 AMD per month. It is given only to girls, students or workers.Translated from Armenian",Nov-25-2022_00-26,Private House,"TElevision, internet","FRidge, stove, microwave, washing machine, water heater",,,,,,,,https://list.am/en/item/17414378
Not available,2.0,20 sq.m.,Euro Renovation,Not available,2.0,2,Yes,Yes,Without prepayment,Included,"Shirak street 11, Yerevan","12,000 ֏ daily",AMD,Newly renovated rooms with bathroom and toilet are available for rent from July 1 of this year. Right next to the bus stop. The rooms are furnished. Air conditioners are available. It has a canteen where the food is quite affordable. There is a very affordable laundry room. The utility bills are fully compensated by the lessor.Translated from Armenian,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17554318
Not available,3.0,25 sq.m.,Cosmetic Renovation,Open balcony,3.0,,,,,,"Sarmen street 68, Yerevan","2,500 ֏ daily",AMD,Կենտրոնում ազգային ժողովի հարեվանությամբ 3 հարկանի սեփական տանը վարձով է տրվում համատեղ բնակվելու համար սենյակներ․սենյակներում տեղադրված է երկհարկանի մահճակալներ4տեղ տղաների համար6տեղ տղաների համար8տեղ աղջիկների համար12տեղ տղաների համարամեն հարկում կա զուգարան եվ բաղնիքխոհանոցը եվ ճաշասենյակը համատեղլվացքի մեքենաwifiՄանրամասների համար զանգահարել,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17900628
Available,10.0,40 sq.m.,Euro Renovation,Not available,5.0,3,Yes,No,By Agreement,Included,Yerevan › Kentron,$50 daily,USD,"In the center, near the Opera House, a 2-room apartment is for daily rent in a newly built building, call for detailsTranslated from Armenian",Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/17961638
Not available,2.0,20 sq.m.,Partial Renovation,Not available,2.0,2,No,No,By Agreement,Included,"Khorenatsi street, Yerevan","4,000 ֏ daily",AMD,"Երևանի կենտրոնում օրավարձով է տրվում առանձնատան սենյակ, նախատեսված 2 հոգու համար։ Մեկ անձի արժեքը 2 օրով 5000 դրամ/օրը, 1 շաբաթ ֊ 4000 դրամ/օրը։Посуточно сдается 2-местная комната особняка в центре Еревана. Стоимость одного места на 2 дня 5000 драм за сутки, на неделю - 4000 драм за сутки.Daily rent 2 and 3-bed rooms of a mansion in the center of Yerevan. The cost of one seat is 4000-5000 drams.Վարձով տուն# սենյակ# for rent# room# комната# аренда#",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18094949
Not available,1.0,15 sq.m.,Euro Renovation,Not available,1.0,,,,,,"Ashtarak highway, Yerevan","60,000 ֏ monthly",AMD,"Call 099 with the same number or specified watsapp, viber.Rooms with 2 beds are for rent, the rooms are furnished, there is free internet, they are located in front of Kasakh (in front of 40 state farms), not far from Vahagni district, in Ajapnyak community. The price of 1 room is AMD 60,000 for 2 people. There is no bathroom or toilet in the rooms. It is separate: 2 pcs. You pay the utilities. Call after reading the terms carefully. Now only given to men. We do not give information over the phone, everything is written, call only to look. Not for daily rent.They are given long-term.Not related to the statementfor rent, apartment, house, cheremushka, hostel, motelTranslated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/16598294
Not available,2.0,20 sq.m.,Euro Renovation,Not available,1.0,,,,,,"Sarmen street 68, Yerevan","2,500 ֏ daily",AMD,Հոսթել հյուրանոցում սենյակում տրվում է օրավարձով եվ երկարաժամկետ վարձակալությամբ 2հարկանի մահճակալներ համատեղ բնակվելու համար։Երկարաժամկետ բնակվելու դեպքում կգործեն զեղչերWifi.Ունենք խոհանոցՄանրամասների համար զանգահարել 10։00 _ 00։00,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17510532
Available,2.0,15 sq.m.,Partial Renovation,Closed balcony,1.0,2,No,No,By Agreement,By Agreement,Yerevan › Shengavit,"7,000 ֏ daily",AMD,Сдаётся комнота посуточно 7000 internet Rooms for daily rent 10000 one or two Hoku with daily rent - one room per dayTranslated from Armenian,Nov-25-2022_00-26,Guesthouse,"TElevision, internet, parking space",,,,,,,,,https://list.am/en/item/15080258
Not available,1.0,20 sq.m.,Major Renovation,Not available,1.0,1,No,No,Without prepayment,By Agreement,"Tsaturyan Street, Yerevan","120,000 ֏ monthly",AMD,"One room is for rent, for living in a small place. You have to join the utility fee. It is very comfortable. You can call for details. It is also possible with daily rent. 5000 drams per person per day. The house is heated by central heating, all facilities are availableTranslated from Armenian",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18208037
Not available,1.0,30 sq.m.,Euro Renovation,Not available,1.0,,,,,,"Charents lane, Yerevan","100,000 ֏ monthly",AMD,Room for rent only for girlsTranslated from Armenian,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/15820180
Available,16.0,35 sq.m.,Cosmetic Renovation,Open balcony,13.0,,,,,,Yerevan › Ajapnyak,"60,000 ֏ monthly",AMD,"A separate room is for rent in a 3-room apartment located in district 15 (Quartal) The house is equipped with necessary furniture and equipment (refrigerator, microwave, TV...) and high-speed wifi. The latter is renovated, heated in winter, has hot and cold water. The room has 2 beds, 2 small closets, 1 large closet, desk, chairs and 1 more table will be provided if necessary.First of all, we should mention that the building is located in the central part, many shops (food, economic, clothes), printing house, gardens, restaurant and cafe are available. There are many transport numbers in different directions, and the bus stop is located under the building, therefore it is suitable for living.As you can see in the pictures, the room is quite spacious and is rented for 2 students. The fee for 1 person is AMD 60,000. All utility costs are shared equally between residents at the end of the month. The house is rented exclusively to FEMALE STUDENTS, because the other rooms of the house will be occupied by the owner of the house and her daughter.Finally, let's say that the apartment is on the 13th floor, and the elevator is always working.For questions, write or call, we will be happy to waitTranslated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18186477
Available,16.0,35 sq.m.,Cosmetic Renovation,Open balcony,13.0,,,,,,Yerevan › Ajapnyak,"60,000 ֏ monthly",AMD,"If you have to come to Yerevan to study and are looking for a comfortable house with convenient conditions, then read this offer carefully) The apartment is located in the central part of Ajapnyak. First of all, let us mention that transport is available from here in different directions, there are many shops, supermarkets and even cafes, so it is suitable for living. The building has 16 floors, the apartment is on 13. The elevator is always working. The apartment has 3 rooms, but only 1 room is for rent. There is an open-closed balcony, there is a cosmetic renovation, the common house is equipped with appliances and furniture, all amenities are provided for comfort (wifi, constant hot-cold water, heating) The price is quite low for such conditions, but if you agree to make concessions. It is for permanent rent and the residence must be guaranteed for at least 1 year. It is given only to students, in particular the room is intended for a female student. The tenant will live with the members of the house (they are a mother-daughter) For other questions, please write a letter, everything will be detailed.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17979957
Not available,2.0,25 sq.m.,Euro Renovation,Not available,1.0,1,No,No,By Agreement,Not included,"Khorenatsi St, Yerevan","15,000 ֏ daily",AMD,Сдаётся в центре посуточно. Одна комната на 2 этаже 2 этажного дома со всемиудобствами с хозяйкой на 1 этаже.,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18372312
Available,5.0,35 sq.m.,Euro Renovation,Closed balcony,5.0,,,,,,"Արտաշիսյան փողոց 94, Երևան","140,000 ֏ monthly",AMD,"Արեվկողմ, առկա է տաք եվ սառը ջուր, կա անվճար WIFI, կոմունալները վճարելու ենք մենք, տարացքը տեսահսկվում է, ունի ավտոկայանատեղի, տրվում է եվ ամսեկան եվ օրեկան, հագեցած է բոլոր հարմարություններովСдаются 1 и 2 комнатные номера в гостиничном комплексе “VIAR rooms”.Ул. Арташисяна 94/5, на 5-м этаже 5-и этажного здания. В здании имеется лифт. Номера евроремонтированные и оснащены постоянной т/х водой, высокоскоростным интернетом. В каждом номере кондицыонер, совмещеный санузел, холодильник, телевизор. Номера сдаются и на длительный и на кротковременные сроки.",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17411596
Not available,1.0,16 sq.m.,Euro Renovation,Not available,1.0,,,,,,"Սարի Թաղ 27-րդ փողոց 43/5, Երևան","8,000 ֏ daily",AMD,"The house is rented for 300,000 AMD per month.The number of rooms is 3, each room costs AMD 8,000 per day. The house can be rented for festive events.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17534914
Not available,1.0,30 sq.m.,Cosmetic Renovation,Open balcony,1.0,2,Yes,No,Without prepayment,Not included,"Admiral Isakov Avenue 124, Yerevan","115,000 ֏ monthly",AMD,Сдам в Арендурядом кафе и магазины транспор АэропортВсе вопросы по телефону,Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/18336821
Not available,2.0,40 sq.m.,Euro Renovation,Not available,2.0,,,,,,"Nazarbekyan block, Yerevan","180,000 ֏ monthly",AMD,"Apartments for sale, one room, 45 square meters. Fully renovated, with property.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18356826
Not available,2.0,20 sq.m.,Partial Renovation,Not available,2.0,2,No,No,Without prepayment,Included,"Khorenatsi street, Yerevan","180,000 ֏ monthly",AMD,"Сдается в аренду комната на втором этаже в двухэтажном частном доме в центре Еревана со всеми удобствами, совместно. Удобно 1-2 человек, депозит. Возможно также краткосрочная аренда. Подробности по телефону.For rent a room on the second floor in a two-storey private house in the center of Yerevan with all amenities, shared. Convenient for 1-2 persons, deposit. A short-term rental is also possible. Details by phone.",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18066592
Not available,2.0,50 sq.m.,Major Renovation,Not available,1.0,3,Yes,No,By Agreement,By Agreement,"Khorenatsi street, Yerevan","280,000 ֏ monthly",AMD,"Сдается в аренду первый этаж в частном доме, со всеми удобствами, комната 50 кв. М. , большая кухня, общий вход и возможно, кухня, туалеты на каждом этаже, душевая только на втором. Подходит до 3-х человек. Подробности по телефону.For rent the first floor in a private house, with all amenities, a room of 50 sq. M. , a large pile, a common circle and a powerful pile, toilets for how much it is, showers only for everything. Approach up to 3 people. Details by the tel.",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18073477
Not available,3.0,15 sq.m.,Designer Renovation,Not available,3.0,,,,,,"Արշակունյաց պողոտայի 1-ին նրբանցք 16, Երևան","11,900 ֏ daily",AMD,"Сдам комнату в гостевом доме.Спальня в арендуВанная комната общая на 2 спальниМинимум 2 дняВ спальне есть балкон.Վարձակալությամբ տրամադրում եմ սենյակ հյուրատանը,Օրավարձով ննջասենյակԼոգասենյակը 2 ննջասենյակի համար ընդհանուրԱմենաքիչը 2 օրՆնջասենյակը ունի պատշգամբ (բալկոն)Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17461310
Not available,3.0,15 sq.m.,Designer Renovation,Not available,3.0,,,,,,"Արշակունյաց պողոտայի 1-ին նրբանցք 16, Երևան","11,900 ֏ daily",AMD,"Сдам комнату в гостевом доме.Спальня в арендуВанная комната общая на 2 спальниМинимум 2 дняВ спальне есть балкон.Վարձակալությամբ տրամադրում եմ սենյակ հյուրատանը,Օրավարձով ննջասենյակԼոգասենյակը 2 ննջասենյակի համար ընդհանուրԱմենաքիչը 2 օրՆնջասենյակը ունի պատշգամբ (բալկոն)Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17461236
Not available,1.0,15 sq.m.,Cosmetic Renovation,Not available,1.0,2,Yes,Yes,By Agreement,Included,"Admiral Isakov Avenue 10, Yerevan","7,000 ֏ daily",AMD,"Rooms clean, wifi, TV, linen clean, refrigerator, hot and cold water, comfortable rooms.Translated from Armenian",Nov-25-2022_00-26,Hostel,,,,,,,,,,https://list.am/en/item/17611508
Not available,,,,,,,,,1 month,Not included,"Mantashyan street 53, Yerevan","100,000 ֏",AMD,"Գործող գեղեցկության սրահում վարձակալության է տրվում առանձնասենյակ իր ամբողջ գույքով։Նաև տրվում է վարսահարդարի աթոռ: В действующем салоне красоты сдается отдельное помещение со всем имуществом, сдается парикмахерское кресло.",Nov-25-2022_00-26,Functioning Business,,,18 sq.m.,By agreement,First Line,Common from the Street,Direct Lease,9 months,,https://list.am/en/item/16853295
Not available,2.0,17 sq.m.,Euro Renovation,Not available,1.0,8+,Yes,No,By Agreement,Included,"Orbeli Brothers street, Yerevan","10,000 ֏ daily",AMD,"The guest house is located near Barekamutyan metro station. Suitable for family, business and group living.There are four rooms, each of which can accommodate up to five guests. The doors of the rooms are lockable andThere are lockers with keys. There is 1 common kitchen, 2 common bathrooms.There is a heating system, and the guest house is equipped with all the communal facilities and property.The cost of accommodation in the rooms starts from 15000 AMD.It is also possible to rent a full guest house (intended for 12 people) for 65,000 AMDTranslated from Armenian",Nov-25-2022_00-26,Guesthouse,,,,,,,,,,https://list.am/en/item/16866800
Not available,3.0,18 sq.m.,Major Renovation,Not available,3.0,4,Yes,No,By Agreement,Included,"Մովսես Խորենացի փողոց 1-ին նրբանցք 38/1, Երևան","13,000 ֏ daily",AMD,"Comfortable private rooms in the center of the city, the room has a bathroom and a kitchen, there is necessary furniture and appliances, it can accommodate up to 4 people.Translated from Armenian",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18347910
Available,9.0,16 sq.m.,Major Renovation,Not available,3.0,,,,,,Yerevan › Malatia-Sebastia,"100,000 ֏ monthly",AMD,"One room of a 3-room apartment is for rent, furnished with an area of 16 square meters, a bathroom, a kitchen with general use. The 61-year-old good-looking mistress lives in the house. The room is airy.The apartment is located in Bangladesh.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17953812
Available,12.0,20 sq.m.,Major Renovation,Open balcony,12.0,8+,Yes,No,Without prepayment,Included,"Մովսես Խորենացի փողոց 2-րդ նրբանցք 10/1, Երևան","70,000 ֏ monthly",AMD,"Rooms guest house, located at 30 Movses Khorenatsi Street, offers rooms starting from 80,000 per month. The guest house is fully equipped with all utilities. There are shared and individual rooms, which are available for both monthly and daily rent, the apartment has two kitchens with appropriate dishes and equipment. Moz has a family atmosphere, mostly students. Zoravar Andranik metro is only 100 meters away, and Yerevan City, banks, bus stops and other shopping points are very close to the bus.Love Rooms guest house.Translated from Armenian",Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/17118624
Not available,2.0,70 sq.m.,Euro Renovation,Not available,2.0,1,No,No,1 month,By Agreement,"Микрорайон Норашен 14, Ереван","20,000 ֏ daily",AMD,"Сдается второй этаж собственного дома. Две большие комнаты, кухня, ванная. Вход общий. Пастельное белье, посуда, телевизор. На первом этаже хозяйка одна русскоговорящая. Требования: Соблюдать порядок, без детей. В случае 10 дневного прибывания 150.000 драм. 20 дней - 200.000 драм.",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17473850
Not available,1.0,15 sq.m.,Euro Renovation,Not available,1.0,,,,,,"Проспект Комитаса 51/1, Ереван","9,000 ֏ daily",AMD,Сдаётся комната с двумя спальными местами. Есть собственный туалет и душ. Общая кухня.,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17938934
Not available,1.0,18 sq.m.,Euro Renovation,Not available,1.0,,,,,,"Проспект Комитаса 51/1, Ереван","10,000 ֏ daily",AMD,Сдаётся комната с частным туалетом и кухней. Сдаётся долгосрочно и не долгосрочно.,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17931120
Not available,1.0,10 sq.m.,Major Renovation,Not available,1.0,,,,,,"Komitas Avenue 51, Yerevan","8,500 ֏ daily",AMD,"Комната с одним спальным местом, и с часным туалетом.Одна ночь-8500 драмЕсли планируете нанять на месяц или больше, то цена снизится.",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17762309
Not available,1.0,10 sq.m.,Euro Renovation,Not available,1.0,,,,,,"Komitas Avenue 51, Yerevan","8,500 ֏ daily",AMD,"Комната с двумя спальными местами, и с частным туалетом. Кухня общая.Одна ночь-8500 драмЕсли планируете нанять на месяц или больше цена снизица.",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17762324
Not available,2.0,33 sq.m.,Euro Renovation,Not available,1.0,2,No,No,By Agreement,Included,Yerevan › Kanaker-Zeytun,"6,000 ֏ daily",AMD,"A room for daily rent near the x-ray institute, first line, on the first floor of a private house, has a heating system, details by phoneTranslated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17857626
Not available,2.0,33 sq.m.,Euro Renovation,Not available,1.0,,,,,,Yerevan › Kanaker-Zeytun,"160,000 ֏ monthly",AMD,"A house for rent near the x-ray institute, first line, on the first floor of our own house, we pay the utility costs, fully renovated, has a heating system, details by phoneTranslated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17872319
Available,5.0,20 sq.m.,Major Renovation,Not available,5.0,2,No,No,Without prepayment,Included,"Ազատամարտիկների պողոտա 82/2, Երևան","35,000 ֏ monthly",AMD,"Ամսավարձով տրվում են սենյակներ։ՍԵՆՅԱԿՈՒՄ ՀԱՄԱՏԵՂ ՄԻ ՔԱՆԻ ՀՕԳՈՎ բնակվելու դեպքում ՄԵկ ԱՆՁԻ ամսական վարձը ։6 անձի համար նախատեսվացՍԵՆՅԱԿՈՒՄ֊ 35000 դրամ։3 հօգանոց սենյակում մեկ անձը 40000։3 ՀՈԳԱՆՈՑ ՍԵՓԱԿԱՆ ԶՈԳԱՐԱՆՈՎ 45000(հարմար է ուսաննող և աշիւատող անձանց համար)Կա նայև առանձին ԼՈԳԱՐԱՆ և ՍԱՆՀԱՆԳՈՒՅՑՈՎ սենյակներ։ՄԵԿ ԱՆՁԸ ՍԿՍԱՑ 100000 դրամիցամսավարձով։Նշվաց սենյակում երկու հոգով բնակվելիս ամսական վարձը ՍԿՍԱՑ 120000 դրամից։Դեպոզիտ և կոմոնալ ծաիւսեր չեն վձարվում:Շենքում առկա է անվճար WIFI, Մշտական տաք և սառը ջուր, Բաղնիք - զուգարան, խոհանոց անհրաժեշտ սպասքով, սառնարան, Ավտոմատ չորացնող լվացքի մեքենա, ավտոկայանատեղ, ձմռանը կենտրոնական ջեռուցում;Գտնվում է Էրեբունի ՄՈԼԻ ՀՍՐևԱՆՈՒԹՅԱՄԲ։РАСПОЛОЖЕННЫЙ НА Азатамартики 82/2, Эребун, общежитие предлагает номера на ежемесячной основе.В случае совместного проживания в комнате нескольких человек, ежемесячная арендная плата на ОДНОГО ЧЕЛОВЕКА НАЧИНАЕТСЯ сОт 60 000 драмов РА.ЕЖЕМЕСЯЧНАЯ АРЕНДА НА ОДНОГО ЧЕЛОВЕКА ПРИ ПРОЖИВАНИИ В ОТДЕЛЬНОЙ КОМНАТЕ С ВАННОЙ ОТ 120 000 драмов РА.Для двоих в номере с раздельным санузломЕжемесячная заработная плата составляет ОТ 140 000 драмов РА(подходит для студентов и пенсионеровДепозит и коммунальные платежи не оплачиваются.В здании есть бесплатный WIFI, постоянная горячая и холодная вода, кухня с необходимой посудой, холодильник, автоматическая стиральная машина, сушилка, парковка, центральное отопление зимой;Расположен РЯДОМ с ТРЦ Эребуни.Места поблизостиЭРЕБУНИ ТРЦ. 100 мTranslated from Armenian",Nov-25-2022_00-26,Hostel,,,,,,,,,,https://list.am/en/item/18208067
Not available,2.0,15 sq.m.,Major Renovation,Not available,2.0,4,Yes,Yes,By Agreement,Included,"Nansen St, Yerevan","13,000 ֏ daily",AMD,"A small guest house is for daily rent. The guest house has 3 separate rooms and 1 vip room. 350 meters from Megamall.The VIP room includes a bathroom and a small living room. The remaining 3 rooms have their own separate bathrooms. 12 people can be accommodated in the general guest house. The guest house has a shared kitchen. Dishes, refrigerator, washing machine are available. Car, dishwasher. Car, microwave oven, gas stove, TV.There is a heating system and air conditioning in all rooms.Yes - wifiNO! 1. Smoking2. Evenings3. Disturbing the surrounding residents4. AnimalsVip-20,000Daily rent, Daily rent house, Daily rent apartment, Daily rent, Hotel, Hotel, Гостиница, guest house, daily, Hostel, Hostel, Hostel, roomTranslated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17486184
Available,9.0,17 sq.m.,Major Renovation,Open balcony,3.0,,,,,,"Zakian street 3, Yerevan","13,000 ֏ daily",AMD,Сдаю 1 ком. С открытым балконом. В моей 3х ком квартире. Комната очень солнечная и запирается на ключ. В др ком буду я. Но вы можете пользоваться всей квартирой. Квартира находиться в самом центре.,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17481548
Not available,2.0,25 sq.m.,Designer Renovation,Not available,2.0,,,,,,"Leningradyan street, Yerevan","15,000 ֏ daily",AMD,"Հոսթել5х5 Хостел5х5Комнаты посуточно удобные և доступные. В хостеле есть кухня со своей посудой, бесплатный Wi-Fi, отопление, без оплаты коммунальных услуг. Спешите забронировать номера по отдельности или в целом.",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17661928
Not available,2.0,12 sq.m.,Cosmetic Renovation,Open balcony,2.0,2,Yes,No,Without prepayment,Included,Yerevan › Kentron,"10,000 ֏ daily",AMD,Room on the ground floor of a 2-storey house next to Kilikia bus stationThere is everything for homeTranslated from Armenian,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17516468
Not available,1.0,20 sq.m.,Euro Renovation,Open balcony,1.0,2,Yes,No,By Agreement,Included,Yerevan › Ajapnyak,"10,000 ֏ monthly",AMD,"The guest house is located in the neighborhood of Vahagn district. The room has heating and cooling systems, hot and cold water. A bedroom for two people, a bathroom and a living room. The kitchen is shared.Oravadzov 10,000240,000 AMD per monthAll utilities includedTranslated from Armenian",Nov-25-2022_00-26,Guesthouse,,,,,,,,,,https://list.am/en/item/17481614
Available,6.0,18 sq.m.,Partial Renovation,Not available,3.0,,,,,,"Moskovyan street 31, Yerevan","10,000 ֏ daily",AMD,"Сдаю 2 комнаты, возможен завтрак, только для женского пола. АЙ-КОС можно)",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17653481
Not available,9.0,10 sq.m.,Major Renovation,Open balcony,1.0,1,Negotiable,Yes,Without prepayment,Not included,"Mesrop Mashtots, Երևան",$500 monthly,USD,"Сдаётся в долгосрочную и краткосрочную аренду (не менее одного месяца) 1 комнатная квартира, располагающаяся на подвальном этаже с отдельным входом в центре города на улице Маштоца. Проведен капитальный евроремонт, установлены евроокна, металлическая дверь, кондиционер. Квартира оборудована круглосуточным водо- и газоснабжением, отапливается, полностью мебилирована и оснащена необходимой бытовой техникой. В квартире проведено кабельное телевидение и интернет. Ежемесячная оплата 230000.Translated from Armenian",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18277446
